        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   1.
    -0.5850102656869849E+02 -0.4910671882903062E+01 -0.3218303257199607E+01 -0.3934203874931952E+00 -0.2099507460464788E+00
     0.5268585683780316E+00  0.3322978768365569E+01  0.4674194905646434E+01  0.7806250418365950E+01  0.9359816672456386E+01
  0.3492302289421912E-05  0.3167814666728016E-03  0.8233810793506214E-04  0.8218227442782684E-09  0.1901052257769611E-04  0.1476824390371645E-09
  0.3524802578908909E-05  0.3197293837641548E-03  0.8310433304949042E-04  0.8371899426387864E-09  0.1918743142588665E-04  0.1504439412599203E-09
  0.3557605324692412E-05  0.3227047324263017E-03  0.8387768820109150E-04  0.8528444893468476E-09  0.1936598648305669E-04  0.1532570802925759E-09
  0.3590713341510774E-05  0.3257077678974697E-03  0.8465823973160196E-04  0.8687917574278299E-09  0.1954620306642822E-04  0.1561228216736228E-09
  0.3624129470297048E-05  0.3287387477903173E-03  0.8544605459992251E-04  0.8850372203740866E-09  0.1972809663571639E-04  0.1590421489955773E-09
  0.3657856578422762E-05  0.3317979321140153E-03  0.8624120038785726E-04  0.9015864540234793E-09  0.1991168279445454E-04  0.1620160642425540E-09
  0.3691897559943962E-05  0.3348855832965321E-03  0.8704374530590632E-04  0.9184451384730366E-09  0.2009697729133164E-04  0.1650455881341533E-09
  0.3726255335849546E-05  0.3380019662071267E-03  0.8785375819911207E-04  0.9356190600283922E-09  0.2028399602154209E-04  0.1681317604757773E-09
  0.3760932854311908E-05  0.3411473481790502E-03  0.8867130855295985E-04  0.9531141131896725E-09  0.2047275502814808E-04  0.1712756405154956E-09
  0.3795933090939914E-05  0.3443219990324590E-03  0.8949646649933353E-04  0.9709363026745161E-09  0.2066327050345466E-04  0.1744783073075846E-09
  0.3831259049034235E-05  0.3475261910975405E-03  0.9032930282252625E-04  0.9890917454789173E-09  0.2085555879039753E-04  0.1777408600828629E-09
  0.3866913759845051E-05  0.3507601992378532E-03  0.9116988896530726E-04  0.1007586672976604E-08  0.2104963638394373E-04  0.1810644186259519E-09
  0.3902900282832160E-05  0.3540243008738847E-03  0.9201829703504483E-04  0.1026427433057665E-08  0.2124551993250536E-04  0.1844501236595898E-09
  0.3939221705927503E-05  0.3573187760068275E-03  0.9287459980988634E-04  0.1045620492307167E-08  0.2144322623936642E-04  0.1878991372361308E-09
  0.3975881145800131E-05  0.3606439072425764E-03  0.9373887074499559E-04  0.1065172438224506E-08  0.2164277226412297E-04  0.1914126431363655E-09
  0.4012881748123645E-05  0.3639999798159490E-03  0.9461118397884814E-04  0.1085089981484251E-08  0.2184417512413654E-04  0.1949918472757968E-09
  0.4050226687846115E-05  0.3673872816151305E-03  0.9549161433958510E-04  0.1105379958239265E-08  0.2204745209600119E-04  0.1986379781185128E-09
  0.4087919169462519E-05  0.3708061032063460E-03  0.9638023735142601E-04  0.1126049332466882E-08  0.2225262061702408E-04  0.2023522870987982E-09
  0.4125962427289713E-05  0.3742567378587624E-03  0.9727712924114133E-04  0.1147105198358956E-08  0.2245969828671992E-04  0.2061360490506284E-09
  0.4164359725743961E-05  0.3777394815696209E-03  0.9818236694458485E-04  0.1168554782756595E-08  0.2266870286831911E-04  0.2099905626451931E-09
  0.4203114359621051E-05  0.3812546330896034E-03  0.9909602811328712E-04  0.1190405447630419E-08  0.2287965229029016E-04  0.2139171508366023E-09
  0.4242229654379011E-05  0.3848024939484351E-03  0.1000181911211097E-03  0.1212664692607189E-08  0.2309256464787600E-04  0.2179171613159240E-09
  0.4281708966423463E-05  0.3883833684807237E-03  0.1009489350709618E-03  0.1235340157543682E-08  0.2330745820464469E-04  0.2219919669737122E-09
  0.4321555683395626E-05  0.3919975638520397E-03  0.1018883398015789E-03  0.1258439625148684E-08  0.2352435139405458E-04  0.2261429663711819E-09
  0.4361773224463007E-05  0.3956453900852383E-03  0.1028364858943642E-03  0.1281971023654014E-08  0.2374326282103384E-04  0.2303715842201948E-09
  0.4402365040612790E-05  0.3993271600870267E-03  0.1037934546802941E-03  0.1305942429535480E-08  0.2396421126357485E-04  0.2346792718722190E-09
  0.4443334614947958E-05  0.4030431896747773E-03  0.1047593282468876E-03  0.1330362070284717E-08  0.2418721567434328E-04  0.2390675078164300E-09
  0.4484685462986175E-05  0.4067937976035896E-03  0.1057341894452405E-03  0.1355238327232847E-08  0.2441229518230217E-04  0.2435377981871260E-09
  0.4526421132961441E-05  0.4105793055936058E-03  0.1067181218971244E-03  0.1380579738426930E-08  0.2463946909435109E-04  0.2480916772806300E-09
  0.4568545206128561E-05  0.4144000383575769E-03  0.1077112100021529E-03  0.1406395001560204E-08  0.2486875689698049E-04  0.2527307080818555E-09
  0.4611061297070445E-05  0.4182563236286874E-03  0.1087135389450128E-03  0.1432692976957101E-08  0.2510017825794149E-04  0.2574564828007191E-09
  0.4653973054008268E-05  0.4221484921886374E-03  0.1097251947027637E-03  0.1459482690614089E-08  0.2533375302793107E-04  0.2622706234185810E-09
  0.4697284159114519E-05  0.4260768778959850E-03  0.1107462640522051E-03  0.1486773337297350E-08  0.2556950124229307E-04  0.2671747822449030E-09
  0.4740998328828955E-05  0.4300418177147539E-03  0.1117768345773111E-03  0.1514574283698392E-08  0.2580744312273479E-04  0.2721706424843142E-09
  0.4785119314177511E-05  0.4340436517433041E-03  0.1128169946767358E-03  0.1542895071648652E-08  0.2604759907905975E-04  0.2772599188142789E-09
  0.4829650901094156E-05  0.4380827232434729E-03  0.1138668335713865E-03  0.1571745421394204E-08  0.2628998971091634E-04  0.2824443579735655E-09
  0.4874596910745765E-05  0.4421593786699854E-03  0.1149264413120687E-03  0.1601135234931694E-08  0.2653463580956288E-04  0.2877257393617177E-09
  0.4919961199860005E-05  0.4462739677001386E-03  0.1159959087872017E-03  0.1631074599406653E-08  0.2678155835964896E-04  0.2931058756497338E-09
  0.4965747661056270E-05  0.4504268432637612E-03  0.1170753277306053E-03  0.1661573790575333E-08  0.2703077854101338E-04  0.2985866134021645E-09
  0.5011960223179700E-05  0.4546183615734513E-03  0.1181647907293596E-03  0.1692643276331287E-08  0.2728231773049875E-04  0.3041698337108410E-09
  0.5058602851638309E-05  0.4588488821550949E-03  0.1192643912317373E-03  0.1724293720297866E-08  0.2753619750378300E-04  0.3098574528404526E-09
  0.5105679548743245E-05  0.4631187678786690E-03  0.1203742235552100E-03  0.1756535985487904E-08  0.2779243963722783E-04  0.3156514228861942E-09
  0.5153194354052229E-05  0.4674283849893286E-03  0.1214943828945286E-03  0.1789381138031808E-08  0.2805106610974439E-04  0.3215537324437097E-09
  0.5201151344716166E-05  0.4717781031387849E-03  0.1226249653298785E-03  0.1822840450975368E-08  0.2831209910467624E-04  0.3275664072915613E-09
  0.5249554635829015E-05  0.4761682954169723E-03  0.1237660678351115E-03  0.1856925408148562E-08  0.2857556101169977E-04  0.3336915110864587E-09
  0.5298408380780885E-05  0.4805993383840118E-03  0.1249177882860527E-03  0.1891647708106698E-08  0.2884147442874240E-04  0.3399311460714870E-09
  0.5347716771614433E-05  0.4850716121024696E-03  0.1260802254688861E-03  0.1927019268145251E-08  0.2910986216391842E-04  0.3462874537975755E-09
  0.5397484039384574E-05  0.4895855001699162E-03  0.1272534790886168E-03  0.1963052228389747E-08  0.2938074723748294E-04  0.3527626158584566E-09
  0.5447714454521542E-05  0.4941413897517871E-03  0.1284376497776124E-03  0.1999758955962131E-08  0.2965415288380390E-04  0.3593588546393652E-09
  0.5498412327197321E-05  0.4987396716145495E-03  0.1296328391042237E-03  0.2037152049225024E-08  0.2993010255335242E-04  0.3660784340797362E-09
  0.5549582007695503E-05  0.5033807401591757E-03  0.1308391495814851E-03  0.2075244342105331E-08  0.3020861991471166E-04  0.3729236604501626E-09
  0.5601227886784564E-05  0.5080649934549287E-03  0.1320566846758962E-03  0.2114048908498694E-08  0.3048972885660426E-04  0.3798968831438795E-09
  0.5653354396094636E-05  0.5127928332734608E-03  0.1332855488162847E-03  0.2153579066756285E-08  0.3077345348993872E-04  0.3870004954830459E-09
  0.5705966008497775E-05  0.5175646651232285E-03  0.1345258474027516E-03  0.2193848384255492E-08  0.3105981814987462E-04  0.3942369355401024E-09
  0.5759067238491768E-05  0.5223808982842275E-03  0.1357776868156996E-03  0.2234870682056057E-08  0.3134884739790718E-04  0.4016086869744837E-09
  0.5812662642587513E-05  0.5272419458430498E-03  0.1370411744249449E-03  0.2276660039643268E-08  0.3164056602397107E-04  0.4091182798849760E-09
  0.5866756819700005E-05  0.5321482247282665E-03  0.1383164185989145E-03  0.2319230799759841E-08  0.3193499904856375E-04  0.4167682916780101E-09
  0.5921354411542956E-05  0.5371001557461390E-03  0.1396035287139275E-03  0.2362597573328123E-08  0.3223217172488859E-04  0.4245613479521882E-09
  0.5976460103027100E-05  0.5420981636166620E-03  0.1409026151635640E-03  0.2406775244464340E-08  0.3253210954101784E-04  0.4325001233993492E-09
  0.6032078622662186E-05  0.5471426770099404E-03  0.1422137893681202E-03  0.2451778975586585E-08  0.3283483822207569E-04  0.4405873427224790E-09
  0.6088214742962728E-05  0.5522341285829042E-03  0.1435371637841510E-03  0.2497624212618306E-08  0.3314038373244157E-04  0.4488257815707836E-09
  0.6144873280857523E-05  0.5573729550163655E-03  0.1448728519141021E-03  0.2544326690289087E-08  0.3344877227797395E-04  0.4572182674922452E-09
  0.6202059098102983E-05  0.5625595970524167E-03  0.1462209683160308E-03  0.2591902437534523E-08  0.3376003030825474E-04  0.4657676809039853E-09
  0.6259777101700311E-05  0.5677944995321791E-03  0.1475816286134171E-03  0.2640367782997067E-08  0.3407418451885458E-04  0.4744769560807732E-09
  0.6318032244316562E-05  0.5730781114338988E-03  0.1489549495050663E-03  0.2689739360629710E-08  0.3439126185361908E-04  0.4833490821620127E-09
  0.6376829524709623E-05  0.5784108859113988E-03  0.1503410487751028E-03  0.2740034115404433E-08  0.3471128950697633E-04  0.4923871041775586E-09
  0.6436173988157144E-05  0.5837932803328864E-03  0.1517400453030575E-03  0.2791269309127387E-08  0.3503429492626582E-04  0.5015941240927091E-09
  0.6496070726889464E-05  0.5892257563201220E-03  0.1531520590740483E-03  0.2843462526362797E-08  0.3536030581408900E-04  0.5109733018727387E-09
  0.6556524880526566E-05  0.5947087797879492E-03  0.1545772111890548E-03  0.2896631680467612E-08  0.3568935013068161E-04  0.5205278565673313E-09
  0.6617541636519096E-05  0.6002428209841948E-03  0.1560156238752894E-03  0.2950795019738986E-08  0.3602145609630803E-04  0.5302610674152890E-09
  0.6679126230593490E-05  0.6058283545299375E-03  0.1574674204966636E-03  0.3005971133676694E-08  0.3635665219367793E-04  0.5401762749698954E-09
  0.6741283947201240E-05  0.6114658594601498E-03  0.1589327255643520E-03  0.3062178959362625E-08  0.3669496717038521E-04  0.5502768822453168E-09
  0.6804020119972342E-05  0.6171558192647183E-03  0.1604116647474540E-03  0.3119437787959551E-08  0.3703643004136972E-04  0.5605663558844388E-09
  0.6867340132172962E-05  0.6228987219298434E-03  0.1619043648837548E-03  0.3177767271331395E-08  0.3738107009140176E-04  0.5710482273485355E-09
  0.6931249417167372E-05  0.6286950599798249E-03  0.1634109539905862E-03  0.3237187428787276E-08  0.3772891687758957E-04  0.5817260941291802E-09
  0.6995753458884163E-05  0.6345453305192338E-03  0.1649315612757877E-03  0.3297718653951629E-08  0.3808000023191024E-04  0.5926036209828164E-09
  0.7060857792286823E-05  0.6404500352754758E-03  0.1664663171487700E-03  0.3359381721762784E-08  0.3843435026376394E-04  0.6036845411884070E-09
  0.7126568003848671E-05  0.6464096806417508E-03  0.1680153532316809E-03  0.3422197795602376E-08  0.3879199736255203E-04  0.6149726578285989E-09
  0.7192889732032227E-05  0.6524247777204089E-03  0.1695788023706743E-03  0.3486188434558054E-08  0.3915297220027883E-04  0.6264718450948393E-09
  0.7259828667773037E-05  0.6584958423667113E-03  0.1711567986472851E-03  0.3551375600821969E-08  0.3951730573417793E-04  0.6381860496168919E-09
  0.7327390554967997E-05  0.6646233952329948E-03  0.1727494773899075E-03  0.3617781667227586E-08  0.3988502920936241E-04  0.6501192918172093E-09
  0.7395581190968229E-05  0.6708079618132479E-03  0.1743569751853823E-03  0.3685429424927394E-08  0.4025617416149998E-04  0.6622756672906276E-09
  0.7464406427076540E-05  0.6770500724880996E-03  0.1759794298906898E-03  0.3754342091214171E-08  0.4063077241951286E-04  0.6746593482098549E-09
  0.7533872169049508E-05  0.6833502625702253E-03  0.1776169806447518E-03  0.3824543317488459E-08  0.4100885610830258E-04  0.6872745847572355E-09
  0.7603984377604246E-05  0.6897090723501754E-03  0.1792697678803436E-03  0.3896057197375003E-08  0.4139045765150028E-04  0.7001257065832832E-09
  0.7674749068929878E-05  0.6961270471426267E-03  0.1809379333361156E-03  0.3968908274990933E-08  0.4177560977424230E-04  0.7132171242924819E-09
  0.7746172315203778E-05  0.7026047373330649E-03  0.1826216200687270E-03  0.4043121553368527E-08  0.4216434550597167E-04  0.7265533309568658E-09
  0.7818260245112605E-05  0.7091426984249000E-03  0.1843209724650923E-03  0.4118722503035431E-08  0.4255669818326558E-04  0.7401389036578935E-09
  0.7891019044378202E-05  0.7157414910870174E-03  0.1860361362547403E-03  0.4195737070755303E-08  0.4295270145268895E-04  0.7539785050571527E-09
  0.7964454956288379E-05  0.7224016812017711E-03  0.1877672585222891E-03  0.4274191688431867E-08  0.4335238927367462E-04  0.7680768849964266E-09
  0.8038574282232632E-05  0.7291238399134223E-03  0.1895144877200363E-03  0.4354113282179426E-08  0.4375579592143024E-04  0.7824388821276768E-09
  0.8113383382242853E-05  0.7359085436770262E-03  0.1912779736806650E-03  0.4435529281562954E-08  0.4416295598987196E-04  0.7970694255734952E-09
  0.8188888675539080E-05  0.7427563743077740E-03  0.1930578676300697E-03  0.4518467629010942E-08  0.4457390439458558E-04  0.8119735366186061E-09
  0.8265096641080305E-05  0.7496679190307904E-03  0.1948543222002987E-03  0.4602956789404216E-08  0.4498867637581492E-04  0.8271563304329838E-09
  0.8342013818120434E-05  0.7566437705313938E-03  0.1966674914426192E-03  0.4689025759844020E-08  0.4540730750147808E-04  0.8426230178271900E-09
  0.8419646806769399E-05  0.7636845270058247E-03  0.1984975308407011E-03  0.4776704079602717E-08  0.4582983367021168E-04  0.8583789070405255E-09
  0.8498002268559500E-05  0.7707907922124408E-03  0.2003445973239247E-03  0.4866021840260525E-08  0.4625629111444308E-04  0.8744294055626101E-09
  0.8577086927017016E-05  0.7779631755233890E-03  0.2022088492808110E-03  0.4957009696031756E-08  0.4668671640349147E-04  0.8907800219890223E-09
  0.8656907568239153E-05  0.7852022919767574E-03  0.2040904465725772E-03  0.5049698874284113E-08  0.4712114644669743E-04  0.9074363679116267E-09
  0.8737471041476323E-05  0.7925087623292095E-03  0.2059895505468170E-03  0.5144121186254641E-08  0.4755961849658161E-04  0.9244041598442422E-09
  0.8818784259719877E-05  0.7998832131091057E-03  0.2079063240513086E-03  0.5240309037966017E-08  0.4800217015203275E-04  0.9416892211843108E-09
  0.8900854200295300E-05  0.8073262766701203E-03  0.2098409314479505E-03  0.5338295441346924E-08  0.4844883936152511E-04  0.9592974842112420E-09
  0.8983687905460908E-05  0.8148385912453520E-03  0.2117935386268260E-03  0.5438114025560312E-08  0.4889966442636592E-04  0.9772349921221123E-09
  0.9067292483012137E-05  0.8224208010019393E-03  0.2137643130203989E-03  0.5539799048543451E-08  0.4935468400397280E-04  0.9955079011054259E-09
  0.9151675106891454E-05  0.8300735560961808E-03  0.2157534236178405E-03  0.5643385408763722E-08  0.4981393711118164E-04  0.1014122482453643E-08
  0.9236843017803928E-05  0.8377975127291659E-03  0.2177610409794888E-03  0.5748908657194180E-08  0.5027746312758512E-04  0.1033085124715202E-08
  0.9322803523838549E-05  0.8455933332029231E-03  0.2197873372514433E-03  0.5856405009512999E-08  0.5074530179890216E-04  0.1052402335886772E-08
  0.9409564001095319E-05  0.8534616859770860E-03  0.2218324861802929E-03  0.5965911358530991E-08  0.5121749324037870E-04  0.1072080745646491E-08
  0.9497131894318171E-05  0.8614032457260882E-03  0.2238966631279827E-03  0.6077465286851435E-08  0.5169407794021978E-04  0.1092127107628955E-08
  0.9585514717533807E-05  0.8694186933968860E-03  0.2259800450868167E-03  0.6191105079766614E-08  0.5217509676305384E-04  0.1112548301742733E-08
  0.9674720054696440E-05  0.8775087162672151E-03  0.2280828106946007E-03  0.6306869738395418E-08  0.5266059095342866E-04  0.1133351336531212E-08
  0.9764755560338575E-05  0.8856740080043910E-03  0.2302051402499250E-03  0.6424798993066561E-08  0.5315060213934008E-04  0.1154543351577579E-08
  0.9855628960227821E-05  0.8939152687246521E-03  0.2323472157275890E-03  0.6544933316951990E-08  0.5364517233579315E-04  0.1176131619954755E-08
  0.9947348052029822E-05  0.9022332050530515E-03  0.2345092207941690E-03  0.6667313939955190E-08  0.5414434394839651E-04  0.1198123550721137E-08
  0.1003992070597737E-04  0.9106285301839067E-03  0.2366913408237296E-03  0.6791982862859078E-08  0.5464815977698999E-04  0.1220526691462994E-08
  0.1013335486554572E-04  0.9191019639418073E-03  0.2388937629136813E-03  0.6918982871738423E-08  0.5515666301930572E-04  0.1243348730884394E-08
  0.1022765854813421E-04  0.9276542328431903E-03  0.2411166759007846E-03  0.7048357552641698E-08  0.5566989727466342E-04  0.1266597501445546E-08
  0.1032283984575422E-04  0.9362860701584833E-03  0.2433602703773034E-03  0.7180151306547369E-08  0.5618790654769967E-04  0.1290280982050464E-08
  0.1041890692572354E-04  0.9449982159748273E-03  0.2456247387073064E-03  0.7314409364599825E-08  0.5671073525213193E-04  0.1314407300784879E-08
  0.1051586803136716E-04  0.9537914172593746E-03  0.2479102750431214E-03  0.7451177803630102E-08  0.5723842821455736E-04  0.1338984737705331E-08
  0.1061373148272465E-04  0.9626664279231810E-03  0.2502170753419404E-03  0.7590503561966782E-08  0.5777103067828680E-04  0.1364021727680401E-08
  0.1071250567726406E-04  0.9716240088856838E-03  0.2525453373825801E-03  0.7732434455542429E-08  0.5830858830721440E-04  0.1389526863285061E-08
  0.1081219909060252E-04  0.9806649281397797E-03  0.2548952607823964E-03  0.7877019194301175E-08  0.5885114718972292E-04  0.1415508897749131E-08
  0.1091282027723348E-04  0.9897899608175063E-03  0.2572670470143562E-03  0.8024307398912977E-08  0.5939875384262542E-04  0.1441976747960849E-08
