        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   6.
    -0.1186103505564120E+03 -0.1232215330921507E+02 -0.9571465560592499E+01 -0.1277353024662982E+01 -0.5910174093914152E+00
     0.5791344379856334E+00  0.3446784055084757E+01  0.4678378286266280E+01  0.8507479224879530E+01  0.1048327923135001E+02
  0.2522218320138047E-05  0.3754873306500303E-03  0.1066084853151162E-03  0.1160663811124687E-08  0.3331595001408762E-04  0.3239835830761569E-09
  0.2545690751434212E-05  0.3789815550161974E-03  0.1076005666357283E-03  0.1182366971738622E-08  0.3362598285611055E-04  0.3300417264181930E-09
  0.2569381623388964E-05  0.3825082945651513E-03  0.1086018796776198E-03  0.1204475955664813E-08  0.3393890068016589E-04  0.3362131498414516E-09
  0.2593292968868892E-05  0.3860678518358056E-03  0.1096125103377372E-03  0.1226998351250206E-08  0.3425473032969265E-04  0.3424999715302078E-09
  0.2617426839658979E-05  0.3896605321815338E-03  0.1106325453121093E-03  0.1249941888731691E-08  0.3457349889784903E-04  0.3489043492753922E-09
  0.2641785306638661E-05  0.3932866437963424E-03  0.1116620721032784E-03  0.1273314442889160E-08  0.3489523372983477E-04  0.3554284812151572E-09
  0.2666370459959528E-05  0.3969464977412868E-03  0.1127011790278001E-03  0.1297124035748179E-08  0.3521996242523487E-04  0.3620746065892905E-09
  0.2691184409224672E-05  0.4006404079711321E-03  0.1137499552238131E-03  0.1321378839333183E-08  0.3554771284038518E-04  0.3688450065077330E-09
  0.2716229283669711E-05  0.4043686913612625E-03  0.1148084906586793E-03  0.1346087178472159E-08  0.3587851309075997E-04  0.3757420047334670E-09
  0.2741507232345493E-05  0.4081316677348395E-03  0.1158768761366944E-03  0.1371257533653761E-08  0.3621239155338164E-04  0.3827679684800419E-09
  0.2767020424302502E-05  0.4119296598902143E-03  0.1169552033068707E-03  0.1396898543937849E-08  0.3654937686925286E-04  0.3899253092240125E-09
  0.2792771048776981E-05  0.4157629936285928E-03  0.1180435646707923E-03  0.1423019009920452E-08  0.3688949794581137E-04  0.3972164835325656E-09
  0.2818761315378782E-05  0.4196319977819595E-03  0.1191420535905426E-03  0.1449627896754157E-08  0.3723278395940737E-04  0.4046439939066237E-09
