        2000           3
      0    0    1
      2.   2.   1.
    -0.7695334760108004E+01 -0.4947057989377372E+00 -0.3098564013146812E+00
     0.3968868369703911E+00  0.1965196651769807E+01  0.2732177410307091E+01
  0.9079985952496970E-05  0.1891938660914269E-03  0.3820109462419102E-04  0.2702124101865325E-09
  0.9164486705163164E-05  0.1909544736083965E-03  0.3855658783186482E-04  0.2752650906287504E-09
  0.9249773844200269E-05  0.1927314642963484E-03  0.3891538904881511E-04  0.2804122501908309E-09
  0.9335854687928012E-05  0.1945249905932003E-03  0.3927752905455610E-04  0.2856556555045060E-09
  0.9422736622772323E-05  0.1963352063549695E-03  0.3964303891493772E-04  0.2909971062346930E-09
  0.9510427103899181E-05  0.1981622668689611E-03  0.4001194998480848E-04  0.2964384356971505E-09
  0.9598933655854300E-05  0.2000063288670776E-03  0.4038429391070286E-04  0.3019815114876825E-09
  0.9688263873208819E-05  0.2018675505392525E-03  0.4076010263355380E-04  0.3076282361231060E-09
  0.9778425421210960E-05  0.2037460915470086E-03  0.4113940839143030E-04  0.3133805476942049E-09
  0.9869426036443776E-05  0.2056421130371427E-03  0.4152224372230057E-04  0.3192404205308911E-09
  0.9961273527489009E-05  0.2075557776555364E-03  0.4190864146682070E-04  0.3252098658798023E-09
  0.1005397577559713E-04  0.2094872495610971E-03  0.4229863477114939E-04  0.3312909325945702E-09
  0.1014754073536362E-04  0.2114366944398262E-03  0.4269225708978876E-04  0.3374857078389940E-09
  0.1024197643541151E-04  0.2134042795190201E-03  0.4308954218845152E-04  0.3437963178033617E-09
  0.1033729097908034E-04  0.2153901735816017E-03  0.4349052414695492E-04  0.3502249284341646E-09
  0.1043349254512148E-04  0.2173945469805859E-03  0.4389523736214140E-04  0.3567737461774552E-09
  0.1053058938839990E-04  0.2194175716536791E-03  0.4430371655082651E-04  0.3634450187361048E-09
  0.1062858984060255E-04  0.2214594211380145E-03  0.4471599675277417E-04  0.3702410358412190E-09
  0.1072750231095325E-04  0.2235202705850240E-03  0.4513211333369963E-04  0.3771641300379766E-09
  0.1082733528693430E-04  0.2256002967754487E-03  0.4555210198830016E-04  0.3842166774861617E-09
  0.1092809733501473E-04  0.2276996781344890E-03  0.4597599874331411E-04  0.3914010987756638E-09
  0.1102979710138543E-04  0.2298185947470944E-03  0.4640383996060830E-04  0.3987198597572246E-09
  0.1113244331270100E-04  0.2319572283733966E-03  0.4683566234029402E-04  0.4061754723887186E-09
  0.1123604477682863E-04  0.2341157624642851E-03  0.4727150292387209E-04  0.4137704955972559E-09
  0.1134061038360382E-04  0.2362943821771282E-03  0.4771139909740710E-04  0.4215075361574043E-09
  0.1144614910559325E-04  0.2384932743916392E-03  0.4815538859473108E-04  0.4293892495858313E-09
  0.1155266999886469E-04  0.2407126277258907E-03  0.4860350950067701E-04  0.4374183410526738E-09
  0.1166018220376406E-04  0.2429526325524776E-03  0.4905580025434232E-04  0.4455975663099472E-09
  0.1176869494569975E-04  0.2452134810148295E-03  0.4951229965238274E-04  0.4539297326373136E-09
  0.1187821753593426E-04  0.2474953670436756E-03  0.4997304685233673E-04  0.4624176998055327E-09
  0.1198875937238316E-04  0.2497984863736622E-03  0.5043808137598072E-04  0.4710643810579263E-09
  0.1210032994042150E-04  0.2521230365601242E-03  0.5090744311271569E-04  0.4798727441101942E-09
  0.1221293881369775E-04  0.2544692169960125E-03  0.5138117232298498E-04  0.4888458121689224E-09
  0.1232659565495528E-04  0.2568372289289792E-03  0.5185930964172411E-04  0.4979866649691351E-09
  0.1244131021686153E-04  0.2592272754786209E-03  0.5234189608184229E-04  0.5072984398312451E-09
  0.1255709234284481E-04  0.2616395616538822E-03  0.5282897303773668E-04  0.5167843327377667E-09
  0.1267395196793899E-04  0.2640742943706210E-03  0.5332058228883896E-04  0.5264475994301605E-09
  0.1279189911963601E-04  0.2665316824693371E-03  0.5381676600319499E-04  0.5362915565261832E-09
  0.1291094391874630E-04  0.2690119367330649E-03  0.5431756674107772E-04  0.5463195826581310E-09
  0.1303109658026722E-04  0.2715152699054331E-03  0.5482302745863354E-04  0.5565351196323635E-09
  0.1315236741425960E-04  0.2740418967088912E-03  0.5533319151156264E-04  0.5669416736105071E-09
  0.1327476682673244E-04  0.2765920338631057E-03  0.5584810265883351E-04  0.5775428163127426E-09
  0.1339830532053579E-04  0.2791659001035279E-03  0.5636780506643184E-04  0.5883421862435923E-09
  0.1352299349626203E-04  0.2817637162001322E-03  0.5689234331114429E-04  0.5993434899406222E-09
  0.1364884205315544E-04  0.2843857049763308E-03  0.5742176238437753E-04  0.6105505032464949E-09
  0.1377586179003030E-04  0.2870320913280620E-03  0.5795610769601249E-04  0.6219670726048020E-09
  0.1390406360619752E-04  0.2897031022430569E-03  0.5849542507829464E-04  0.6335971163801265E-09
  0.1403345850239989E-04  0.2923989668202848E-03  0.5903976078976023E-04  0.6454446262027854E-09
  0.1416405758175601E-04  0.2951199162895789E-03  0.5958916151919902E-04  0.6575136683387143E-09
  0.1429587205071303E-04  0.2978661840314445E-03  0.6014367438965395E-04  0.6698083850849648E-09
  0.1442891322000831E-04  0.3006380055970509E-03  0.6070334696245775E-04  0.6823329961912926E-09
  0.1456319250563987E-04  0.3034356187284093E-03  0.6126822724130707E-04  0.6950918003083236E-09
  0.1469872142984605E-04  0.3062592633787376E-03  0.6183836367637458E-04  0.7080891764627985E-09
  0.1483551162209422E-04  0.3091091817330146E-03  0.6241380516845913E-04  0.7213295855603956E-09
  0.1497357482007860E-04  0.3119856182287246E-03  0.6299460107317433E-04  0.7348175719166541E-09
  0.1511292287072753E-04  0.3148888195767954E-03  0.6358080120517637E-04  0.7485577648165194E-09
  0.1525356773122001E-04  0.3178190347827299E-03  0.6417245584243066E-04  0.7625548801030456E-09
  0.1539552147001169E-04  0.3207765151679343E-03  0.6476961573051845E-04  0.7768137217958025E-09
  0.1553879626787046E-04  0.3237615143912441E-03  0.6537233208698314E-04  0.7913391837395401E-09
  0.1568340441892168E-04  0.3267742884706499E-03  0.6598065660571720E-04  0.8061362512836776E-09
  0.1582935833170309E-04  0.3298150958052253E-03  0.6659464146138956E-04  0.8212100029931922E-09
  0.1597667053022956E-04  0.3328841971972581E-03  0.6721433931391432E-04  0.8365656123914962E-09
  0.1612535365506776E-04  0.3359818558745865E-03  0.6783980331296077E-04  0.8522083497358984E-09
  0.1627542046442081E-04  0.3391083375131429E-03  0.6847108710250540E-04  0.8681435838262610E-09
  0.1642688383522306E-04  0.3422639102597083E-03  0.6910824482542613E-04  0.8843767838474710E-09
  0.1657975676424502E-04  0.3454488447548752E-03  0.6975133112813910E-04  0.9009135212463602E-09
  0.1673405236920858E-04  0.3486634141562260E-03  0.7040040116527868E-04  0.9177594716437138E-09
  0.1688978388991261E-04  0.3519078941617256E-03  0.7105551060442059E-04  0.9349204167820293E-09
  0.1704696468936907E-04  0.3551825630333309E-03  0.7171671563084942E-04  0.9524022465096891E-09
  0.1720560825494965E-04  0.3584877016208199E-03  0.7238407295236963E-04  0.9702109608022308E-09
  0.1736572819954308E-04  0.3618235933858419E-03  0.7305763980416192E-04  0.9883526718214047E-09
  0.1752733826272322E-04  0.3651905244261906E-03  0.7373747395368430E-04  0.1006833606012732E-08
  0.1769045231192809E-04  0.3685887835003027E-03  0.7442363370561864E-04  0.1025660106242276E-08
  0.1785508434364970E-04  0.3720186620519835E-03  0.7511617790686330E-04  0.1044838633973361E-08
  0.1802124848463517E-04  0.3754804542353631E-03  0.7581516595157193E-04  0.1064375771483992E-08
  0.1818895899309883E-04  0.3789744569400820E-03  0.7652065778623915E-04  0.1084278224125727E-08
  0.1835823025994574E-04  0.3825009698167133E-03  0.7723271391483321E-04  0.1104552822624781E-08
  0.1852907681000654E-04  0.3860602953024179E-03  0.7795139540397665E-04  0.1125206525426156E-08
  0.1870151330328379E-04  0.3896527386468399E-03  0.7867676388817468E-04  0.1146246421081590E-08
  0.1887555453620990E-04  0.3932786079382412E-03  0.7940888157509215E-04  0.1167679730682158E-08
  0.1905121544291679E-04  0.3969382141298787E-03  0.8014781125087965E-04  0.1189513810336340E-08
  0.1922851109651740E-04  0.4006318710666268E-03  0.8089361628554893E-04  0.1211756153694439E-08
  0.1940745671039900E-04  0.4043598955118463E-03  0.8164636063839803E-04  0.1234414394520172E-08
  0.1958806763952872E-04  0.4081226071745026E-03  0.8240610886348706E-04  0.1257496309310355E-08
  0.1977035938177104E-04  0.4119203287365361E-03  0.8317292611516442E-04  0.1281009819963557E-08
  0.1995434757921769E-04  0.4157533858804856E-03  0.8394687815364472E-04  0.1304962996498651E-08
  0.2014004801952982E-04  0.4196221073173687E-03  0.8472803135063794E-04  0.1329364059824185E-08
  0.2032747663729277E-04  0.4235268248148206E-03  0.8551645269503134E-04  0.1354221384559531E-08
  0.2051664951538333E-04  0.4274678732254943E-03  0.8631220979862351E-04  0.1379543501908778E-08
  0.2070758288634979E-04  0.4314455905157227E-03  0.8711537090191221E-04  0.1405339102588352E-08
  0.2090029313380484E-04  0.4354603177944488E-03  0.8792600487993529E-04  0.1431617039809367E-08
  0.2109479679383142E-04  0.4395123993424230E-03  0.8874418124816643E-04  0.1458386332315740E-08
  0.2129111055640161E-04  0.4436021826416707E-03  0.8956997016846501E-04  0.1485656167479096E-08
  0.2148925126680880E-04  0.4477300184052348E-03  0.9040344245508141E-04  0.1513435904451542E-08
  0.2168923592711313E-04  0.4518962606071923E-03  0.9124466958071791E-04  0.1541735077377370E-08
  0.2189108169760044E-04  0.4561012665129507E-03  0.9209372368264613E-04  0.1570563398664826E-08
  0.2209480589825470E-04  0.4603453967098245E-03  0.9295067756888064E-04  0.1599930762319018E-08
  0.2230042601024425E-04  0.4646290151378959E-03  0.9381560472441031E-04  0.1629847247337157E-08
  0.2250795967742180E-04  0.4689524891211605E-03  0.9468857931748722E-04  0.1660323121167264E-08
  0.2271742470783844E-04  0.4733161893989635E-03  0.9556967620597386E-04  0.1691368843231528E-08
  0.2292883907527168E-04  0.4777204901577264E-03  0.9645897094374937E-04  0.1722995068515556E-08
  0.2314222092076778E-04  0.4821657690629674E-03  0.9735653978717501E-04  0.1755212651224704E-08
  0.2335758855419836E-04  0.4866524072916203E-03  0.9826245970161963E-04  0.1788032648508770E-08
  0.2357496045583156E-04  0.4911807895646510E-03  0.9917680836804560E-04  0.1821466324256327E-08
  0.2379435527791778E-04  0.4957513041799785E-03  0.1000996641896560E-03  0.1855525152959982E-08
  0.2401579184629021E-04  0.5003643430456996E-03  0.1010311062986031E-03  0.1890220823653898E-08
  0.2423928916198023E-04  0.5050203017136220E-03  0.1019712145627595E-03  0.1925565243924932E-08
  0.2446486640284783E-04  0.5097195794131088E-03  0.1029200695925513E-03  0.1961570543998756E-08
  0.2469254292522724E-04  0.5144625790852362E-03  0.1038777527478555E-03  0.1998249080902367E-08
  0.2492233826558790E-04  0.5192497074172678E-03  0.1048443461449610E-03  0.2035613442704420E-08
  0.2515427214221074E-04  0.5240813748774489E-03  0.1058199326635936E-03  0.2073676452834824E-08
  0.2538836445688030E-04  0.5289579957501228E-03  0.1068045959540067E-03  0.2112451174485103E-08
  0.2562463529659233E-04  0.5338799881711729E-03  0.1077984204441379E-03  0.2151950915091008E-08
  0.2586310493527754E-04  0.5388477741637942E-03  0.1088014913468312E-03  0.2192189230898940E-08
  0.2610379383554116E-04  0.5438617796745934E-03  0.1098138946671269E-03  0.2233179931617732E-08
  0.2634672265041888E-04  0.5489224346100277E-03  0.1108357172096184E-03  0.2274937085157405E-08
  0.2659191222514895E-04  0.5540301728731776E-03  0.1118670465858777E-03  0.2317475022456496E-08
  0.2683938359896098E-04  0.5591854324008626E-03  0.1129079712219495E-03  0.2360808342399648E-08
  0.2708915800688121E-04  0.5643886552011006E-03  0.1139585803659146E-03  0.2404951916827123E-08
  0.2734125688155462E-04  0.5696402873909132E-03  0.1150189640955235E-03  0.2449920895637957E-08
  0.2759570185508409E-04  0.5749407792344833E-03  0.1160892133259012E-03  0.2495730711988537E-08
  0.2785251476088657E-04  0.5802905851816640E-03  0.1171694198173224E-03  0.2542397087588335E-08
  0.2811171763556656E-04  0.5856901639068466E-03  0.1182596761830596E-03  0.2589936038094660E-08
  0.2837333272080704E-04  0.5911399783481867E-03  0.1193600758973036E-03  0.2638363878608258E-08
  0.2863738246527797E-04  0.5966404957471942E-03  0.1204707133031573E-03  0.2687697229271639E-08
  0.2890388952656259E-04  0.6021921876886919E-03  0.1215916836207035E-03  0.2737953020972071E-08
  0.2917287677310159E-04  0.6077955301411412E-03  0.1227230829551481E-03  0.2789148501151174E-08
  0.2944436728615545E-04  0.6134510034973438E-03  0.1238650083050375E-03  0.2841301239723133E-08
  0.2971838436178492E-04  0.6191590926155195E-03  0.1250175575705535E-03  0.2894429135103529E-08
  0.2999495151285011E-04  0.6249202868607637E-03  0.1261808295618838E-03  0.2948550420350889E-08
  0.3027409247102800E-04  0.6307350801468911E-03  0.1273549240076710E-03  0.3003683669423032E-08
  0.3055583118884884E-04  0.6366039709786642E-03  0.1285399415635392E-03  0.3059847803550378E-08
  0.3084019184175148E-04  0.6425274624944152E-03  0.1297359838206998E-03  0.3117062097728398E-08
  0.3112719883015779E-04  0.6485060625090608E-03  0.1309431533146372E-03  0.3175346187331424E-08
  0.3141687678156643E-04  0.6545402835575173E-03  0.1321615535338746E-03  0.3234720074850102E-08
  0.3170925055266608E-04  0.6606306429385150E-03  0.1333912889288211E-03  0.3295204136754799E-08
  0.3200434523146835E-04  0.6667776627588216E-03  0.1346324649207007E-03  0.3356819130487292E-08
  0.3230218613946050E-04  0.6729818699778720E-03  0.1358851879105640E-03  0.3419586201583177E-08
  0.3260279883377829E-04  0.6792437964528139E-03  0.1371495652883834E-03  0.3483526890927405E-08
  0.3290620910939894E-04  0.6855639789839679E-03  0.1384257054422326E-03  0.3548663142145462E-08
  0.3321244300135454E-04  0.6919429593607109E-03  0.1397137177675506E-03  0.3615017309132698E-08
  0.3352152678696609E-04  0.6983812844077825E-03  0.1410137126764918E-03  0.3682612163724425E-08
  0.3383348698809830E-04  0.7048795060320208E-03  0.1423258016073630E-03  0.3751470903509374E-08
  0.3414835037343536E-04  0.7114381812695313E-03  0.1436500970341469E-03  0.3821617159789223E-08
  0.3446614396077791E-04  0.7180578723332904E-03  0.1449867124761146E-03  0.3893075005686911E-08
  0.3478689501936146E-04  0.7247391466611925E-03  0.1463357625075266E-03  0.3965868964406519E-08
  0.3511063107219615E-04  0.7314825769645387E-03  0.1476973627674236E-03  0.4040024017647546E-08
  0.3543737989842861E-04  0.7382887412769771E-03  0.1490716299695081E-03  0.4115565614176497E-08
  0.3576716953572552E-04  0.7451582230038933E-03  0.1504586819121173E-03  0.4192519678558670E-08
  0.3610002828267953E-04  0.7520916109722599E-03  0.1518586374882884E-03  0.4270912620053182E-08
  0.3643598470123745E-04  0.7590894994809457E-03  0.1532716166959165E-03  0.4350771341674260E-08
  0.3677506761915119E-04  0.7661524883514936E-03  0.1546977406480079E-03  0.4432123249421922E-08
  0.3711730613245130E-04  0.7732811829793630E-03  0.1561371315830261E-03  0.4514996261685192E-08
