        2000           2
      0    0
      2.   2.
    -0.4732669897435335E+01 -0.3092695515726674E+00
     0.3854908577683740E+00  0.1735348129134877E+01
  0.1134998244062121E-04  0.1664934907155106E-03  0.3034138433827966E-04
  0.1145560838145395E-04  0.1680428522109026E-03  0.3062373635332908E-04
  0.1156221730525034E-04  0.1696066311468937E-03  0.3090871576902922E-04
  0.1166981835991002E-04  0.1711849616711786E-03  0.3119634703214212E-04
  0.1177842077846541E-04  0.1727779791794018E-03  0.3148665481685324E-04
  0.1188803387987398E-04  0.1743858203267627E-03  0.3177966402688642E-04
  0.1199866706981788E-04  0.1760086230397285E-03  0.3207539979763830E-04
  0.1211032984151102E-04  0.1776465265278558E-03  0.3237388749833280E-04
  0.1222303177651370E-04  0.1792996712957224E-03  0.3267515273419546E-04
  0.1233678254555472E-04  0.1809681991549699E-03  0.3297922134864798E-04
  0.1245159190936126E-04  0.1826522532364575E-03  0.3328611942552330E-04
  0.1256746971949641E-04  0.1843519780025298E-03  0.3359587329130111E-04
  0.1268442591920452E-04  0.1860675192593981E-03  0.3390850951736414E-04
  0.1280247054426438E-04  0.1877990241696361E-03  0.3422405492227555E-04
  0.1292161372385043E-04  0.1895466412647931E-03  0.3454253657407732E-04
  0.1304186568140185E-04  0.1913105204581232E-03  0.3486398179261013E-04
  0.1316323673549987E-04  0.1930908130574331E-03  0.3518841815185460E-04
  0.1328573730075318E-04  0.1948876717780495E-03  0.3551587348229458E-04
  0.1340937788869157E-04  0.1967012507559068E-03  0.3584637587330206E-04
  0.1353416910866787E-04  0.1985317055607564E-03  0.3617995367554453E-04
  0.1366012166876841E-04  0.2003791932094986E-03  0.3651663550341449E-04
  0.1378724637673179E-04  0.2022438721796387E-03  0.3685645023748168E-04
  0.1391555414087626E-04  0.2041259024228675E-03  0.3719942702696798E-04
  0.1404505597103578E-04  0.2060254453787689E-03  0.3754559529224538E-04
  0.1417576297950477E-04  0.2079426639886540E-03  0.3789498472735709E-04
  0.1430768638199157E-04  0.2098777227095236E-03  0.3824762530256218E-04
  0.1444083749858087E-04  0.2118307875281617E-03  0.3860354726690369E-04
