        2000           3
      0    0    1
      2.   2.   2.
    -0.1132551869438894E+02 -0.7056272781759070E+00 -0.4333405065661955E+00
     0.4122130798006953E+00  0.2224858318384831E+01  0.3083687973598918E+01
  0.7566654960414142E-05  0.2094193788834486E-03  0.4462046545802903E-04  0.3484384062065617E-09
  0.7637072254302635E-05  0.2113682017510874E-03  0.4503569629235671E-04  0.3549538283484380E-09
  0.7708144870166891E-05  0.2133351592103065E-03  0.4545479101893903E-04  0.3615910811416935E-09
  0.7779878906606677E-05  0.2153204199951916E-03  0.4587778558952715E-04  0.3683524426546981E-09
  0.7852280518976937E-05  0.2173241544095282E-03  0.4630471629032434E-04  0.3752402335520549E-09
  0.7925355919915984E-05  0.2193465343413993E-03  0.4673561974509615E-04  0.3822568178910639E-09
  0.7999111379878584E-05  0.2213877332779183E-03  0.4717053291830951E-04  0.3894046039330810E-09
  0.8073553227674016E-05  0.2234479263200981E-03  0.4760949311830094E-04  0.3966860449700443E-09
  0.8148687851009133E-05  0.2255272901978593E-03  0.4805253800047425E-04  0.4041036401664568E-09
  0.8224521697036480E-05  0.2276260032851776E-03  0.4849970557052796E-04  0.4116599354171099E-09
  0.8301061272907508E-05  0.2297442456153714E-03  0.4895103418771262E-04  0.4193575242208457E-09
  0.8378313146330943E-05  0.2318821988965325E-03  0.4940656256811851E-04  0.4271990485706556E-09
  0.8456283946136347E-05  0.2340400465270988E-03  0.4986632978799384E-04  0.4351871998604216E-09
  0.8534980362842923E-05  0.2362179736115732E-03  0.5033037528709376E-04  0.4433247198086112E-09
  0.8614409149233619E-05  0.2384161669763874E-03  0.5079873887206048E-04  0.4516144013992428E-09
  0.8694577120934565E-05  0.2406348151859133E-03  0.5127146071983487E-04  0.4600590898404452E-09
  0.8775491156999916E-05  0.2428741085586237E-03  0.5174858138109965E-04  0.4686616835409385E-09
  0.8857158200502123E-05  0.2451342391834029E-03  0.5223014178375469E-04  0.4774251351047740E-09
  0.8939585259127710E-05  0.2474154009360084E-03  0.5271618323642446E-04  0.4863524523446715E-09
  0.9022779405778581E-05  0.2497177894956857E-03  0.5320674743199824E-04  0.4954466993143043E-09
  0.9106747779178943E-05  0.2520416023619383E-03  0.5370187645120300E-04  0.5047109973598843E-09
  0.9191497584487857E-05  0.2543870388714521E-03  0.5420161276620962E-04  0.5141485261914104E-09
  0.9277036093917503E-05  0.2567543002151786E-03  0.5470599924427274E-04  0.5237625249739435E-09
  0.9363370647357190E-05  0.2591435894555745E-03  0.5521507915140399E-04  0.5335562934392875E-09
  0.9450508653003182E-05  0.2615551115440047E-03  0.5572889615607990E-04  0.5435331930184551E-09
  0.9538457587994379E-05  0.2639890733383039E-03  0.5624749433298375E-04  0.5536966479953074E-09
  0.9627224999053910E-05  0.2664456836205032E-03  0.5677091816678255E-04  0.5640501466817623E-09
  0.9716818503136714E-05  0.2689251531147202E-03  0.5729921255593889E-04  0.5745972426149773E-09
  0.9807245788083123E-05  0.2714276945052167E-03  0.5783242281655830E-04  0.5853415557769159E-09
  0.9898514613278549E-05  0.2739535224546224E-03  0.5837059468627232E-04  0.5962867738367149E-09
  0.9990632810319297E-05  0.2765028536223294E-03  0.5891377432815764E-04  0.6074366534162824E-09
  0.1008360828368458E-04  0.2790759066830569E-03  0.5946200833469157E-04  0.6187950213795567E-09
  0.1017744901141479E-04  0.2816729023455876E-03  0.6001534373174444E-04  0.6303657761458727E-09
  0.1027216304579607E-04  0.2842940633716802E-03  0.6057382798260891E-04  0.6421528890278815E-09
  0.1036775851405127E-04  0.2869396145951552E-03  0.6113750899206667E-04  0.6541604055944882E-09
  0.1046424361903734E-04  0.2896097829411593E-03  0.6170643511049315E-04  0.6663924470592695E-09
  0.1056162663994916E-04  0.2923047974456086E-03  0.6228065513800008E-04  0.6788532116948521E-09
  0.1065991593303001E-04  0.2950248892748122E-03  0.6286021832861673E-04  0.6915469762737370E-09
  0.1075911993228858E-04  0.2977702917452778E-03  0.6344517439450985E-04  0.7044780975360577E-09
  0.1085924715022268E-04  0.3005412403437022E-03  0.6403557351024287E-04  0.7176510136847878E-09
  0.1096030617854967E-04  0.3033379727471460E-03  0.6463146631707465E-04  0.7310702459088977E-09
  0.1106230568894370E-04  0.3061607288433969E-03  0.6523290392729813E-04  0.7447403999349947E-09
  0.1116525443377983E-04  0.3090097507515215E-03  0.6583993792861930E-04  0.7586661676079705E-09
  0.1126916124688503E-04  0.3118852828426080E-03  0.6645262038857671E-04  0.7728523285012024E-09
  0.1137403504429620E-04  0.3147875717607021E-03  0.6707100385900232E-04  0.7873037515568614E-09
  0.1147988482502525E-04  0.3177168664439361E-03  0.6769514138052343E-04  0.8020253967568873E-09
  0.1158671967183127E-04  0.3206734181458557E-03  0.6832508648710663E-04  0.8170223168252061E-09
  0.1169454875199991E-04  0.3236574804569435E-03  0.6896089321064383E-04  0.8322996589617727E-09
  0.1180338131813001E-04  0.3266693093263432E-03  0.6960261608558099E-04  0.8478626666090352E-09
  0.1191322670892753E-04  0.3297091630837854E-03  0.7025031015358974E-04  0.8637166812514255E-09
  0.1202409435000692E-04  0.3327773024617166E-03  0.7090403096828245E-04  0.8798671442484960E-09
  0.1213599375469989E-04  0.3358739906176340E-03  0.7156383459997090E-04  0.8963195987023255E-09
  0.1224893452487171E-04  0.3389994931566274E-03  0.7222977764046938E-04  0.9130796913598446E-09
  0.1236292635174518E-04  0.3421540781541311E-03  0.7290191720794230E-04  0.9301531745507242E-09
  0.1247797901673217E-04  0.3453380161788861E-03  0.7358031095179664E-04  0.9475459081614971E-09
  0.1259410239227295E-04  0.3485515803161158E-03  0.7426501705762008E-04  0.9652638616465889E-09
  0.1271130644268334E-04  0.3517950461909176E-03  0.7495609425216483E-04  0.9833131160769477E-09
  0.1282960122500974E-04  0.3550686919918703E-03  0.7565360180837774E-04  0.1001699866226976E-08
  0.1294899688989205E-04  0.3583727984948619E-03  0.7635759955047711E-04  0.1020430422700482E-08
  0.1306950368243474E-04  0.3617076490871378E-03  0.7706814785907668E-04  0.1039511214096374E-08
  0.1319113194308591E-04  0.3650735297915728E-03  0.7778530767635712E-04  0.1058948789214855E-08
  0.1331389210852463E-04  0.3684707292911679E-03  0.7850914051128555E-04  0.1078749819304851E-08
  0.1343779471255646E-04  0.3718995389537752E-03  0.7923970844488364E-04  0.1098921100353473E-08
  0.1356285038701734E-04  0.3753602528570511E-03  0.7997707413554423E-04  0.1119469555418272E-08
  0.1368906986268589E-04  0.3788531678136428E-03  0.8072130082439788E-04  0.1140402237003104E-08
  0.1381646397020419E-04  0.3823785833966071E-03  0.8147245234072864E-04  0.1161726329478414E-08
  0.1394504364100715E-04  0.3859368019650658E-03  0.8223059310744052E-04  0.1183449151546771E-08
  0.1407481990826051E-04  0.3895281286900993E-03  0.8299578814657452E-04  0.1205578158754493E-08
  0.1420580390780756E-04  0.3931528715808802E-03  0.8376810308487678E-04  0.1228120946050241E-08
  0.1433800687912471E-04  0.3968113415110496E-03  0.8454760415941865E-04  0.1251085250391438E-08
  0.1447144016628590E-04  0.4005038522453385E-03  0.8533435822326875E-04  0.1274478953399424E-08
  0.1460611521893602E-04  0.4042307204664356E-03  0.8612843275121763E-04  0.1298310084064251E-08
  0.1474204359327341E-04  0.4079922658021051E-03  0.8692989584555572E-04  0.1322586821500042E-08
  0.1487923695304142E-04  0.4117888108525555E-03  0.8773881624190473E-04  0.1347317497751876E-08
  0.1501770707052931E-04  0.4156206812180633E-03  0.8855526331510339E-04  0.1372510600655137E-08
  0.1515746582758235E-04  0.4194882055268524E-03  0.8937930708514751E-04  0.1398174776748329E-08
  0.1529852521662145E-04  0.4233917154632317E-03  0.9021101822318538E-04  0.1424318834240347E-08
  0.1544089734167212E-04  0.4273315457959953E-03  0.9105046805756875E-04  0.1450951746033228E-08
  0.1558459441940316E-04  0.4313080344070850E-03  0.9189772857995999E-04  0.1478082652801404E-08
  0.1572962878017491E-04  0.4353215223205184E-03  0.9275287245149573E-04  0.1505720866128536E-08
  0.1587601286909733E-04  0.4393723537315873E-03  0.9361597300900802E-04  0.1533875871702988E-08
