        5000           6
      0    0    1    0    1    0
      2.   2.   6.   2.   6.   2.
    -0.1493637258925156E+03 -0.1682274427363942E+02 -0.1362926920660047E+02 -0.2245376006036510E+01 -0.1340706956896836E+01 -0.1955296924620742E+00
     0.5952298885114118E+00  0.3493979371228924E+01  0.4703368227758940E+01  0.8356285256917101E+01  0.1019261879176844E+02  0.1431074394877273E+02
  0.2269996488124243E-05  0.3966049533296726E-03  0.1151231178907518E-03  0.1278757540411305E-08  0.3969994217399073E-04  0.4161690455853262E-09  0.9478982232435799E-05
  0.2279623689623906E-05  0.3982869038263300E-03  0.1156113401976133E-03  0.1289627003186378E-08  0.3986830451254338E-04  0.4197064901798815E-09  0.9519181374508818E-05
  0.2289291720705994E-05  0.3999759869316744E-03  0.1161016328975508E-03  0.1300588856065311E-08  0.4003738082138181E-04  0.4232740029461804E-09  0.9559550988156414E-05
  0.2299000754531398E-05  0.4016722328900187E-03  0.1165940047696266E-03  0.1311643884354398E-08  0.4020717412794540E-04  0.4268718394605623E-09  0.9600091796227112E-05
  0.2308750964995399E-05  0.4033756720738969E-03  0.1170884646301219E-03  0.1322792880034871E-08  0.4037768747250848E-04  0.4305002574717111E-09  0.9640804524633951E-05
  0.2318542526730774E-05  0.4050863349846073E-03  0.1175850213326944E-03  0.1334036641819630E-08  0.4054892390823449E-04  0.4341595169191184E-09  0.9681689902367478E-05
  0.2328375615110932E-05  0.4068042522527580E-03  0.1180836837685369E-03  0.1345375975210460E-08  0.4072088650123083E-04  0.4378498799517057E-09  0.9722748661508794E-05
  0.2338250406253054E-05  0.4085294546388158E-03  0.1185844608665365E-03  0.1356811692555739E-08  0.4089357833060360E-04  0.4415716109466027E-09  0.9763981537242646E-05
  0.2348167077021241E-05  0.4102619730336553E-03  0.1190873615934338E-03  0.1368344613108624E-08  0.4106700248851273E-04  0.4453249765280867E-09  0.9805389267870586E-05
  0.2358125805029687E-05  0.4120018384591124E-03  0.1195923949539840E-03  0.1379975563085745E-08  0.4124116208022723E-04  0.4491102455866823E-09  0.9846972594824172E-05
  0.2368126768645863E-05  0.4137490820685392E-03  0.1200995699911174E-03  0.1391705375726388E-08  0.4141606022418085E-04  0.4529276892984240E-09  0.9888732262678244E-05
  0.2378170146993704E-05  0.4155037351473612E-03  0.1206088957861015E-03  0.1403534891352187E-08  0.4159170005202780E-04  0.4567775811442814E-09  0.9930669019164232E-05
  0.2388256119956821E-05  0.4172658291136365E-03  0.1211203814587035E-03  0.1415464957427320E-08  0.4176808470869875E-04  0.4606601969297509E-09  0.9972783615183533E-05
  0.2398384868181726E-05  0.4190353955186193E-03  0.1216340361673534E-03  0.1427496428619218E-08  0.4194521735245722E-04  0.4645758148046130E-09  0.1001507680482097E-04
  0.2408556573081062E-05  0.4208124660473224E-03  0.1221498691093076E-03  0.1439630166859791E-08  0.4212310115495592E-04  0.4685247152828574E-09  0.1005754934535823E-04
  0.2418771416836856E-05  0.4225970725190862E-03  0.1226678895208140E-03  0.1451867041407170E-08  0.4230173930129363E-04  0.4725071812627789E-09  0.1010020199728749E-04
  0.2429029582403781E-05  0.4243892468881460E-03  0.1231881066772765E-03  0.1464207928907982E-08  0.4248113499007207E-04  0.4765234980472424E-09  0.1014303552432493E-04
  0.2439331253512429E-05  0.4261890212442047E-03  0.1237105298934217E-03  0.1476653713460143E-08  0.4266129143345321E-04  0.4805739533641195E-09  0.1018605069342449E-04
  0.2449676614672612E-05  0.4279964278130068E-03  0.1242351685234648E-03  0.1489205286676197E-08  0.4284221185721669E-04  0.4846588373869028E-09  0.1022924827479150E-04
  0.2460065851176653E-05  0.4298114989569150E-03  0.1247620319612776E-03  0.1501863547747182E-08  0.4302389950081753E-04  0.4887784427554904E-09  0.1027262904189654E-04
  0.2470499149102717E-05  0.4316342671754886E-03  0.1252911296405561E-03  0.1514629403507048E-08  0.4320635761744410E-04  0.4929330645971503E-09  0.1031619377148921E-04
  0.2480976695318136E-05  0.4334647651060652E-03  0.1258224710349895E-03  0.1527503768497617E-08  0.4338958947407631E-04  0.4971230005476617E-09  0.1035994324361207E-04
  0.2491498677482757E-05  0.4353030255243451E-03  0.1263560656584296E-03  0.1540487565034096E-08  0.4357359835154403E-04  0.5013485507726362E-09  0.1040387824161458E-04
  0.2502065284052309E-05  0.4371490813449764E-03  0.1268919230650611E-03  0.1553581723271148E-08  0.4375838754458582E-04  0.5056100179890212E-09  0.1044799955216712E-04
  0.2512676704281768E-05  0.4390029656221454E-03  0.1274300528495721E-03  0.1566787181269525E-08  0.4394396036190788E-04  0.5099077074867841E-09  0.1049230796527504E-04
  0.2523333128228758E-05  0.4408647115501664E-03  0.1279704646473265E-03  0.1580104885063267E-08  0.4413032012624315E-04  0.5142419271507817E-09  0.1053680427429282E-04
  0.2534034746756947E-05  0.4427343524640763E-03  0.1285131681345355E-03  0.1593535788727468E-08  0.4431747017441089E-04  0.5186129874828173E-09  0.1058148927593824E-04
  0.2544781751539469E-05  0.4446119218402314E-03  0.1290581730284315E-03  0.1607080854446625E-08  0.4450541385737627E-04  0.5230212016238822E-09  0.1062636377030667E-04
  0.2555574335062354E-05  0.4464974532969050E-03  0.1296054890874414E-03  0.1620741052583562E-08  0.4469415454031031E-04  0.5274668853765875E-09  0.1067142856088532E-04
  0.2566412690627980E-05  0.4483909805948898E-03  0.1301551261113612E-03  0.1634517361748947E-08  0.4488369560265015E-04  0.5319503572277879E-09  0.1071668445456769E-04
  0.2577297012358533E-05  0.4502925376381017E-03  0.1307070939415317E-03  0.1648410768871387E-08  0.4507404043815946E-04  0.5364719383713955E-09  0.1076213226166793E-04
  0.2588227495199482E-05  0.4522021584741858E-03  0.1312614024610140E-03  0.1662422269268133E-08  0.4526519245498915E-04  0.5410319527313893E-09  0.1080777279593539E-04
  0.2599204334923073E-05  0.4541198772951253E-03  0.1318180615947668E-03  0.1676552866716381E-08  0.4545715507573837E-04  0.5456307269850191E-09  0.1085360687456916E-04
  0.2610227728131835E-05  0.4560457284378550E-03  0.1323770813098236E-03  0.1690803573525171E-08  0.4564993173751564E-04  0.5502685905862073E-09  0.1089963531823267E-04
  0.2621297872262102E-05  0.4579797463848730E-03  0.1329384716154712E-03  0.1705175410607909E-08  0.4584352589200047E-04  0.5549458757891498E-09  0.1094585895106839E-04
