        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   5.
    -0.1048844212714067E+03 -0.1060748118907394E+02 -0.8072227782934210E+01 -0.1072912178350412E+01 -0.5064001011970383E+00
     0.5698321485094588E+00  0.3416563289808098E+01  0.4676078224660209E+01  0.8321845516498831E+01  0.1021399880402478E+02
  0.2670584103675580E-05  0.3644868138534164E-03  0.1021693882646362E-03  0.1098134856074919E-08  0.3090945751249829E-04  0.2956230929512134E-09
  0.2695437266224460E-05  0.3678786691895484E-03  0.1031201600661175E-03  0.1118668792714243E-08  0.3119709592455022E-04  0.3011509257361777E-09
  0.2720521718882432E-05  0.3713020871228936E-03  0.1040797791869560E-03  0.1139586689566961E-08  0.3148741092933088E-04  0.3067821224251490E-09
  0.2745839614096474E-05  0.3747573613289920E-03  0.1050483279474140E-03  0.1160895726169646E-08  0.3178042743131201E-04  0.3125186157833032E-09
  0.2771393124344801E-05  0.3782447882153897E-03  0.1060258894335628E-03  0.1182603216304717E-08  0.3207617056664682E-04  0.3183623747154311E-09
  0.2797184442323289E-05  0.3817646669470446E-03  0.1070125475044049E-03  0.1204716610510563E-08  0.3237466570532443E-04  0.3243154049416782E-09
  0.2823215781133618E-05  0.3853172994719686E-03  0.1080083867990611E-03  0.1227243498638618E-08  0.3267593845334435E-04  0.3303797496859188E-09
  0.2849489374473182E-05  0.3889029905471074E-03  0.1090134927440250E-03  0.1250191612458230E-08  0.3298001465491122E-04  0.3365574903770011E-09
  0.2876007476826753E-05  0.3925220477644614E-03  0.1100279515604854E-03  0.1273568828310242E-08  0.3328692039464987E-04  0.3428507473631031E-09
  0.2902772363659934E-05  0.3961747815774484E-03  0.1110518502717154E-03  0.1297383169810193E-08  0.3359668199984102E-04  0.3492616806394463E-09
  0.2929786331614414E-05  0.3998615053275129E-03  0.1120852767105315E-03  0.1321642810602048E-08  0.3390932604267773E-04  0.3557924905896141E-09
  0.2957051698705039E-05  0.4035825352709805E-03  0.1131283195268216E-03  0.1346356077163432E-08  0.3422487934254281E-04  0.3624454187407329E-09
  0.2984570804518710E-05  0.4073381906061636E-03  0.1141810681951422E-03  0.1371531451663299E-08  0.3454336896830744E-04  0.3692227485327717E-09
  0.3012346010415149E-05  0.4111287935007181E-03  0.1152436130223874E-03  0.1397177574873048E-08  0.3486482224065100E-04  0.3761268061022256E-09
  0.3040379699729512E-05  0.4149546691192543E-03  0.1163160451555284E-03  0.1423303249132050E-08  0.3518926673440272E-04  0.3831599610804527E-09
  0.3068674277976905E-05  0.4188161456512050E-03  0.1173984565894250E-03  0.1449917441368641E-08  0.3551673028090476E-04  0.3903246274069378E-09
  0.3097232173058794E-05  0.4227135543389511E-03  0.1184909401747095E-03  0.1477029286177587E-08  0.3584724097039752E-04  0.3976232641577611E-09
  0.3126055835471338E-05  0.4266472295062104E-03  0.1195935896257446E-03  0.1504648088955096E-08  0.3618082715442701E-04  0.4050583763895576E-09
  0.3155147738515662E-05  0.4306175085866886E-03  0.1207064995286546E-03  0.1532783329092440E-08  0.3651751744827447E-04  0.4126325159992570E-09
  0.3184510378510087E-05  0.4346247321529970E-03  0.1218297653494309E-03  0.1561444663229295E-08  0.3685734073340883E-04  0.4203482825998961E-09
  0.3214146275004333E-05  0.4386692439458392E-03  0.1229634834421139E-03  0.1590641928567909E-08  0.3720032615996162E-04  0.4282083244128092E-09
  0.3244057970995715E-05  0.4427513909034686E-03  0.1241077510570497E-03  0.1620385146249227E-08  0.3754650314922520E-04  0.4362153391764982E-09
  0.3274248033147354E-05  0.4468715231914193E-03  0.1252626663492242E-03  0.1650684524792154E-08  0.3789590139617397E-04  0.4443720750724962E-09
  0.3304719052008420E-05  0.4510299942325138E-03  0.1264283283866749E-03  0.1681550463597111E-08  0.3824855087200904E-04  0.4526813316685433E-09
  0.3335473642236417E-05  0.4552271607371496E-03  0.1276048371589798E-03  0.1712993556515104E-08  0.3860448182672674E-04  0.4611459608793953E-09
  0.3366514442821545E-05  0.4594633827338653E-03  0.1287922935858262E-03  0.1745024595483517E-08  0.3896372479171062E-04  0.4697688679455979E-09
  0.3397844117313145E-05  0.4637390236001938E-03  0.1299907995256585E-03  0.1777654574229899E-08  0.3932631058234791E-04  0.4785530124305621E-09
