        2000           3
      0    0    1
      2.   2.   5.
    -0.2638276022172297E+02 -0.1572534745745581E+01 -0.7300175274431061E+00
     0.4650035124898757E+00  0.3006558517364327E+01  0.4390796570765964E+01
  0.5044436640276095E-05  0.2608237680776692E-03  0.6036594070733359E-04  0.5243176349393297E-09
  0.5091381502868424E-05  0.2632509518767566E-03  0.6092769638751621E-04  0.5341218088396412E-09
  0.5138763246777927E-05  0.2657007216109819E-03  0.6149467943339962E-04  0.5441093091409827E-09
  0.5186585937737785E-05  0.2681732874321476E-03  0.6206693848323211E-04  0.5542835637990526E-09
  0.5234853679317958E-05  0.2706688614470574E-03  0.6264452262773405E-04  0.5646480648668341E-09
  0.5283570613277323E-05  0.2731876577356964E-03  0.6322748141430565E-04  0.5752063696930876E-09
  0.5332740919919056E-05  0.2757298923695798E-03  0.6381586485127364E-04  0.5859621021432525E-09
  0.5382368818449344E-05  0.2782957834302734E-03  0.6440972341217761E-04  0.5969189538431770E-09
  0.5432458567339422E-05  0.2808855510280842E-03  0.6500910804009599E-04  0.6080806854461007E-09
  0.5483014464690986E-05  0.2834994173209266E-03  0.6561407015201237E-04  0.6194511279233285E-09
  0.5534040848605005E-05  0.2861376065333625E-03  0.6622466164322234E-04  0.6310341838790358E-09
  0.5585542097553962E-05  0.2888003449758193E-03  0.6684093489178118E-04  0.6428338288896574E-09
  0.5637522630757564E-05  0.2914878610639858E-03  0.6746294276299315E-04  0.6548541128683183E-09
  0.5689986908561949E-05  0.2942003853383885E-03  0.6809073861394208E-04  0.6670991614547778E-09
  0.5742939432822412E-05  0.2969381504841500E-03  0.6872437629806445E-04  0.6795731774313605E-09
  0.5796384747289710E-05  0.2997013913509307E-03  0.6936391016976473E-04  0.6922804421653611E-09
  0.5850327437999944E-05  0.3024903449730560E-03  0.7000939508907368E-04  0.7052253170784199E-09
  0.5904772133668082E-05  0.3053052505898306E-03  0.7066088642634992E-04  0.7184122451433700E-09
  0.5959723506085140E-05  0.3081463496660406E-03  0.7131844006702511E-04  0.7318457524090714E-09
  0.6015186270519054E-05  0.3110138859126475E-03  0.7198211241639339E-04  0.7455304495537572E-09
  0.6071165186119295E-05  0.3139081053076737E-03  0.7265196040444508E-04  0.7594710334674211E-09
  0.6127665056325238E-05  0.3168292561172814E-03  0.7332804149074549E-04  0.7736722888637917E-09
  0.6184690729278336E-05  0.3197775889170489E-03  0.7401041366935896E-04  0.7881390899224470E-09
  0.6242247098238127E-05  0.3227533566134434E-03  0.7469913547381862E-04  0.8028764019616308E-09
  0.6300339102002121E-05  0.3257568144654929E-03  0.7539426598214240E-04  0.8178892831423458E-09
  0.6358971725329586E-05  0.3287882201066612E-03  0.7609586482189560E-04  0.8331828862043099E-09
  0.6418149999369274E-05  0.3318478335669234E-03  0.7680399217530038E-04  0.8487624602343683E-09
  0.6477879002091143E-05  0.3349359172950499E-03  0.7751870878439299E-04  0.8646333524679712E-09
  0.6538163858722082E-05  0.3380527361810943E-03  0.7824007595622857E-04  0.8808010101243319E-09
  0.6599009742185699E-05  0.3411985575790915E-03  0.7896815556813450E-04  0.8972709822758992E-09
  0.6660421873546198E-05  0.3443736513299670E-03  0.7970301007301255E-04  0.9140489217527822E-09
  0.6722405522456387E-05  0.3475782897846581E-03  0.8044470250469018E-04  0.9311405870827814E-09
  0.6784966007609860E-05  0.3508127478274510E-03  0.8119329648332165E-04  0.9485518444676951E-09
  0.6848108697197380E-05  0.3540773028995330E-03  0.8194885622083919E-04  0.9662886697965736E-09
  0.6911839009367516E-05  0.3573722350227653E-03  0.8271144652645491E-04  0.9843571506966189E-09
  0.6976162412691558E-05  0.3606978268236751E-03  0.8348113281221371E-04  0.1002763488622425E-08
  0.7041084426632771E-05  0.3640543635576719E-03  0.8425798109859786E-04  0.1021514000984286E-08
  0.7106610622020007E-05  0.3674421331334871E-03  0.8504205802018359E-04  0.1040615123316293E-08
  0.7172746621525722E-05  0.3708614261378421E-03  0.8583343083135010E-04  0.1060073411484970E-08
  0.7239498100148455E-05  0.3743125358603449E-03  0.8663216741204189E-04  0.1079895543939201E-08
  0.7306870785699779E-05  0.3777957583186170E-03  0.8743833627358425E-04  0.1100088324002230E-08
  0.7374870459295799E-05  0.3813113922836560E-03  0.8825200656455304E-04  0.1120658682206507E-08
  0.7443502955853219E-05  0.3848597393054307E-03  0.8907324807669880E-04  0.1141613678672191E-08
  0.7512774164590018E-05  0.3884411037387165E-03  0.8990213125092592E-04  0.1162960505530129E-08
  0.7582690029530800E-05  0.3920557927691695E-03  0.9073872718332753E-04  0.1184706489390122E-08
  0.7653256550016834E-05  0.3957041164396427E-03  0.9158310763127606E-04  0.1206859093855360E-08
  0.7724479781220847E-05  0.3993863876767463E-03  0.9243534501957052E-04  0.1229425922083848E-08
  0.7796365834666608E-05  0.4031029223176566E-03  0.9329551244664114E-04  0.1252414719397738E-08
  0.7868920878753338E-05  0.4068540391371709E-03  0.9416368369081123E-04  0.1275833375941439E-08
  0.7942151139285020E-05  0.4106400598750152E-03  0.9503993321661731E-04  0.1299689929389426E-08
  0.8016062900004615E-05  0.4144613092634065E-03  0.9592433618118800E-04  0.1323992567704676E-08
  0.8090662503133259E-05  0.4183181150548684E-03  0.9681696844068209E-04  0.1348749631948679E-08
  0.8165956349914473E-05  0.4222108080503070E-03  0.9771790655678629E-04  0.1373969619143984E-08
  0.8241950901163453E-05  0.4261397221273474E-03  0.9862722780327362E-04  0.1399661185190268E-08
  0.8318652677821444E-05  0.4301051942689318E-03  0.9954501017262222E-04  0.1425833147834919E-08
  0.8396068261515297E-05  0.4341075645921848E-03  0.1004713323826960E-03  0.1452494489699168E-08
  0.8474204295122229E-05  0.4381471763775454E-03  0.1014062738834873E-03  0.1479654361360791E-08
  0.8553067483339826E-05  0.4422243760981708E-03  0.1023499148639217E-03  0.1507322084494452E-08
  0.8632664593261366E-05  0.4463395134496114E-03  0.1033023362587265E-03  0.1535507155070751E-08
  0.8713002454956490E-05  0.4504929413797632E-03  0.1042636197553630E-03  0.1564219246615096E-08
  0.8794087962057274E-05  0.4546850161190966E-03  0.1052338478010226E-03  0.1593468213527491E-08
  0.8875928072349757E-05  0.4589160972111671E-03  0.1062131036096883E-03  0.1623264094464399E-08
  0.8958529808370975E-05  0.4631865475434082E-03  0.1072014711692617E-03  0.1653617115783831E-08
  0.9041900258011561E-05  0.4674967333782110E-03  0.1081990352487560E-03  0.1684537695054850E-08
  0.9126046575123924E-05  0.4718470243842917E-03  0.1092058814055558E-03  0.1716036444632681E-08
  0.9210975980136123E-05  0.4762377936683505E-03  0.1102220959927442E-03  0.1748124175300667E-08
  0.9296695760671430E-05  0.4806694178070239E-03  0.1112477661664985E-03  0.1780811899980322E-08
  0.9383213272173671E-05  0.4851422768791351E-03  0.1122829798935537E-03  0.1814110837510734E-08
  0.9470535938538373E-05  0.4896567544982412E-03  0.1133278259587357E-03  0.1848032416498643E-08
  0.9558671252749806E-05  0.4942132378454847E-03  0.1143823939725645E-03  0.1882588279240486E-08
