        2000           6
      0    0    1    0    1    0
      2.   2.   6.   2.   6.   1.
    -0.1335330502224035E+03 -0.1448995837797101E+02 -0.1151928021623235E+02 -0.1748780530122646E+01 -0.9544233956090368E+00 -0.1474752395095421E+00
     0.5875147009246540E+00  0.3471618379017480E+01  0.4690846566728521E+01  0.8428825585442572E+01  0.1030039206381663E+02  0.1442310662429762E+02
  0.2389469987499203E-05  0.3861861430186740E-03  0.1109289733415538E-03  0.1220657073978734E-08  0.3655423273291099E-04  0.3717373923753460E-09  0.7058508795989750E-05
  0.2411707027674516E-05  0.3897799288022683E-03  0.1119612604249038E-03  0.1243482043859882E-08  0.3689440051012530E-04  0.3786884804126385E-09  0.7124194137140580E-05
  0.2434151011631650E-05  0.3934071562282429E-03  0.1130031533605521E-03  0.1266733813553465E-08  0.3723773368723352E-04  0.3857695455358117E-09  0.7190490707178554E-05
  0.2456803865244214E-05  0.3970681364557943E-03  0.1140547415265632E-03  0.1290420363638607E-08  0.3758426171683465E-04  0.3929830181405404E-09  0.7257404193309044E-05
  0.2479667532308506E-05  0.4007631835387719E-03  0.1151161151324682E-03  0.1314549823918487E-08  0.3793401432551944E-04  0.4003313740670083E-09  0.7324940335644393E-05
  0.2502743974710311E-05  0.4044926144525966E-03  0.1161873652269970E-03  0.1339130476210536E-08  0.3828702151641834E-04  0.4078171354496307E-09  0.7393104927695892E-05
  0.2526035172593237E-05  0.4082567491214295E-03  0.1172685837058821E-03  0.1364170757188801E-08  0.3864331357177314E-04  0.4154428715826651E-09  0.7461903816870372E-05
  0.2549543124528637E-05  0.4120559104455921E-03  0.1183598633197349E-03  0.1389679261279456E-08  0.3900292105553243E-04  0.4232111998020055E-09  0.7531342904971365E-05
  0.2573269847687095E-05  0.4158904243292425E-03  0.1194612976819960E-03  0.1415664743610448E-08  0.3936587481597127E-04  0.4311247863834657E-09  0.7601428148704957E-05
  0.2597217378011520E-05  0.4197606197083079E-03  0.1205729812769575E-03  0.1442136123016299E-08  0.3973220598833512E-04  0.4391863474578562E-09  0.7672165560190341E-05
  0.2621387770391845E-05  0.4236668285786774E-03  0.1216950094678623E-03  0.1469102485099085E-08  0.4010194599750835E-04  0.4473986499431719E-09  0.7743561207475072E-05
  0.2645783098841350E-05  0.4276093860246557E-03  0.1228274785050764E-03  0.1496573085346651E-08  0.4047512656070765E-04  0.4557645124942090E-09  0.7815621215055176E-05
  0.2670405456674636E-05  0.4315886302476825E-03  0.1239704855343387E-03  0.1524557352309125E-08  0.4085177969020031E-04  0.4642868064699375E-09  0.7888351764400028E-05
  0.2695256956687239E-05  0.4356049025953173E-03  0.1251241286050867E-03  0.1553064890834829E-08  0.4123193769604786E-04  0.4729684569189600E-09  0.7961759094482146E-05
  0.2720339731336932E-05  0.4396585475904945E-03  0.1262885066788595E-03  0.1582105485366688E-08  0.4161563318887513E-04  0.4818124435833973E-09  0.8035849502311892E-05
  0.2745655932926704E-05  0.4437499129610507E-03  0.1274637196377797E-03  0.1611689103300276E-08  0.4200289908266514E-04  0.4908218019215434E-09  0.8110629343477150E-05
  0.2771207733789447E-05  0.4478793496695248E-03  0.1286498682931128E-03  0.1641825898404648E-08  0.4239376859757987E-04  0.4999996241496411E-09  0.8186105032688006E-05
  0.2796997326474355E-05  0.4520472119432357E-03  0.1298470543939072E-03  0.1672526214307130E-08  0.4278827526280724E-04  0.5093490603031351E-09  0.8262283044326502E-05
  0.2823026923935066E-05  0.4562538573046413E-03  0.1310553806357141E-03  0.1703800588043268E-08  0.4318645291943461E-04  0.5188733193177710E-09  0.8339169913001489E-05
  0.2849298759719552E-05  0.4604996466019754E-03  0.1322749506693883E-03  0.1735659753673154E-08  0.4358833572334886E-04  0.5285756701309040E-09  0.8416772234108625E-05
  0.2875815088161772E-05  0.4647849440401739E-03  0.1335058691099710E-03  0.1768114645965355E-08  0.4399395814816356E-04  0.5384594428034007E-09  0.8495096664395608E-05
  0.2902578184575113E-05  0.4691101172120844E-03  0.1347482415456549E-03  0.1801176404149740E-08  0.4440335498817318E-04  0.5485280296625180E-09  0.8574149922532626E-05
  0.2929590345447633E-05  0.4734755371299684E-03  0.1360021745468327E-03  0.1834856375740455E-08  0.4481656136133489E-04  0.5587848864661488E-09  0.8653938789688121E-05
  0.2956853888639113E-05  0.4778815782572946E-03  0.1372677756752295E-03  0.1869166120430391E-08  0.4523361271227796E-04  0.5692335335888387E-09  0.8734470110109908E-05
  0.2984371153579952E-05  0.4823286185408288E-03  0.1385451534931206E-03  0.1904117414058458E-08  0.4565454481534113E-04  0.5798775572299735E-09  0.8815750791711673E-05
  0.3012144501471909E-05  0.4868170394430207E-03  0.1398344175726341E-03  0.1939722252651048E-08  0.4607939377763823E-04  0.5907206106445614E-09  0.8897787806664935E-05
  0.3040176315490709E-05  0.4913472259746921E-03  0.1411356785051403E-03  0.1975992856539047E-08  0.4650819604215226E-04  0.6017664153970235E-09  0.8980588191996520E-05
  0.3068469000990541E-05  0.4959195667280288E-03  0.1424490479107288E-03  0.2012941674551829E-08  0.4694098839085822E-04  0.6130187626384276E-09  0.9064159050191552E-05
  0.3097024985710460E-05  0.5005344539098793E-03  0.1437746384477728E-03  0.2050581388289673E-08  0.4737780794787496E-04  0.6244815144076037E-09  0.9148507549802049E-05
  0.3125846719982700E-05  0.5051922833753621E-03  0.1451125638225826E-03  0.2088924916476049E-08  0.4781869218264621E-04  0.6361586049565851E-09  0.9233640926061228E-05
  0.3154936676942936E-05  0.5098934546617847E-03  0.1464629387991490E-03  0.2127985419391287E-08  0.4826367891315135E-04  0.6480540421008316E-09  0.9319566481503416E-05
  0.3184297352742499E-05  0.5146383710228801E-03  0.1478258792089768E-03  0.2167776303389144E-08  0.4871280630914578E-04  0.6601719085946987E-09  0.9406291586589832E-05
  0.3213931266762566E-05  0.5194274394633579E-03  0.1492015019610101E-03  0.2208311225497806E-08  0.4916611289543163E-04  0.6725163635326231E-09  0.9493823680340087E-05
  0.3243840961830338E-05  0.5242610707737792E-03  0.1505899250516492E-03  0.2249604098106930E-08  0.4962363755515855E-04  0.6850916437765065E-09  0.9582170270969610E-05
