        2000           2
      0    0
      2.   1.
    -0.2477741487796333E+01 -0.1963228295925442E+00
     0.3827695701349945E+00  0.1451078769857977E+01
  0.1513330992082828E-04  0.1401336898236344E-03  0.2189390103010535E-04
  0.1527414450860527E-04  0.1414377512754903E-03  0.2209764213185401E-04
  0.1541628974033378E-04  0.1427539475509992E-03  0.2230327912764598E-04
  0.1555975781321335E-04  0.1440823915591487E-03  0.2251082965790871E-04
  0.1570456103795387E-04  0.1454231972592965E-03  0.2272031152717510E-04
  0.1585071183983197E-04  0.1467764796709381E-03  0.2293174270560953E-04
  0.1599822275975717E-04  0.1481423548835657E-03  0.2314514133054822E-04
  0.1614710645534803E-04  0.1495209400666180E-03  0.2336052570805363E-04
  0.1629737570201827E-04  0.1509123534795227E-03  0.2357791431448361E-04
  0.1644904339407296E-04  0.1523167144818326E-03  0.2379732579807491E-04
  0.1660212254581502E-04  0.1537341435434552E-03  0.2401877898054149E-04
  0.1675662629266189E-04  0.1551647622549785E-03  0.2424229285868766E-04
  0.1691256789227269E-04  0.1566086933380913E-03  0.2446788660603626E-04
  0.1706996072568585E-04  0.1580660606561015E-03  0.2469557957447188E-04
  0.1722881829846724E-04  0.1595369892245515E-03  0.2492539129589941E-04
  0.1738915424186913E-04  0.1610216052219326E-03  0.2515734148391799E-04
  0.1755098231399983E-04  0.1625200360004984E-03  0.2539145003551049E-04
  0.1771431640100425E-04  0.1640324100971796E-03  0.2562773703274872E-04
  0.1787917051825542E-04  0.1655588572445987E-03  0.2586622274451446E-04
  0.1804555881155716E-04  0.1670995083821891E-03  0.2610692762823646E-04
  0.1821349555835789E-04  0.1686544956674152E-03  0.2634987233164364E-04
  0.1838299516897571E-04  0.1702239524870991E-03  0.2659507769453453E-04
  0.1855407218783501E-04  0.1718080134688503E-03  0.2684256475056310E-04
  0.1872674129471438E-04  0.1734068144926029E-03  0.2709235472904134E-04
  0.1890101730600636E-04  0.1750204927022600E-03  0.2734446905675838E-04
  0.1907691517598876E-04  0.1766491865174458E-03  0.2759892935981669E-04
