        2000           4
      0    0    1    0
      2.   2.   6.   2.
    -0.4903173607247601E+02 -0.3767721468412242E+01 -0.2282226019076046E+01 -0.2530525820035628E+00
     0.5140438887868424E+00  0.3308568529002066E+01  0.4700708876376242E+01  0.7849918529054308E+01
  0.3783327480207071E-05  0.3037213642837169E-03  0.7674044178388687E-04  0.7437646054454580E-09  0.1478489708147528E-04
  0.3818536127151318E-05  0.3065477461746390E-03  0.7745457592252955E-04  0.7576722008545889E-09  0.1492248294228699E-04
  0.3854072435083446E-05  0.3094004287017490E-03  0.7817535537057168E-04  0.7718398517706102E-09  0.1506134909564396E-04
  0.3889939453303338E-05  0.3122796565804445E-03  0.7890284195957947E-04  0.7862724208797015E-09  0.1520150745408304E-04
  0.3926140259488469E-05  0.3151856768026631E-03  0.7963709809632617E-04  0.8009748617924912E-09  0.1534297004096111E-04
  0.3962677959957992E-05  0.3181187386580517E-03  0.8037818676814085E-04  0.8159522207441628E-09  0.1548574899148560E-04
  0.3999555689939292E-05  0.3210790937553342E-03  0.8112617154830743E-04  0.8312096383263531E-09  0.1562985655375460E-04
  0.4036776613837008E-05  0.3240669960438770E-03  0.8188111660151345E-04  0.8467523512514256E-09  0.1577530508980669E-04
  0.4074343925504567E-05  0.3270827018354541E-03  0.8264308668934963E-04  0.8625856941497403E-09  0.1592210707668044E-04
  0.4112260848518240E-05  0.3301264698262164E-03  0.8341214717586037E-04  0.8787151014005178E-09  0.1607027510748384E-04
  0.4150530636453754E-05  0.3331985611188630E-03  0.8418836403314623E-04  0.8951461089969450E-09  0.1621982189247361E-04
  0.4189156573165472E-05  0.3362992392450200E-03  0.8497180384701797E-04  0.9118843564461464E-09  0.1637076026014453E-04
  0.4228141973068173E-05  0.3394287701878267E-03  0.8576253382270338E-04  0.9289355887046844E-09  0.1652310315832899E-04
  0.4267490181421462E-05  0.3425874224047312E-03  0.8656062179060709E-04  0.9463056581502454E-09  0.1667686365530660E-04
  0.4307204574616809E-05  0.3457754668504990E-03  0.8736613621212401E-04  0.9640005265901932E-09  0.1683205494092425E-04
  0.4347288560467283E-05  0.3489931770004339E-03  0.8817914618550657E-04  0.9820262673076767E-09  0.1698869032772649E-04
  0.4387745578499958E-05  0.3522408288738162E-03  0.8899972145178666E-04  0.1000389067145992E-08  0.1714678325209648E-04
  0.4428579100251062E-05  0.3555187010575568E-03  0.8982793240075242E-04  0.1019095228631920E-08  0.1730634727540742E-04
  0.4469792629563855E-05  0.3588270747300734E-03  0.9066385007698074E-04  0.1038151172138763E-08  0.1746739608518487E-04
  0.4511389702889290E-05  0.3621662336853859E-03  0.9150754618592561E-04  0.1057563438089819E-08  0.1762994349627966E-04
  0.4553373889589471E-05  0.3655364643574381E-03  0.9235909310006322E-04  0.1077338689203066E-08  0.1779400345205188E-04
  0.4595748792243928E-05  0.3689380558446433E-03  0.9321856386509412E-04  0.1097483712777809E-08  0.1795959002556571E-04
