        2000           3
      0    0    1
      2.   2.   3.
    -0.1566639161120277E+02 -0.9636702704217127E+00 -0.5086548640808969E+00
     0.4285414614297460E+00  0.2476215884947882E+01  0.3543675409166722E+01
  0.6485704251783550E-05  0.2278584655466478E-03  0.5045951957557133E-04  0.4114387427958387E-09
  0.6546061932259402E-05  0.2299788795723472E-03  0.5092908770305595E-04  0.4191322032383906E-09
  0.6606981317285907E-05  0.2321190249153328E-03  0.5140302535346777E-04  0.4269695222486069E-09
  0.6668467634234294E-05  0.2342790851664931E-03  0.5188137318322023E-04  0.4349533897870935E-09
  0.6730526159123089E-05  0.2364592456246264E-03  0.5236417222694541E-04  0.4430865461124139E-09
  0.6793162217070843E-05  0.2386596933123237E-03  0.5285146390101123E-04  0.4513717827215621E-09
  0.6856381182753071E-05  0.2408806169919986E-03  0.5334329000707130E-04  0.4598119433080196E-09
  0.6920188480863442E-05  0.2431222071820661E-03  0.5383969273564781E-04  0.4684099247377252E-09
  0.6984589586579257E-05  0.2453846561732719E-03  0.5434071466974756E-04  0.4771686780432941E-09
  0.7049590026031268E-05  0.2476681580451733E-03  0.5484639878851178E-04  0.4860912094368240E-09
  0.7115195376777864E-05  0.2499729086827735E-03  0.5535678847089977E-04  0.4951805813416418E-09
  0.7181411268283666E-05  0.2522991057933104E-03  0.5587192749940672E-04  0.5044399134433371E-09
  0.7248243382402583E-05  0.2546469489232007E-03  0.5639186006381616E-04  0.5138723837604503E-09
  0.7315697453865362E-05  0.2570166394751428E-03  0.5691663076498728E-04  0.5234812297351782E-09
  0.7383779270771672E-05  0.2594083807253769E-03  0.5744628461867733E-04  0.5332697493444738E-09
  0.7452494675086770E-05  0.2618223778411074E-03  0.5798086705939964E-04  0.5432413022319196E-09
  0.7521849563142785E-05  0.2642588378980854E-03  0.5852042394431747E-04  0.5533993108607651E-09
  0.7591849886144677E-05  0.2667179698983555E-03  0.5906500155717398E-04  0.5637472616885217E-09
  0.7662501650680894E-05  0.2691999847881674E-03  0.5961464661225873E-04  0.5742887063635206E-09
  0.7733810919238784E-05  0.2717050954760537E-03  0.6016940625841118E-04  0.5850272629438424E-09
  0.7805783810724808E-05  0.2742335168510760E-03  0.6072932808306103E-04  0.5959666171390368E-09
  0.7878426500989592E-05  0.2767854658012396E-03  0.6129446011630659E-04  0.6071105235750601E-09
  0.7951745223357860E-05  0.2793611612320806E-03  0.6186485083503050E-04  0.6184628070828623E-09
  0.8025746269163306E-05  0.2819608240854248E-03  0.6244054916705412E-04  0.6300273640110687E-09
  0.8100435988288443E-05  0.2845846773583209E-03  0.6302160449533034E-04  0.6418081635632029E-09
  0.8175820789709468E-05  0.2872329461221497E-03  0.6360806666217526E-04  0.6538092491599137E-09
  0.8251907142046209E-05  0.2899058575419114E-03  0.6419998597353929E-04  0.6660347398266717E-09
  0.8328701574117183E-05  0.2926036408956907E-03  0.6479741320331799E-04  0.6784888316074096E-09
  0.8406210675499821E-05  0.2953265275943044E-03  0.6540039959770275E-04  0.6911757990045970E-09
  0.8484441097095898E-05  0.2980747512011298E-03  0.6600899687957205E-04  0.7040999964462372E-09
  0.8563399551702254E-05  0.3008485474521188E-03  0.6662325725292346E-04  0.7172658597802944E-09
  0.8643092814586783E-05  0.3036481542759969E-03  0.6724323340734675E-04  0.7306779077970613E-09
  0.8723527724069821E-05  0.3064738118146503E-03  0.6786897852253871E-04  0.7443407437799913E-09
  0.8804711182110917E-05  0.3093257624437020E-03  0.6850054627285963E-04  0.7582590570855247E-09
  0.8886650154901092E-05  0.3122042507932793E-03  0.6913799083193249E-04  0.7724376247524563E-09
  0.8969351673460575E-05  0.3151095237689743E-03  0.6978136687728441E-04  0.7868813131413895E-09
  0.9052822834242134E-05  0.3180418305729986E-03  0.7043072959503166E-04  0.8015950796048451E-09
  0.9137070799740008E-05  0.3210014227255351E-03  0.7108613468460780E-04  0.8165839741885963E-09
  0.9222102799104501E-05  0.3239885540862874E-03  0.7174763836353601E-04  0.8318531413648123E-09
  0.9307926128762300E-05  0.3270034808762299E-03  0.7241529737224554E-04  0.8474078217976070E-09
  0.9394548153042573E-05  0.3300464616995596E-03  0.7308916897893304E-04  0.8632533541415961E-09
  0.9481976304808885E-05  0.3331177575658523E-03  0.7376931098446899E-04  0.8793951768740863E-09
  0.9570218086096995E-05  0.3362176319124231E-03  0.7445578172734963E-04  0.8958388301615139E-09
  0.9659281068758595E-05  0.3393463506268968E-03  0.7514864008869500E-04  0.9125899577607849E-09
  0.9749172895111028E-05  0.3425041820699858E-03  0.7584794549729325E-04  0.9296543089561619E-09
  0.9839901278593071E-05  0.3456913970984809E-03  0.7655375793469191E-04  0.9470377405323651E-09
  0.9931474004426803E-05  0.3489082690884545E-03  0.7726613794033640E-04  0.9647462187845626E-09
  0.1002389893028564E-04  0.3521550739586806E-03  0.7798514661675620E-04  0.9827858215659429E-09
  0.1011718398696858E-04  0.3554320901942710E-03  0.7871084563479927E-04  0.1001162740373569E-08
  0.1021133717908074E-04  0.3587395988705315E-03  0.7944329723891505E-04  0.1019883282473229E-08
  0.1030636658572022E-04  0.3620778836770398E-03  0.8018256425248641E-04  0.1038953873064020E-08
  0.1040228036117133E-04  0.3654472309419467E-03  0.8092871008321130E-04  0.1058381057483396E-08
  0.1049908673560432E-04  0.3688479296565027E-03  0.8168179872853411E-04  0.1078171503453444E-08
  0.1059679401578158E-04  0.3722802714998133E-03  0.8244189478112782E-04  0.1098332003369164E-08
  0.1069541058577043E-04  0.3757445508638226E-03  0.8320906343442657E-04  0.1118869476629522E-08
  0.1079494490766252E-04  0.3792410648785303E-03  0.8398337048821010E-04  0.1139790972012091E-08
  0.1089540552230001E-04  0.3827701134374423E-03  0.8476488235423968E-04  0.1161103670092091E-08
  0.1099680105000835E-04  0.3863319992232569E-03  0.8555366606194650E-04  0.1182814885706655E-08
  0.1109914019133604E-04  0.3899270277337904E-03  0.8634978926417284E-04  0.1204932070465162E-08
  0.1120243172780120E-04  0.3935555073081432E-03  0.8715332024296653E-04  0.1227462815306516E-08
  0.1130668452264507E-04  0.3972177491531086E-03  0.8796432791542935E-04  0.1250414853104226E-08
  0.1141190752159254E-04  0.4009140673698264E-03  0.8878288183961932E-04  0.1273796061320198E-08
  0.1151810975361983E-04  0.4046447789806847E-03  0.8960905222050834E-04  0.1297614464708139E-08
  0.1162530033172915E-04  0.4084102039564711E-03  0.9044290991599463E-04  0.1321878238067507E-08
  0.1173348845373076E-04  0.4122106652437754E-03  0.9128452644297129E-04  0.1346595709048954E-08
  0.1184268340303216E-04  0.4160464887926476E-03  0.9213397398345110E-04  0.1371775361012206E-08
  0.1195289454943470E-04  0.4199180035845119E-03  0.9299132539074804E-04  0.1397425835937395E-08
  0.1206413134993758E-04  0.4238255416603401E-03  0.9385665419571648E-04  0.1423555937390800E-08
  0.1217640334954934E-04  0.4277694381490861E-03  0.9473003461304792E-04  0.1450174633546056E-08
  0.1228972018210689E-04  0.4317500312963853E-03  0.9561154154762652E-04  0.1477291060261834E-08
  0.1240409157110220E-04  0.4357676624935187E-03  0.9650125060094327E-04  0.1504914524217066E-08
  0.1251952733051659E-04  0.4398226763066480E-03  0.9739923807757004E-04  0.1533054506104791E-08
  0.1263603736566292E-04  0.4439154205063193E-03  0.9830558099169337E-04  0.1561720663885705E-08
  0.1275363167403550E-04  0.4480462460972436E-03  0.9922035707370921E-04  0.1590922836102545E-08
  0.1287232034616798E-04  0.4522155073483511E-03  0.1001436447768787E-03  0.1620671045256436E-08
  0.1299211356649916E-04  0.4564235618231259E-03  0.1010755232840455E-03  0.1650975501246368E-08
  0.1311302161424696E-04  0.4606707704102215E-03  0.1020160725144161E-03  0.1681846604872966E-08
  0.1323505486429039E-04  0.4649574973543610E-03  0.1029653731304022E-03  0.1713294951407778E-08
  0.1335822378805985E-04  0.4692841102875237E-03  0.1039235065445271E-03  0.1745331334229289E-08
  0.1348253895443564E-04  0.4736509802604202E-03  0.1048905549263965E-03  0.1777966748526906E-08
  0.1360801103065485E-04  0.4780584817742612E-03  0.1058666012097328E-03  0.1811212395074208E-08
  0.1373465078322671E-04  0.4825069928128200E-03  0.1068517290994762E-03  0.1845079684072728E-08
  0.1386246907885643E-04  0.4869968948747926E-03  0.1078460230789502E-03  0.1879580239067596E-08
  0.1399147688537766E-04  0.4915285730064584E-03  0.1088495684170951E-03  0.1914725900936398E-08
  0.1412168527269360E-04  0.4961024158346430E-03  0.1098624511757668E-03  0.1950528731952602E-08
