        2000           4
      0    0    1    0
      2.   2.   6.   1.
    -0.4047850101136146E+02 -0.2797026387625161E+01 -0.1518140222623180E+01 -0.1821026560017068E+00
     0.5000850675460171E+00  0.3298491152636222E+01  0.4738142841944089E+01  0.7792412650983321E+01
  0.4127266342044077E-05  0.2900940364112042E-03  0.7083498499579895E-04  0.6617167251477249E-09  0.1064750080508086E-04
  0.4165675775074165E-05  0.2927936045930925E-03  0.7149416390877313E-04  0.6740901137460246E-09  0.1074658472536173E-04
  0.4204442656454668E-05  0.2955182933578876E-03  0.7215947675036024E-04  0.6866948700070469E-09  0.1084659066192935E-04
  0.4243570312694551E-05  0.2982683364411307E-03  0.7283098059396202E-04  0.6995353201930944E-09  0.1094752719372379E-04
  0.4283062101260148E-05  0.3010439697527595E-03  0.7350873304392287E-04  0.7126158714606492E-09  0.1104940297949332E-04
  0.4322921410863264E-05  0.3038454313973278E-03  0.7419279224046736E-04  0.7259410133729366E-09  0.1115222675853657E-04
  0.4363151661751955E-05  0.3066729616944143E-03  0.7488321686468338E-04  0.7395153194407658E-09  0.1125600735145159E-04
  0.4403756306004009E-05  0.3095268031992206E-03  0.7558006614355189E-04  0.7533434486921832E-09  0.1136075366089187E-04
  0.4444738827823164E-05  0.3124072007233597E-03  0.7628339985502299E-04  0.7674301472714726E-09  0.1146647467232938E-04
  0.4486102743838080E-05  0.3153144013558399E-03  0.7699327833313970E-04  0.7817802500680546E-09  0.1157317945482473E-04
  0.4527851603404095E-05  0.3182486544842404E-03  0.7770976247320878E-04  0.7963986823758388E-09  0.1168087716180439E-04
  0.4569988988907787E-05  0.3212102118160873E-03  0.7843291373702018E-04  0.8112904615836054E-09  0.1178957703184527E-04
  0.4612518516074371E-05  0.3241993274004253E-03  0.7916279415811434E-04  0.8264606988969897E-09  0.1189928838946651E-04
  0.4655443834277958E-05  0.3272162576495914E-03  0.7989946634709897E-04  0.8419146010926629E-09  0.1201002064592859E-04
  0.4698768626854700E-05  0.3302612613611901E-03  0.8064299349701512E-04  0.8576574723053162E-09  0.1212178330003997E-04
  0.4742496611418853E-05  0.3333345997402735E-03  0.8139343938875272E-04  0.8736947158480486E-09  0.1223458593897113E-04
  0.4786631540181772E-05  0.3364365364217273E-03  0.8215086839651699E-04  0.8900318360667995E-09  0.1234843823907623E-04
  0.4831177200273885E-05  0.3395673374928637E-03  0.8291534549334525E-04  0.9066744402294475E-09  0.1246334996672236E-04
  0.4876137414069660E-05  0.3427272715162264E-03  0.8368693625667520E-04  0.9236282404502342E-09  0.1257933097912656E-04
  0.4921516039515589E-05  0.3459166095526047E-03  0.8446570687396467E-04  0.9408990556501670E-09  0.1269639122520052E-04
  0.4967316970461242E-05  0.3491356251842640E-03  0.8525172414836405E-04  0.9584928135540787E-09  0.1281454074640323E-04
  0.5013544136993377E-05  0.3523845945383904E-03  0.8604505550444080E-04  0.9764155527250237E-09  0.1293378967760146E-04
  0.5060201505773184E-05  0.3556637963107541E-03  0.8684576899395768E-04  0.9946734246367133E-09  0.1305414824793833E-04
  0.5107293080376649E-05  0.3589735117895917E-03  0.8765393330170435E-04  0.1013272695784700E-08  0.1317562678170984E-04
  0.5154822901638100E-05  0.3623140248797115E-03  0.8846961775138326E-04  0.1032219749837033E-08  0.1329823569924964E-04
  0.5202795047996934E-05  0.3656856221268213E-03  0.8929289231155018E-04  0.1051521089825127E-08  0.1342198551782194E-04
  0.5251213635847587E-05  0.3690885927420840E-03  0.9012382760160998E-04  0.1071183340375593E-08  0.1354688685252282E-04
  0.5300082819892753E-05  0.3725232286268996E-03  0.9096249489786794E-04  0.1091213249983798E-08  0.1367295041718974E-04
  0.5349406793499885E-05  0.3759898243979181E-03  0.9180896613963752E-04  0.1111617693329933E-08  0.1380018702531971E-04
  0.5399189789061026E-05  0.3794886774122849E-03  0.9266331393540463E-04  0.1132403673638386E-08  0.1392860759099582E-04
