        2000           3
      0    0    1
      2.   2.   6.
    -0.3277244279324675E+02 -0.1930390879990958E+01 -0.8504096503878317E+00
     0.4840770027644243E+00  0.3274396939109942E+01  0.4820121132371193E+01
  0.4539992976248485E-05  0.2758274398072478E-03  0.6477364534537962E-04  0.5740324796147594E-09
  0.4582243352581582E-05  0.2783942453486860E-03  0.6537641841198178E-04  0.5847662674554074E-09
  0.4624886922100135E-05  0.2809849360625166E-03  0.6598480052779300E-04  0.5957007643730508E-09
  0.4667927343964006E-05  0.2835997341893510E-03  0.6659884388245212E-04  0.6068397233559134E-09
  0.4711368311386162E-05  0.2862388640372615E-03  0.6721860115110797E-04  0.6181869675670911E-09
  0.4755213551949590E-05  0.2889025520010075E-03  0.6784412549893432E-04  0.6297463916566852E-09
  0.4799466827927150E-05  0.2915910265814397E-03  0.6847547058568668E-04  0.6415219630984660E-09
  0.4844131936604409E-05  0.2943045184050854E-03  0.6911269057030162E-04  0.6535177235515312E-09
  0.4889212710605480E-05  0.2970432602439154E-03  0.6975584011553854E-04  0.6657377902474218E-09
  0.4934713018221888E-05  0.2998074870352942E-03  0.7040497439266489E-04  0.6781863574031754E-09
  0.4980636763744505E-05  0.3025974359021165E-03  0.7106014908618475E-04  0.6908676976607980E-09
  0.5026987887798566E-05  0.3054133461731300E-03  0.7172142039861128E-04  0.7037861635536519E-09
  0.5073770367681808E-05  0.3082554594034473E-03  0.7238884505528370E-04  0.7169461890002604E-09
  0.5120988217705753E-05  0.3111240193952479E-03  0.7306248030922893E-04  0.7303522908260415E-09
  0.5168645489540171E-05  0.3140192722186742E-03  0.7374238394606834E-04  0.7440090703134973E-09
  0.5216746272560739E-05  0.3169414662329190E-03  0.7442861428897024E-04  0.7579212147813841E-09
  0.5265294694199950E-05  0.3198908521075115E-03  0.7512123020364815E-04  0.7720934991934099E-09
  0.5314294920301274E-05  0.3228676828437993E-03  0.7582029110340581E-04  0.7865307877970121E-09
  0.5363751155476626E-05  0.3258722137966313E-03  0.7652585695422884E-04  0.8012380357927734E-09
  0.5413667643467149E-05  0.3289047026962406E-03  0.7723798827992376E-04  0.8162202910350520E-09
  0.5464048667507366E-05  0.3319654096703314E-03  0.7795674616730473E-04  0.8314826957644095E-09
  0.5514898550692714E-05  0.3350545972663725E-03  0.7868219227142853E-04  0.8470304883724287E-09
  0.5566221656350502E-05  0.3381725304740950E-03  0.7941438882087828E-04  0.8628690051995318E-09
  0.5618022388414314E-05  0.3413194767482013E-03  0.8015339862309589E-04  0.8790036823664082E-09
  0.5670305191801909E-05  0.3444957060312843E-03  0.8089928506976440E-04  0.8954400576396889E-09
  0.5723074552796627E-05  0.3477014907769596E-03  0.8165211214224018E-04  0.9121837723325016E-09
  0.5776334999432346E-05  0.3509371059732123E-03  0.8241194441703552E-04  0.9292405732405600E-09
  0.5830091101882028E-05  0.3542028291659611E-03  0.8317884707135256E-04  0.9466163146144559E-09
  0.5884347472849874E-05  0.3574989404828408E-03  0.8395288588866776E-04  0.9643169601688223E-09
  0.5939108767967129E-05  0.3608257226572064E-03  0.8473412726436920E-04  0.9823485851290661E-09
  0.5994379686191578E-05  0.3641834610523596E-03  0.8552263821144566E-04  0.1000717378316367E-08
  0.6050164970210748E-05  0.3675724436860005E-03  0.8631848636622875E-04  0.1019429644271660E-08
  0.6106469406848874E-05  0.3709929612549063E-03  0.8712173999418838E-04  0.1038491805419330E-08
  0.6163297827477642E-05  0.3744453071598396E-03  0.8793246799578194E-04  0.1057910404271360E-08
  0.6220655108430764E-05  0.3779297775306874E-03  0.8875073991235787E-04  0.1077692105672691E-08
  0.6278546171422403E-05  0.3814466712518349E-03  0.8957662593211416E-04  0.1097843699088566E-08
  0.6336975983969495E-05  0.3849962899877726E-03  0.9041019689611201E-04  0.1118372100934634E-08
  0.6395949559818007E-05  0.3885789382089443E-03  0.9125152430434560E-04  0.1139284356950625E-08
  0.6455471959373150E-05  0.3921949232178322E-03  0.9210068032186785E-04  0.1160587644618403E-08
  0.6515548290133610E-05  0.3958445551752861E-03  0.9295773778497349E-04  0.1182289275625233E-08
  0.6576183707129801E-05  0.3995281471270972E-03  0.9382277020743925E-04  0.1204396698373095E-08
  0.6637383413366219E-05  0.4032460150308173E-03  0.9469585178682205E-04  0.1226917500534923E-08
  0.6699152660267897E-05  0.4069984777828281E-03  0.9557705741081595E-04  0.1249859411658630E-08
  0.6761496748131016E-05  0.4107858572456620E-03  0.9646646266366779E-04  0.1273230305819829E-08
  0.6824421026577720E-05  0.4146084782755759E-03  0.9736414383265244E-04  0.1297038204324142E-08
  0.6887930895015151E-05  0.4184666687503816E-03  0.9827017791460848E-04  0.1321291278460036E-08
  0.6952031803098762E-05  0.4223607595975343E-03  0.9918464262253420E-04  0.1345997852303134E-08
  0.7016729251199947E-05  0.4262910848224827E-03  0.1001076163922452E-03  0.1371166405572950E-08
  0.7082028790878004E-05  0.4302579815372805E-03  0.1010391783890935E-03  0.1396805576543035E-08
  0.7147936025356517E-05  0.4342617899894661E-03  0.1019794085147491E-03  0.1422924165005541E-08
  0.7214456610004154E-05  0.4383028535912085E-03  0.1029283874140448E-03  0.1449531135291205E-08
  0.7281596252819933E-05  0.4423815189487244E-03  0.1038861964818843E-03  0.1476635619345797E-08
  0.7349360714923026E-05  0.4464981358919688E-03  0.1048529178702140E-03  0.1504246919864093E-08
  0.7417755811047108E-05  0.4506530575046009E-03  0.1058286344950611E-03  0.1532374513482436E-08
  0.7486787410039299E-05  0.4548466401542284E-03  0.1068134300436349E-03  0.1561028054030985E-08
  0.7556461435363767E-05  0.4590792435229322E-03  0.1078073889814954E-03  0.1590217375846781E-08
  0.7626783865610006E-05  0.4633512306380750E-03  0.1088105965597887E-03  0.1619952497148745E-08
  0.7697760735005843E-05  0.4676629679033958E-03  0.1098231388225484E-03  0.1650243623475778E-08
  0.7769398133935230E-05  0.4720148251303927E-03  0.1108451026140653E-03  0.1681101151189144E-08
