        2000           3
      0    0    1
      2.   2.   4.
    -0.2066865692777646E+02 -0.1244314625108818E+01 -0.6319061662200052E+00
     0.4467188593278362E+00  0.2745896495640296E+01  0.3942211865706209E+01
  0.5674991220310607E-05  0.2448941339800096E-03  0.5555845639773988E-04  0.4714994546818818E-09
  0.5727804190726977E-05  0.2471730791807192E-03  0.5607547440654346E-04  0.4803159856157687E-09
  0.5781108652625169E-05  0.2494732308959522E-03  0.5659730347877079E-04  0.4892973752008924E-09
  0.5834909179955008E-05  0.2517947864426332E-03  0.5712398837916785E-04  0.4984467060710130E-09
  0.5889210389232703E-05  0.2541379449732872E-03  0.5765557428891817E-04  0.5077671185002076E-09
  0.5944016939936988E-05  0.2565029074931098E-03  0.5819210680951561E-04  0.5172618114806310E-09
  0.5999333534908938E-05  0.2588898768771958E-03  0.5873363196667280E-04  0.5269340438204271E-09
  0.6055164920755512E-05  0.2612990578879276E-03  0.5928019621426617E-04  0.5367871352621685E-09
  0.6111515888256850E-05  0.2637306571925252E-03  0.5983184643831736E-04  0.5468244676222080E-09
  0.6168391272777360E-05  0.2661848833807595E-03  0.6038862996101183E-04  0.5570494859513330E-09
  0.6225795954680631E-05  0.2686619469828299E-03  0.6095059454475471E-04  0.5674656997171221E-09
  0.6283734859748207E-05  0.2711620604874086E-03  0.6151778839626437E-04  0.5780766840084070E-09
  0.6342212959602260E-05  0.2736854383598516E-03  0.6209026017070408E-04  0.5888860807622558E-09
  0.6401235272132192E-05  0.2762322970605797E-03  0.6266805897585189E-04  0.5998976000138975E-09
  0.6460806861925214E-05  0.2788028550636302E-03  0.6325123437630940E-04  0.6111150211700165E-09
  0.6520932840700923E-05  0.2813973328753803E-03  0.6383983639774968E-04  0.6225421943058543E-09
  0.6581618367749937E-05  0.2840159530534454E-03  0.6443391553120441E-04  0.6341830414865637E-09
  0.6642868650376592E-05  0.2866589402257524E-03  0.6503352273739120E-04  0.6460415581132690E-09
  0.6704688944345783E-05  0.2893265211097900E-03  0.6563870945108078E-04  0.6581218142942923E-09
  0.6767084554333936E-05  0.2920189245320389E-03  0.6624952758550496E-04  0.6704279562420207E-09
  0.6830060834384207E-05  0.2947363814475807E-03  0.6686602953680548E-04  0.6829642076958886E-09
  0.6893623188365893E-05  0.2974791249598914E-03  0.6748826818852427E-04  0.6957348713719666E-09
  0.6957777070438128E-05  0.3002473903408161E-03  0.6811629691613526E-04  0.7087443304396544E-09
  0.7022527985517892E-05  0.3030414150507315E-03  0.6875016959161846E-04  0.7219970500259822E-09
  0.7087881489752387E-05  0.3058614387588946E-03  0.6938994058807640E-04  0.7354975787480403E-09
  0.7153843190995784E-05  0.3087077033639804E-03  0.7003566478439357E-04  0.7492505502740577E-09
  0.7220418749290433E-05  0.3115804530148109E-03  0.7068739756993900E-04  0.7632606849136720E-09
  0.7287613877352536E-05  0.3144799341312762E-03  0.7134519484931277E-04  0.7775327912379300E-09
  0.7355434341062342E-05  0.3174063954254500E-03  0.7200911304713626E-04  0.7920717677295794E-09
  0.7423885959958911E-05  0.3203600879229018E-03  0.7267920911288726E-04  0.8068826044642140E-09
  0.7492974607739472E-05  0.3233412649842063E-03  0.7335554052577968E-04  0.8219703848228541E-09
  0.7562706212763436E-05  0.3263501823266528E-03  0.7403816529968887E-04  0.8373402872365442E-09
  0.7633086758561093E-05  0.3293870980461564E-03  0.7472714198812233E-04  0.8529975869635716E-09
  0.7704122284347053E-05  0.3324522726393733E-03  0.7542252968923705E-04  0.8689476578999131E-09
  0.7775818885538455E-05  0.3355459690260199E-03  0.7612438805090310E-04  0.8851959744235311E-09
  0.7848182714278003E-05  0.3386684525714008E-03  0.7683277727581428E-04  0.9017481132731520E-09
  0.7921219979961868E-05  0.3418199911091455E-03  0.7754775812664642E-04  0.9186097554621736E-09
  0.7994936949772508E-05  0.3450008549641556E-03  0.7826939193126348E-04  0.9357866882283550E-09
  0.8069339949216438E-05  0.3482113169757664E-03  0.7899774058797191E-04  0.9532848070199608E-09
  0.8144435362667013E-05  0.3514516525211226E-03  0.7973286657082400E-04  0.9711101175190393E-09
