        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   3.
    -0.7996971459938078E+02 -0.7511095661320167E+01 -0.5400958637233881E+01 -0.6964158916990087E+00 -0.3917083490013182E+00
     0.5497799176636029E+00  0.3364417540602389E+01  0.4656618086906619E+01  0.8014904616338150E+01  0.9618363257003933E+01
  0.3026661984165657E-05  0.3414466567131348E-03  0.9270732006450538E-04  0.9664745345245828E-09  0.2546687807736661E-04  0.2296908235718917E-09
  0.3054828901721054E-05  0.3446241040735409E-03  0.9357003938979886E-04  0.9845465652462500E-09  0.2570386872552836E-04  0.2339857940773329E-09
  0.3083257948066757E-05  0.3478311188775039E-03  0.9444078667024930E-04  0.1002956521466290E-08  0.2594306466832080E-04  0.2383610754272429E-09
  0.3111951562642671E-05  0.3510679762365707E-03  0.9531963660230962E-04  0.1021710721934381E-08  0.2618448642500233E-04  0.2428181693257700E-09
  0.3140912207590775E-05  0.3543349538215976E-03  0.9620666457731917E-04  0.1040815603550707E-08  0.2642815470571802E-04  0.2473586055565259E-09
  0.3170142367966393E-05  0.3576323318865494E-03  0.9710194668796582E-04  0.1060277723575140E-08  0.2667409041327471E-04  0.2519839425076177E-09
  0.3199644551951433E-05  0.3609603932925209E-03  0.9800555973480795E-04  0.1080103761877724E-08  0.2692231464493260E-04  0.2566957677064938E-09
  0.3229421291069606E-05  0.3643194235319803E-03  0.9891758123285690E-04  0.1100300523231242E-08  0.2717284869421352E-04  0.2614956983647917E-09
  0.3259475140403653E-05  0.3677097107532397E-03  0.9983808941822101E-04  0.1120874939646649E-08  0.2742571405272601E-04  0.2663853819333737E-09
  0.3289808678814592E-05  0.3711315457851512E-03  0.1007671632548110E-03  0.1141834072752168E-08  0.2768093241200727E-04  0.2713664966677385E-09
  0.3320424509163003E-05  0.3745852221620334E-03  0.1017048824411077E-03  0.1163185116216867E-08  0.2793852566538241E-04  0.2764407522040058E-09
  0.3351325258532377E-05  0.3780710361488291E-03  0.1026513274169929E-03  0.1184935398219560E-08  0.2819851590984072E-04  0.2816098901456702E-09
  0.3382513578454539E-05  0.3815892867664974E-03  0.1036065793706435E-03  0.1207092383963859E-08  0.2846092544792963E-04  0.2868756846613250E-09
  0.3413992145137169E-05  0.3851402758176408E-03  0.1045707202454898E-03  0.1229663678240256E-08  0.2872577678966605E-04  0.2922399430935633E-09
  0.3445763659693447E-05  0.3887243079123711E-03  0.1055438327472380E-03  0.1252657028036110E-08  0.2899309265446566E-04  0.2977045065792626E-09
  0.3477830848373826E-05  0.3923416904944151E-03  0.1065260003509588E-03  0.1276080325194433E-08  0.2926289597308995E-04  0.3032712506814675E-09
  0.3510196462799966E-05  0.3959927338674641E-03  0.1075173073082413E-03  0.1299941609122384E-08  0.2953520988961150E-04  0.3089420860330872E-09
  0.3542863280200849E-05  0.3996777512217660E-03  0.1085178386544132E-03  0.1324249069550415E-08  0.2981005776339742E-04  0.3147189589926283E-09
  0.3575834103651084E-05  0.4033970586609665E-03  0.1095276802158285E-03  0.1349011049342988E-08  0.3008746317111121E-04  0.3206038523121874E-09
  0.3609111762311432E-05  0.4071509752291988E-03  0.1105469186172227E-03  0.1374236047361864E-08  0.3036744990873336E-04  0.3265987858179341E-09
  0.3642699111671577E-05  0.4109398229384247E-03  0.1115756412891364E-03  0.1399932721382919E-08  0.3065004199360050E-04  0.3327058171033172E-09
  0.3676599033795143E-05  0.4147639267960303E-03  0.1126139364754079E-03  0.1426109891067486E-08  0.3093526366646372E-04  0.3389270422352306E-09
  0.3710814437567001E-05  0.4186236148326782E-03  0.1136618932407351E-03  0.1452776540989276E-08  0.3122313939356581E-04  0.3452645964733846E-09
  0.3745348258942876E-05  0.4225192181304174E-03  0.1147196014783082E-03  0.1479941823717872E-08  0.3151369386873797E-04  0.3517206550031253E-09
  0.3780203461201273E-05  0.4264510708510552E-03  0.1157871519175127E-03  0.1507615062959885E-08  0.3180695201551589E-04  0.3582974336819576E-09
  0.3815383035197751E-05  0.4304195102647928E-03  0.1168646361317046E-03  0.1535805756758845E-08  0.3210293898927548E-04  0.3649971898000244E-09
  0.3850889999621564E-05  0.4344248767791263E-03  0.1179521465460572E-03  0.1564523580754910E-08  0.3240168017938854E-04  0.3718222228548054E-09
