        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   4.
    -0.9200445017595858E+02 -0.9004289528984057E+01 -0.6682508843107740E+01 -0.8795273151555941E+00 -0.4373686643534324E+00
     0.5600758007790212E+00  0.3388930454725214E+01  0.4663200910201464E+01  0.8154460311340365E+01  0.9934165407339286E+01
  0.2837495610155303E-05  0.3531506448142105E-03  0.9754306912037549E-04  0.1033750385540306E-08  0.2831430638576327E-04  0.2631957799177081E-09
  0.2863902095363488E-05  0.3564370075948280E-03  0.9845078914420412E-04  0.1053080402068030E-08  0.2857779474119376E-04  0.2681172569463550E-09
  0.2890554326312584E-05  0.3597539513214064E-03  0.9936695587304165E-04  0.1072771866933756E-08  0.2884373496322729E-04  0.2731307597469371E-09
  0.2917454589977504E-05  0.3631017605356696E-03  0.1002916478996169E-03  0.1092831538732441E-08  0.2911214986536176E-04  0.2782380090768982E-09
  0.2944605194616351E-05  0.3664807224263773E-03  0.1012249445477915E-03  0.1113266302433952E-08  0.2938306247332458E-04  0.2834407578690927E-09
  0.2972008469968494E-05  0.3698911268539409E-03  0.1021669258793590E-03  0.1134083171746026E-08  0.2965649602704627E-04  0.2887407918334007E-09
  0.2999666767454469E-05  0.3733332663752680E-03  0.1031176727009067E-03  0.1155289291521409E-08  0.2993247398265238E-04  0.2941399300695951E-09
  0.3027582460377756E-05  0.3768074362688372E-03  0.1040772665707422E-03  0.1176891940210013E-08  0.3021102001447389E-04  0.2996400256916649E-09
  0.3055757944128425E-05  0.3803139345600067E-03  0.1050457898058833E-03  0.1198898532356908E-08  0.3049215801707641E-04  0.3052429664638129E-09
  0.3084195636388680E-05  0.3838530620465575E-03  0.1060233254891136E-03  0.1221316621147033E-08  0.3077591210730804E-04  0.3109506754483454E-09
  0.3112897977340315E-05  0.3874251223244738E-03  0.1070099574761027E-03  0.1244153900997475E-08  0.3106230662636651E-04  0.3167651116656750E-09
  0.3141867429874104E-05  0.3910304218139640E-03  0.1080057704025943E-03  0.1267418210198230E-08  0.3135136614188524E-04  0.3226882707666631E-09
  0.3171106479801130E-05  0.3946692697857219E-03  0.1090108496916588E-03  0.1291117533602322E-08  0.3164311545003904E-04  0.3287221857175356E-09
  0.3200617636066096E-05  0.3983419783874333E-03  0.1100252815610153E-03  0.1315260005366238E-08  0.3193757957766920E-04  0.3348689274976026E-09
