        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   2.
    -0.6881245595471171E+02 -0.6156538233428535E+01 -0.4256053980501542E+01 -0.5398421858367050E+00 -0.2971145301295022E+00
     0.5387129349919597E+00  0.3341691872175067E+01  0.4661331396616657E+01  0.7883336731482134E+01  0.9458211821702449E+01
  0.3242852125891775E-05  0.3293388928792599E-03  0.8765189989595410E-04  0.8958917545980110E-09  0.2245251717332075E-04  0.1914142436373520E-09
  0.3273030966129701E-05  0.3324036673477938E-03  0.8846757429886919E-04  0.9126439635120120E-09  0.2266145666647948E-04  0.1949934834082823E-09
  0.3303490658642953E-05  0.3354969607926741E-03  0.8929083888475275E-04  0.9297094188250100E-09  0.2287234042683182E-04  0.1986396507094943E-09
  0.3334233817117147E-05  0.3386190385699399E-03  0.9012176427678762E-04  0.9470939778209114E-09  0.2308518654489521E-04  0.2023539969952655E-09
  0.3365263079561545E-05  0.3417701685041854E-03  0.9096042175515029E-04  0.9648036073054562E-09  0.2330001327947964E-04  0.2061377971200656E-09
  0.3396581108535422E-05  0.3449506209115165E-03  0.9180688326312038E-04  0.9828443856540603E-09  0.2351683905925266E-04  0.2099923497760933E-09
  0.3428190591376536E-05  0.3481606686227188E-03  0.9266122141324730E-04  0.1001222504897948E-08  0.2373568248431890E-04  0.2139189779389952E-09
  0.3460094240431721E-05  0.3514005870066436E-03  0.9352350949357365E-04  0.1019944272849287E-08  0.2395656232781433E-04  0.2179190293219174E-09
  0.3492294793289629E-05  0.3546706539938084E-03  0.9439382147391679E-04  0.1039016115266061E-08  0.2417949753751529E-04  0.2219938768380472E-09
  0.3524795013015634E-05  0.3579711501002184E-03  0.9527223201220866E-04  0.1058444578057421E-08  0.2440450723746243E-04  0.2261449190718033E-09
  0.3557597688388932E-05  0.3613023584514093E-03  0.9615881646089466E-04  0.1078236329530264E-08  0.2463161072959987E-04  0.2303735807588353E-09
  0.3590705634141833E-05  0.3646645648067123E-03  0.9705365087339176E-04  0.1098398162677825E-08  0.2486082749542947E-04  0.2346813132749989E-09
  0.3624121691201292E-05  0.3680580575837457E-03  0.9795681201060669E-04  0.1118936997511055E-08  0.2509217719768046E-04  0.2390695951344731E-09
  0.3657848726932681E-05  0.3714831278831340E-03  0.9886837734751486E-04  0.1139859883433589E-08  0.2532567968199473E-04  0.2435399324971909E-09
  0.3691889635385836E-05  0.3749400695134563E-03  0.9978842507980022E-04  0.1161174001661125E-08  0.2556135497862760E-04  0.2480938596857577E-09
  0.3726247337543385E-05  0.3784291790164263E-03  0.1007170341305568E-03  0.1182886667686032E-08  0.2579922330416453E-04  0.2527329397120344E-09
  0.3760924781571393E-05  0.3819507556923063E-03  0.1016542841570527E-03  0.1205005333788044E-08  0.2603930506325366E-04  0.2574587648135667E-09
  0.3795924943072339E-05  0.3855051016255586E-03  0.1026002555575565E-03  0.1227537591591897E-08  0.2628162085035458E-04  0.2622729570000439E-09
  0.3831250825340447E-05  0.3890925217107327E-03  0.1035550294782281E-03  0.1250491174672781E-08  0.2652619145150322E-04  0.2671771686099748E-09
  0.3866905459619392E-05  0.3927133236785961E-03  0.1045186878200719E-03  0.1273873961210519E-08  0.2677303784609322E-04  0.2721730828777725E-09
  0.3902891905362404E-05  0.3963678181225045E-03  0.1054913132459564E-03  0.1297693976693357E-08  0.2702218120867382E-04  0.2772624145114411E-09
  0.3939213250494796E-05  0.4000563185250202E-03  0.1064729891876975E-03  0.1321959396672318E-08  0.2727364291076445E-04  0.2824469102810644E-09
  0.3975872611678930E-05  0.4037791412847754E-03  0.1074637998532088E-03  0.1346678549567053E-08  0.2752744452268619E-04  0.2877283496182978E-09
  0.4012873134581653E-05  0.4075366057435863E-03  0.1084638302337176E-03  0.1371859919524147E-08  0.2778360781541023E-04  0.2931085452270681E-09
  0.4050217994144221E-05  0.4113290342138188E-03  0.1094731661110480E-03  0.1397512149328878E-08  0.2804215476242351E-04  0.2985893437056927E-09
  0.4087910394854734E-05  0.4151567520060079E-03  0.1104918940649718E-03  0.1423644043371405E-08  0.2830310754161170E-04  0.3041726261806295E-09
  0.4125953571023105E-05  0.4190200874567347E-03  0.1115201014806279E-03  0.1450264570668426E-08  0.2856648853715962E-04  0.3098603089520770E-09
  0.4164350787058592E-05  0.4229193719567616E-03  0.1125578765560103E-03  0.1477382867941329E-08  0.2883232034146946E-04  0.3156543441516459E-09
  0.4203105337749910E-05  0.4268549399794288E-03  0.1136053083095255E-03  0.1505008242751891E-08  0.2910062575709658E-04  0.3215567204123245E-09
  0.4242220548547949E-05  0.4308271291093151E-03  0.1146624865876207E-03  0.1533150176696610E-08  0.2937142779870350E-04  0.3275694635509740E-09
  0.4281699775851127E-05  0.4348362800711643E-03  0.1157295020724823E-03  0.1561818328660761E-08  0.2964474969503197E-04  0.3336946372635817E-09
  0.4321546407293391E-05  0.4388827367590810E-03  0.1168064462898061E-03  0.1591022538133293E-08  0.2992061489089334E-04  0.3399343438335151E-09
  0.4361763862034910E-05  0.4429668462659973E-03  0.1178934116166398E-03  0.1620772828583704E-08  0.3019904704917739E-04  0.3462907248530173E-09
  0.4402355591055459E-05  0.4470889589134123E-03  0.1189904912892982E-03  0.1651079410902050E-08  0.3048007005287995E-04  0.3527659619581921E-09
  0.4443325077450546E-05  0.4512494282814096E-03  0.1200977794113520E-03  0.1681952686903282E-08  0.3076370800714915E-04  0.3593622775777324E-09
  0.4484675836730288E-05  0.4554486112389518E-03  0.1212153709616905E-03  0.1713403252897092E-08  0.3104998524135092E-04  0.3660819356956454E-09
  0.4526411417121067E-05  0.4596868679744578E-03  0.1223433618026598E-03  0.1745441903324511E-08  0.3133892631115338E-04  0.3729272426282406E-09
  0.4568535399870004E-05  0.4639645620266634E-03  0.1234818486882759E-03  0.1778079634462495E-08  0.3163055600063095E-04  0.3799005478156437E-09
  0.4611051399552250E-05  0.4682820603157682E-03  0.1246309292725145E-03  0.1811327648197782E-08  0.3192489932438757E-04  0.3870042446281095E-09
  0.4653963064381150E-05  0.4726397331748722E-03  0.1257907021176779E-03  0.1845197355871304E-08  0.3222198152970010E-04  0.3942407711874107E-09
  0.4697274076521286E-05  0.4770379543817053E-03  0.1269612667028389E-03  0.1879700382194475E-08  0.3252182809868122E-04  0.4016126112035840E-09
  0.4740988152404442E-05  0.4814771011906489E-03  0.1281427234323642E-03  0.1914848569238706E-08  0.3282446475046270E-04  0.4091222948273209E-09
  0.4785109043048498E-05  0.4859575543650580E-03  0.1293351736445158E-03  0.1950653980499513E-08  0.3312991744339881E-04  0.4167723995182946E-09
  0.4829640534379297E-05  0.4904796982098807E-03  0.1305387196201335E-03  0.1987128905036598E-08  0.3343821237729019E-04  0.4245655509297223E-09
  0.4874586447555514E-05  0.4950439206045828E-03  0.1317534645913965E-03  0.2024285861691353E-08  0.3374937599562844E-04  0.4325044238094672E-09
  0.4919950639296536E-05  0.4996506130363767E-03  0.1329795127506680E-03  0.2062137603383208E-08  0.3406343498786153E-04  0.4405917429179859E-09
  0.4965737002213401E-05  0.5043001706337590E-03  0.1342169692594208E-03  0.2100697121486306E-08  0.3438041629168019E-04  0.4488302839634399E-09
  0.5011949465142819E-05  0.5089929922003613E-03  0.1354659402572461E-03  0.2139977650288011E-08  0.3470034709532558E-04  0.4572228745542903E-09
  0.5058591993484289E-05  0.5137294802491118E-03  0.1367265328709464E-03  0.2179992671530771E-08  0.3502325483991843E-04  0.4657723951697025E-09
