376 5
 0 0 0 1 1
 2 2 2 6 1
 -5.508056e+01 -3.877979e+00 -2.513400e-01 -2.507294e+00 -7.177563e-02
0.000000e+00 -9.035419e+01  2.342155e+01 -6.118141e+00  1.274685e-09 -2.422338e-10
3.278564e-09 -9.035419e+01  2.342155e+01 -6.118141e+00 -2.229018e-07  4.336479e-08
1.046582e-07 -9.035407e+01  2.342152e+01 -6.118133e+00 -7.154877e-06  1.391779e-06
7.915214e-07 -9.035326e+01  2.342131e+01 -6.118078e+00 -5.411985e-05  1.052745e-05
3.316517e-06 -9.035030e+01  2.342054e+01 -6.117877e+00 -2.267654e-04  4.411063e-05
1.004733e-05 -9.034239e+01  2.341849e+01 -6.117342e+00 -6.869546e-04  1.336271e-04
2.477810e-05 -9.032509e+01  2.341401e+01 -6.116171e+00 -1.693964e-03  3.295115e-04
5.299135e-05 -9.029197e+01  2.340542e+01 -6.113928e+00 -3.622110e-03  7.045763e-04
1.020609e-04 -9.023439e+01  2.339049e+01 -6.110028e+00 -6.973930e-03  1.356576e-03
1.813877e-04 -9.014139e+01  2.336638e+01 -6.103728e+00 -1.238803e-02  2.409731e-03
3.024627e-04 -8.999963e+01  2.332960e+01 -6.094122e+00 -2.064070e-02  4.015049e-03
4.788527e-04 -8.979350e+01  2.327612e+01 -6.080150e+00 -3.264051e-02  6.349262e-03
7.261078e-04 -8.950538e+01  2.320131e+01 -6.060607e+00 -4.941496e-02  9.612242e-03
1.061591e-03 -8.911594e+01  2.310013e+01 -6.034171e+00 -7.208886e-02  1.402279e-02
1.504231e-03 -8.860475e+01  2.296717e+01 -5.999432e+00 -1.018538e-01  1.981269e-02
2.074209e-03 -8.795088e+01  2.279688e+01 -5.954934e+00 -1.399295e-01  2.721915e-02
2.792580e-03 -8.713377e+01  2.258371e+01 -5.899226e+00 -1.875162e-01  3.647570e-02
3.680838e-03 -8.613409e+01  2.232237e+01 -5.830919e+00 -2.457424e-01  4.780173e-02
4.760448e-03 -8.493477e+01  2.200804e+01 -5.748745e+00 -3.156062e-01  6.139133e-02
6.052333e-03 -8.352196e+01  2.163661e+01 -5.651624e+00 -3.979167e-01  7.740174e-02
7.576358e-03 -8.188605e+01  2.120495e+01 -5.538727e+00 -4.932368e-01  9.594217e-02
9.350803e-03 -8.002247e+01  2.071113e+01 -5.409532e+00 -6.018320e-01  1.170639e-01
1.139185e-02 -7.793238e+01  2.015456e+01 -5.263873e+00 -7.236298e-01  1.407521e-01
1.371307e-02 -7.562308e+01  1.953617e+01 -5.101974e+00 -8.581924e-01  1.669208e-01
1.632504e-02 -7.310811e+01  1.885847e+01 -4.924470e+00 -1.004707e+00  1.954106e-01
1.923484e-02 -7.040702e+01  1.812551e+01 -4.732404e+00 -1.161996e+00  2.259907e-01
2.244580e-02 -6.754485e+01  1.734285e+01 -4.527208e+00 -1.328545e+00  2.583643e-01
2.595722e-02 -6.455119e+01  1.651734e+01 -4.310660e+00 -1.502550e+00  2.921778e-01
2.976415e-02 -6.145912e+01  1.565694e+01 -4.084829e+00 -1.681984e+00  3.270338e-01
3.385735e-02 -5.830386e+01  1.477042e+01 -3.852001e+00 -1.864671e+00  3.625050e-01
3.822326e-02 -5.512141e+01  1.386705e+01 -3.614599e+00 -2.048370e+00  3.981513e-01
4.284407e-02 -5.194718e+01  1.295627e+01 -3.375095e+00 -2.230856e+00  4.335356e-01
4.769797e-02 -4.881473e+01  1.204737e+01 -3.135932e+00 -2.410005e+00  4.682401e-01
5.275935e-02 -4.575471e+01  1.114919e+01 -2.899438e+00 -2.583862e+00  5.018802e-01
5.799924e-02 -4.279403e+01  1.026988e+01 -2.667769e+00 -2.750700e+00  5.341160e-01
6.338567e-02 -3.995531e+01  9.416692e+00 -2.442848e+00 -2.909064e+00  5.646613e-01
6.888423e-02 -3.725663e+01  8.595838e+00 -2.226333e+00 -3.057798e+00  5.932887e-01
7.445863e-02 -3.471143e+01  7.812425e+00 -2.019590e+00 -3.196055e+00  6.198324e-01
8.007127e-02 -3.232878e+01  7.070421e+00 -1.823690e+00 -3.323294e+00  6.441870e-01
8.568391e-02 -3.011365e+01  6.372682e+00 -1.639409e+00 -3.439261e+00  6.663049e-01
9.125831e-02 -2.806745e+01  5.721017e+00 -1.467247e+00 -3.543965e+00  6.861907e-01
9.675688e-02 -2.618853e+01  5.116288e+00 -1.307454e+00 -3.637642e+00  7.038945e-01
1.021433e-01 -2.447273e+01  4.558520e+00 -1.160054e+00 -3.720719e+00  7.195047e-01
1.073832e-01 -2.291398e+01  4.047031e+00 -1.024881e+00 -3.793769e+00  7.331395e-01
1.124446e-01 -2.150474e+01  3.580560e+00 -9.016149e-01 -3.857477e+00  7.449392e-01
1.172985e-01 -2.023652e+01  3.157390e+00 -7.898092e-01 -3.912601e+00  7.550590e-01
1.219193e-01 -1.910024e+01  2.775465e+00 -6.889259e-01 -3.959936e+00  7.636614e-01
1.262852e-01 -1.808656e+01  2.432495e+00 -5.983610e-01 -4.000289e+00  7.709113e-01
1.303784e-01 -1.718614e+01  2.126041e+00 -5.174697e-01 -4.034451e+00  7.769703e-01
1.341853e-01 -1.638980e+01  1.853594e+00 -4.455858e-01 -4.063184e+00  7.819932e-01
1.376967e-01 -1.568869e+01  1.612630e+00 -3.820386e-01 -4.087199e+00  7.861247e-01
1.409077e-01 -1.507440e+01  1.400658e+00 -3.261650e-01 -4.107153e+00  7.894979e-01
1.438175e-01 -1.453894e+01  1.215256e+00 -2.773196e-01 -4.123642e+00  7.922326e-01
1.464295e-01 -1.407483e+01  1.054088e+00 -2.348802e-01 -4.137195e+00  7.944349e-01
1.487507e-01 -1.367507e+01  9.149241e-01 -1.982529e-01 -4.148278e+00  7.961975e-01
1.507917e-01 -1.333315e+01  7.956444e-01 -1.668737e-01 -4.157296e+00  7.976000e-01
1.525662e-01 -1.304298e+01  6.942434e-01 -1.402094e-01 -4.164597e+00  7.987099e-01
1.540902e-01 -1.279890e+01  6.088288e-01 -1.177577e-01 -4.170474e+00  7.995835e-01
1.553821e-01 -1.259566e+01  5.376188e-01 -9.904637e-02 -4.175178e+00  8.002675e-01
1.564617e-01 -1.242834e+01  4.789390e-01 -8.363224e-02 -4.178915e+00  8.007998e-01
1.573500e-01 -1.229237e+01  4.312198e-01 -7.110053e-02 -4.181859e+00  8.012113e-01
1.580683e-01 -1.218352e+01  3.929938e-01 -6.106407e-02 -4.184155e+00  8.015267e-01
1.586383e-01 -1.209785e+01  3.628955e-01 -5.316301e-02 -4.185923e+00  8.017661e-01
1.590810e-01 -1.203175e+01  3.396618e-01 -4.706486e-02 -4.187264e+00  8.019454e-01
1.594164e-01 -1.198190e+01  3.221342e-01 -4.246487e-02 -4.188261e+00  8.020775e-01
1.596637e-01 -1.194529e+01  3.092609e-01 -3.908666e-02 -4.188986e+00  8.021727e-01
1.598401e-01 -1.191924e+01  3.001003e-01 -3.668290e-02 -4.189497e+00  8.022395e-01
1.599612e-01 -1.190139e+01  2.938236e-01 -3.503594e-02 -4.189846e+00  8.022849e-01
1.600405e-01 -1.188972e+01  2.897161e-01 -3.395819e-02 -4.190073e+00  8.023144e-01
1.600896e-01 -1.188250e+01  2.871772e-01 -3.329205e-02 -4.190213e+00  8.023325e-01
1.601178e-01 -1.187835e+01  2.857181e-01 -3.290922e-02 -4.190293e+00  8.023429e-01
1.601325e-01 -1.187619e+01  2.849565e-01 -3.270939e-02 -4.190335e+00  8.023484e-01
1.601392e-01 -1.187520e+01  2.846086e-01 -3.261810e-02 -4.190355e+00  8.023508e-01
1.601418e-01 -1.187483e+01  2.844780e-01 -3.258385e-02 -4.190362e+00  8.023518e-01
1.601424e-01 -1.187473e+01  2.844425e-01 -3.257453e-02 -4.190364e+00  8.023520e-01
1.601425e-01 -1.187471e+01  2.844373e-01 -3.257316e-02 -4.190364e+00  8.023520e-01
1.601426e-01 -1.187471e+01  2.844364e-01 -3.257293e-02 -4.190364e+00  8.023521e-01
1.601430e-01 -1.187465e+01  2.844151e-01 -3.256734e-02 -4.190365e+00  8.023522e-01
1.601458e-01 -1.187424e+01  2.842707e-01 -3.252945e-02 -4.190373e+00  8.023532e-01
1.601560e-01 -1.187273e+01  2.837399e-01 -3.239017e-02 -4.190402e+00  8.023570e-01
1.601834e-01 -1.186871e+01  2.823251e-01 -3.201898e-02 -4.190480e+00  8.023670e-01
1.602433e-01 -1.185991e+01  2.792304e-01 -3.120704e-02 -4.190650e+00  8.023889e-01
1.603581e-01 -1.184308e+01  2.733095e-01 -2.965362e-02 -4.190974e+00  8.024306e-01
1.605577e-01 -1.181387e+01  2.630309e-01 -2.695705e-02 -4.191532e+00  8.025021e-01
1.608803e-01 -1.176680e+01  2.464661e-01 -2.261162e-02 -4.192424e+00  8.026154e-01
1.613728e-01 -1.169533e+01  2.213063e-01 -1.601232e-02 -4.193756e+00  8.027824e-01
1.620903e-01 -1.159199e+01  1.849162e-01 -6.469094e-03 -4.195635e+00  8.030133e-01
1.630960e-01 -1.144871e+01  1.344298e-01  6.767289e-03 -4.198149e+00  8.033125e-01
1.644606e-01 -1.125718e+01  6.689544e-02  2.446655e-02 -4.201338e+00  8.036732e-01
1.662611e-01 -1.100946e+01 -2.053034e-02  4.736691e-02 -4.205159e+00  8.040705e-01
1.685795e-01 -1.069864e+01 -1.303433e-01  7.611083e-02 -4.209448e+00  8.044534e-01
1.715015e-01 -1.031960e+01 -2.644189e-01  1.111718e-01 -4.213869e+00  8.047351e-01
1.751145e-01 -9.869769e+00 -4.237268e-01  1.527771e-01 -4.217870e+00  8.047839e-01
1.795059e-01 -9.349824e+00 -6.080625e-01  2.008358e-01 -4.220644e+00  8.044163e-01
1.847607e-01 -8.764147e+00 -8.158319e-01  2.548789e-01 -4.221110e+00  8.033919e-01
1.909597e-01 -8.121018e+00 -1.043926e+00  3.140249e-01 -4.217912e+00  8.014146e-01
1.981774e-01 -7.432415e+00 -1.287718e+00  3.769780e-01 -4.209459e+00  7.981391e-01
2.064794e-01 -6.713398e+00 -1.541210e+00  4.420647e-01 -4.193988e+00  7.931858e-01
2.159211e-01 -5.981130e+00 -1.797324e+00  5.073121e-01 -4.169671e+00  7.861611e-01
2.265454e-01 -5.253614e+00 -2.048326e+00  5.705615e-01 -4.134747e+00  7.766848e-01
2.383811e-01 -4.548318e+00 -2.286342e+00  6.296096e-01 -4.087661e+00  7.644195e-01
2.514418e-01 -3.880870e+00 -2.503913e+00  6.823599e-01 -4.027209e+00  7.491007e-01
2.657247e-01 -3.263992e+00 -2.694518e+00  7.269699e-01 -3.952660e+00  7.305630e-01
2.812096e-01 -2.706811e+00 -2.853010e+00  7.619756e-01 -3.863844e+00  7.087593e-01
2.978589e-01 -2.214590e+00 -2.975920e+00  7.863809e-01 -3.761191e+00  6.837708e-01
3.156174e-01 -1.788886e+00 -3.061592e+00  7.997032e-01 -3.645718e+00  6.558065e-01
3.344127e-01 -1.428037e+00 -3.110157e+00  8.019726e-01 -3.518972e+00  6.251916e-01
3.541562e-01 -1.127866e+00 -3.123358e+00  7.936905e-01 -3.382921e+00  5.923477e-01
3.747436e-01 -8.824790e-01 -3.104262e+00  7.757536e-01 -3.239828e+00  5.577665e-01
3.960570e-01 -6.850346e-01 -3.056908e+00  7.493577e-01 -3.092104e+00  5.219795e-01
4.179666e-01 -5.284073e-01 -2.985928e+00  7.158924e-01 -2.942169e+00  4.855292e-01
4.403322e-01 -4.056985e-01 -2.896194e+00  6.768384e-01 -2.792330e+00  4.489417e-01
4.630064e-01 -3.105830e-01 -2.792516e+00  6.336770e-01 -2.644682e+00  4.127049e-01
4.858360e-01 -2.375042e-01 -2.679398e+00  5.878159e-01 -2.501043e+00  3.772525e-01
5.086657e-01 -1.817479e-01 -2.560875e+00  5.405357e-01 -2.362915e+00  3.429537e-01
5.313398e-01 -1.394277e-01 -2.440419e+00  4.929556e-01 -2.231472e+00  3.101089e-01
5.537055e-01 -1.074157e-01 -2.320898e+00  4.460165e-01 -2.107574e+00  2.789500e-01
5.756150e-01 -8.324330e-02 -2.204589e+00  4.004785e-01 -1.991791e+00  2.496434e-01
5.969285e-01 -6.499420e-02 -2.093219e+00  3.569287e-01 -1.884436e+00  2.222969e-01
