376 3
 0 0 1
 2 2 1
 -6.502185e+00 -3.053774e-01 -1.000419e-01
0.000000e+00 -2.060397e+01  4.505582e+00 -3.463896e-14
3.278564e-09 -2.060397e+01  4.505582e+00 -1.110698e-08
1.046582e-07 -2.060396e+01  4.505580e+00 -3.545555e-07
7.915214e-07 -2.060389e+01  4.505564e+00 -2.681469e-06
3.316517e-06 -2.060363e+01  4.505507e+00 -1.123543e-05
1.004733e-05 -2.060293e+01  4.505356e+00 -3.403697e-05
2.477810e-05 -2.060142e+01  4.505024e+00 -8.393673e-05
5.299135e-05 -2.059851e+01  4.504388e+00 -1.794975e-04
1.020609e-04 -2.059346e+01  4.503283e+00 -3.456683e-04
1.813877e-04 -2.058529e+01  4.501497e+00 -6.142170e-04
3.024627e-04 -2.057283e+01  4.498773e+00 -1.023893e-03
4.788527e-04 -2.055470e+01  4.494806e+00 -1.620291e-03
7.261078e-04 -2.052931e+01  4.489250e+00 -2.455409e-03
1.061591e-03 -2.049490e+01  4.481721e+00 -3.586871e-03
1.504231e-03 -2.044960e+01  4.471805e+00 -5.076834e-03
2.074209e-03 -2.039142e+01  4.459064e+00 -6.990576e-03
2.792580e-03 -2.031834e+01  4.443050e+00 -9.394795e-03
3.680838e-03 -2.022835e+01  4.423319e+00 -1.235567e-02
4.760448e-03 -2.011953e+01  4.399438e+00 -1.593670e-02
6.052333e-03 -1.999010e+01  4.371010e+00 -2.019649e-02
7.576358e-03 -1.983853e+01  4.337678e+00 -2.518643e-02
9.350803e-03 -1.966355e+01  4.299146e+00 -3.094850e-02
1.139185e-02 -1.946426e+01  4.255193e+00 -3.751324e-02
1.371307e-02 -1.924016e+01  4.205679e+00 -4.489800e-02
1.632504e-02 -1.899120e+01  4.150560e+00 -5.310557e-02
1.923484e-02 -1.871780e+01  4.089893e+00 -6.212331e-02
2.244580e-02 -1.842087e+01  4.023839e+00 -7.192276e-02
2.595722e-02 -1.810177e+01  3.952660e+00 -8.245989e-02
2.976415e-02 -1.776236e+01  3.876720e+00 -9.367583e-02
3.385735e-02 -1.740485e+01  3.796474e+00 -1.054983e-01
3.822326e-02 -1.703183e+01  3.712459e+00 -1.178432e-01
4.284407e-02 -1.664618e+01  3.625280e+00 -1.306172e-01
4.769797e-02 -1.625097e+01  3.535594e+00 -1.437196e-01
5.275935e-02 -1.584939e+01  3.444095e+00 -1.570458e-01
5.799924e-02 -1.544467e+01  3.351495e+00 -1.704890e-01
6.338567e-02 -1.504000e+01  3.258509e+00 -1.839437e-01
6.888423e-02 -1.463846e+01  3.165836e+00 -1.973074e-01
7.445863e-02 -1.424297e+01  3.074148e+00 -2.104829e-01
8.007127e-02 -1.385620e+01  2.984077e+00 -2.233803e-01
8.568391e-02 -1.348055e+01  2.896202e+00 -2.359180e-01
9.125831e-02 -1.311816e+01  2.811046e+00 -2.480241e-01
9.675688e-02 -1.277083e+01  2.729065e+00 -2.596366e-01
1.021433e-01 -1.244005e+01  2.650651e+00 -2.707040e-01
1.073832e-01 -1.212701e+01  2.576125e+00 -2.811851e-01
1.124446e-01 -1.183257e+01  2.505741e+00 -2.910491e-01
1.172985e-01 -1.155735e+01  2.439690e+00 -3.002742e-01
1.219193e-01 -1.130167e+01  2.378097e+00 -3.088482e-01
1.262852e-01 -1.106561e+01  2.321031e+00 -3.167666e-01
1.303784e-01 -1.084907e+01  2.268505e+00 -3.240328e-01
1.341853e-01 -1.065172e+01  2.220484e+00 -3.306565e-01
1.376967e-01 -1.047307e+01  2.176890e+00 -3.366533e-01
1.409077e-01 -1.031249e+01  2.137603e+00 -3.420440e-01
1.438175e-01 -1.016924e+01  2.102470e+00 -3.468534e-01
1.464295e-01 -1.004246e+01  2.071308e+00 -3.511101e-01
1.487507e-01 -9.931197e+00  2.043909e+00 -3.548457e-01
1.507917e-01 -9.834449e+00  2.020043e+00 -3.580939e-01
1.525662e-01 -9.751153e+00  1.999465e+00 -3.608904e-01
1.540902e-01 -9.680211e+00  1.981917e+00 -3.632721e-01
1.553821e-01 -9.620505e+00  1.967131e+00 -3.652764e-01
1.564617e-01 -9.570910e+00  1.954838e+00 -3.669413e-01
1.573500e-01 -9.530309e+00  1.944767e+00 -3.683042e-01
1.580683e-01 -9.497607e+00  1.936650e+00 -3.694019e-01
1.586383e-01 -9.471745e+00  1.930228e+00 -3.702700e-01
1.590810e-01 -9.451713e+00  1.925251e+00 -3.709424e-01
1.594164e-01 -9.436561e+00  1.921486e+00 -3.714509e-01
1.596637e-01 -9.425409e+00  1.918714e+00 -3.718252e-01
1.598401e-01 -9.417463e+00  1.916739e+00 -3.720919e-01
1.599612e-01 -9.412012e+00  1.915383e+00 -3.722749e-01
1.600405e-01 -9.408443e+00  1.914496e+00 -3.723947e-01
1.600896e-01 -9.406236e+00  1.913947e+00 -3.724688e-01
1.601178e-01 -9.404967e+00  1.913632e+00 -3.725113e-01
1.601325e-01 -9.404305e+00  1.913467e+00 -3.725336e-01
1.601392e-01 -9.404002e+00  1.913392e+00 -3.725437e-01
1.601418e-01 -9.403889e+00  1.913363e+00 -3.725475e-01
1.601424e-01 -9.403858e+00  1.913356e+00 -3.725486e-01
1.601425e-01 -9.403853e+00  1.913355e+00 -3.725487e-01
1.601426e-01 -9.403853e+00  1.913354e+00 -3.725488e-01
1.601430e-01 -9.403834e+00  1.913350e+00 -3.725494e-01
1.601458e-01 -9.403708e+00  1.913319e+00 -3.725536e-01
1.601560e-01 -9.403247e+00  1.913204e+00 -3.725691e-01
1.601834e-01 -9.402016e+00  1.912898e+00 -3.726104e-01
1.602433e-01 -9.399323e+00  1.912228e+00 -3.727008e-01
1.603581e-01 -9.394167e+00  1.910946e+00 -3.728738e-01
1.605577e-01 -9.385207e+00  1.908717e+00 -3.731745e-01
1.608803e-01 -9.370742e+00  1.905118e+00 -3.736600e-01
1.613728e-01 -9.348710e+00  1.899635e+00 -3.743994e-01
1.620903e-01 -9.316710e+00  1.891668e+00 -3.754733e-01
1.630960e-01 -9.272051e+00  1.880541e+00 -3.769720e-01
1.644606e-01 -9.211819e+00  1.865521e+00 -3.789932e-01
1.662611e-01 -9.132985e+00  1.845837e+00 -3.816382e-01
1.685795e-01 -9.032526e+00  1.820714e+00 -3.850082e-01
1.715015e-01 -8.907583e+00  1.789405e+00 -3.891987e-01
1.751145e-01 -8.755626e+00  1.751232e+00 -3.942933e-01
1.795059e-01 -8.574632e+00  1.705624e+00 -4.003586e-01
1.847607e-01 -8.363259e+00  1.652166e+00 -4.074370e-01
1.909597e-01 -8.120994e+00  1.590627e+00 -4.155421e-01
1.981774e-01 -7.848270e+00  1.520999e+00 -4.246538e-01
2.064794e-01 -7.546534e+00  1.443515e+00 -4.347158e-01
2.159211e-01 -7.218252e+00  1.358657e+00 -4.456347e-01
2.265454e-01 -6.866848e+00  1.267148e+00 -4.572814e-01
2.383811e-01 -6.496573e+00  1.169936e+00 -4.694949e-01
2.514418e-01 -6.112327e+00  1.068154e+00 -4.820886e-01
2.657247e-01 -5.719424e+00  9.630741e-01 -4.948574e-01
2.812096e-01 -5.323345e+00  8.560572e-01 -5.075871e-01
2.978589e-01 -4.929484e+00  7.484908e-01 -5.200634e-01
3.156174e-01 -4.542914e+00  6.417342e-01 -5.320821e-01
3.344127e-01 -4.168189e+00  5.370654e-01 -5.434565e-01
3.541562e-01 -3.809197e+00  4.356377e-01 -5.540255e-01
3.747436e-01 -3.469066e+00  3.384457e-01 -5.636584e-01
3.960570e-01 -3.150126e+00  2.463033e-01 -5.722589e-01
