376 3
 0 0 1
 2 2 2
 -9.884111e+00 -4.573827e-01 -1.579523e-01
0.000000e+00 -2.741576e+01  6.223662e+00 -1.314504e-13
3.278564e-09 -2.741576e+01  6.223661e+00 -2.048252e-08
1.046582e-07 -2.741574e+01  6.223658e+00 -6.538383e-07
7.915214e-07 -2.741563e+01  6.223632e+00 -4.944913e-06
3.316517e-06 -2.741521e+01  6.223538e+00 -2.071929e-05
1.004733e-05 -2.741411e+01  6.223286e+00 -6.276749e-05
2.477810e-05 -2.741168e+01  6.222736e+00 -1.547864e-04
5.299135e-05 -2.740704e+01  6.221683e+00 -3.310038e-04
1.020609e-04 -2.739898e+01  6.219851e+00 -6.374167e-04
1.813877e-04 -2.738594e+01  6.216891e+00 -1.132579e-03
3.024627e-04 -2.736605e+01  6.212376e+00 -1.887882e-03
4.788527e-04 -2.733711e+01  6.205802e+00 -2.987275e-03
7.261078e-04 -2.729659e+01  6.196598e+00 -4.526394e-03
1.061591e-03 -2.724170e+01  6.184127e+00 -6.611066e-03
1.504231e-03 -2.716947e+01  6.167706e+00 -9.355191e-03
2.074209e-03 -2.707674e+01  6.146616e+00 -1.287802e-02
2.792580e-03 -2.696033e+01  6.120123e+00 -1.730086e-02
3.680838e-03 -2.681711e+01  6.087500e+00 -2.274334e-02
4.760448e-03 -2.664408e+01  6.048048e+00 -2.931926e-02
6.052333e-03 -2.643855e+01  6.001126e+00 -3.713226e-02
7.576358e-03 -2.619819e+01  5.946171e+00 -4.627146e-02
9.350803e-03 -2.592117e+01  5.882728e+00 -5.680727e-02
1.139185e-02 -2.560628e+01  5.810465e+00 -6.878757e-02
1.371307e-02 -2.525296e+01  5.729203e+00 -8.223455e-02
1.632504e-02 -2.486143e+01  5.638919e+00 -9.714230e-02
1.923484e-02 -2.443266e+01  5.539766e+00 -1.134754e-01
2.244580e-02 -2.396843e+01  5.432070e+00 -1.311688e-01
2.595722e-02 -2.347124e+01  5.316330e+00 -1.501283e-01
2.976415e-02 -2.294434e+01  5.193209e+00 -1.702330e-01
3.385735e-02 -2.239157e+01  5.063517e+00 -1.913379e-01
3.822326e-02 -2.181729e+01  4.928193e+00 -2.132784e-01
4.284407e-02 -2.122624e+01  4.788275e+00 -2.358742e-01
4.769797e-02 -2.062342e+01  4.644878e+00 -2.589353e-01
5.275935e-02 -2.001392e+01  4.499160e+00 -2.822664e-01
5.799924e-02 -1.940283e+01  4.352293e+00 -3.056726e-01
6.338567e-02 -1.879506e+01  4.205436e+00 -3.289643e-01
6.888423e-02 -1.819526e+01  4.059706e+00 -3.519612e-01
7.445863e-02 -1.760772e+01  3.916158e+00 -3.744962e-01
8.007127e-02 -1.703631e+01  3.775765e+00 -3.964184e-01
8.568391e-02 -1.648441e+01  3.639403e+00 -4.175948e-01
9.125831e-02 -1.595491e+01  3.507842e+00 -4.379121e-01
9.675688e-02 -1.545015e+01  3.381740e+00 -4.572768e-01
1.021433e-01 -1.497199e+01  3.261639e+00 -4.756155e-01
1.073832e-01 -1.452180e+01  3.147970e+00 -4.928739e-01
1.124446e-01 -1.410049e+01  3.041053e+00 -5.090158e-01
1.172985e-01 -1.370854e+01  2.941107e+00 -5.240216e-01
1.219193e-01 -1.334608e+01  2.848253e+00 -5.378869e-01
1.262852e-01 -1.301289e+01  2.762526e+00 -5.506206e-01
1.303784e-01 -1.270847e+01  2.683882e+00 -5.622429e-01
1.341853e-01 -1.243207e+01  2.612206e+00 -5.727841e-01
1.376967e-01 -1.218274e+01  2.547323e+00 -5.822826e-01
1.409077e-01 -1.195935e+01  2.489005e+00 -5.907833e-01
1.438175e-01 -1.176064e+01  2.436978e+00 -5.983368e-01
1.464295e-01 -1.158523e+01  2.390932e+00 -6.049975e-01
1.487507e-01 -1.143166e+01  2.350524e+00 -6.108234e-01
1.507917e-01 -1.129839e+01  2.315388e+00 -6.158741e-01
1.525662e-01 -1.118386e+01  2.285137e+00 -6.202112e-01
1.540902e-01 -1.108646e+01  2.259373e+00 -6.238964e-01
1.553821e-01 -1.100460e+01  2.237690e+00 -6.269918e-01
1.564617e-01 -1.093668e+01  2.219680e+00 -6.295587e-01
1.573500e-01 -1.088113e+01  2.204935e+00 -6.316571e-01
1.580683e-01 -1.083642e+01  2.193060e+00 -6.333452e-01
1.586383e-01 -1.080108e+01  2.183668e+00 -6.346790e-01
1.590810e-01 -1.077372e+01  2.176394e+00 -6.357114e-01
1.594164e-01 -1.075304e+01  2.170891e+00 -6.364919e-01
1.596637e-01 -1.073782e+01  2.166842e+00 -6.370660e-01
1.598401e-01 -1.072697e+01  2.163956e+00 -6.374750e-01
1.599612e-01 -1.071954e+01  2.161977e+00 -6.377555e-01
1.600405e-01 -1.071467e+01  2.160681e+00 -6.379391e-01
1.600896e-01 -1.071166e+01  2.159879e+00 -6.380527e-01
1.601178e-01 -1.070993e+01  2.159418e+00 -6.381179e-01
1.601325e-01 -1.070902e+01  2.159178e+00 -6.381520e-01
1.601392e-01 -1.070861e+01  2.159068e+00 -6.381676e-01
1.601418e-01 -1.070846e+01  2.159027e+00 -6.381734e-01
1.601424e-01 -1.070841e+01  2.159016e+00 -6.381750e-01
1.601425e-01 -1.070841e+01  2.159014e+00 -6.381752e-01
1.601426e-01 -1.070841e+01  2.159014e+00 -6.381753e-01
1.601430e-01 -1.070838e+01  2.159007e+00 -6.381762e-01
1.601458e-01 -1.070821e+01  2.158961e+00 -6.381827e-01
1.601560e-01 -1.070758e+01  2.158794e+00 -6.382065e-01
1.601834e-01 -1.070590e+01  2.158347e+00 -6.382698e-01
1.602433e-01 -1.070223e+01  2.157369e+00 -6.384083e-01
1.603581e-01 -1.069520e+01  2.155496e+00 -6.386734e-01
1.605577e-01 -1.068298e+01  2.152243e+00 -6.391341e-01
1.608803e-01 -1.066326e+01  2.146990e+00 -6.398775e-01
1.613728e-01 -1.063323e+01  2.138990e+00 -6.410092e-01
1.620903e-01 -1.058964e+01  2.127370e+00 -6.426514e-01
1.630960e-01 -1.052886e+01  2.111153e+00 -6.449404e-01
1.644606e-01 -1.044698e+01  2.089282e+00 -6.480219e-01
1.662611e-01 -1.033997e+01  2.060656e+00 -6.520456e-01
1.685795e-01 -1.020386e+01  2.024180e+00 -6.571568e-01
1.715015e-01 -1.003500e+01  1.978817e+00 -6.634878e-01
1.751145e-01 -9.830251e+00  1.923650e+00 -6.711478e-01
1.795059e-01 -9.587285e+00  1.857950e+00 -6.802122e-01
1.847607e-01 -9.304806e+00  1.781233e+00 -6.907127e-01
1.909597e-01 -8.982754e+00  1.693323e+00 -7.026285e-01
1.981774e-01 -8.622452e+00  1.594391e+00 -7.158797e-01
2.064794e-01 -8.226661e+00  1.484982e+00 -7.303245e-01
2.159211e-01 -7.799545e+00  1.366018e+00 -7.457591e-01
2.265454e-01 -7.346525e+00  1.238779e+00 -7.619236e-01
2.383811e-01 -6.874046e+00  1.104856e+00 -7.785105e-01
2.514418e-01 -6.389262e+00  9.660888e-01 -7.951784e-01
2.657247e-01 -5.899669e+00  8.244812e-01 -8.115674e-01
2.812096e-01 -5.412727e+00  6.821098e-01 -8.273169e-01
2.978589e-01 -4.935493e+00  5.410298e-01 -8.420834e-01
3.156174e-01 -4.474311e+00  4.031854e-01 -8.555569e-01
3.344127e-01 -4.034568e+00  2.703332e-01 -8.674755e-01
3.541562e-01 -3.620541e+00  1.439804e-01 -8.776355e-01
3.747436e-01 -3.235333e+00  2.534441e-02 -8.858984e-01
3.960570e-01 -2.880883e+00 -8.466870e-02 -8.921928e-01
4.179666e-01 -2.558056e+00 -1.854656e-01 -8.965132e-01
4.403322e-01 -2.266770e+00 -2.767504e-01 -8.989137e-01
4.630064e-01 -2.006168e+00 -3.584961e-01 -8.995007e-01
4.858360e-01 -1.774785e+00 -4.309072e-01 -8.984225e-01
5.086657e-01 -1.570730e+00 -4.943759e-01 -8.958590e-01
5.313398e-01 -1.391836e+00 -5.494384e-01 -8.920105e-01
5.537055e-01 -1.235801e+00 -5.967320e-01 -8.870885e-01
5.756150e-01 -1.100301e+00 -6.369559e-01 -8.813063e-01
5.969285e-01 -9.830665e-01 -6.708376e-01 -8.748729e-01
6.175159e-01 -8.819520e-01 -6.991050e-01 -8.679862e-01
6.372593e-01 -7.949684e-01 -7.224647e-01 -8.608296e-01
6.560547e-01 -7.203067e-01 -7.415858e-01 -8.535684e-01
6.738132e-01 -6.563452e-01 -7.570883e-01 -8.463485e-01
6.904625e-01 -6.016473e-01 -7.695368e-01 -8.392948e-01
7.059474e-01 -5.549521e-01 -7.794362e-01 -8.325116e-01
7.202302e-01 -5.151616e-01 -7.872319e-01 -8.260826e-01
7.332910e-01 -4.813242e-01 -7.933107e-01 -8.200721e-01
7.451267e-01 -4.526192e-01 -7.980044e-01 -8.145261e-01
7.557510e-01 -4.283396e-01 -8.015930e-01 -8.094739e-01
7.651927e-01 -4.078772e-01 -8.043106e-01 -8.049298e-01
7.734947e-01 -3.907083e-01 -8.063494e-01 -8.008950e-01
7.807123e-01 -3.763806e-01 -8.078655e-01 -7.973592e-01
7.869114e-01 -3.645024e-01 -8.089836e-01 -7.943028e-01
7.921662e-01 -3.547326e-01 -8.098023e-01 -7.916985e-01
7.965576e-01 -3.467728e-01 -8.103978e-01 -7.895131e-01
8.001706e-01 -3.403602e-01 -8.108285e-01 -7.877091e-01
8.030926e-01 -3.352624e-01 -8.111383e-01 -7.862463e-01
8.054110e-01 -3.312730e-01 -8.113600e-01 -7.850833e-01
8.072115e-01 -3.282082e-01 -8.115177e-01 -7.841788e-01
8.085761e-01 -3.259046e-01 -8.116287e-01 -7.834924e-01
8.095818e-01 -3.242173e-01 -8.117060e-01 -7.829861e-01
8.102992e-01 -3.230190e-01 -8.117587e-01 -7.826246e-01
8.107917e-01 -3.221992e-01 -8.117938e-01 -7.823764e-01
8.111144e-01 -3.216631e-01 -8.118163e-01 -7.822138e-01
8.113140e-01 -3.213320e-01 -8.118300e-01 -7.821132e-01
8.114287e-01 -3.211418e-01 -8.118378e-01 -7.820553e-01
8.114887e-01 -3.210425e-01 -8.118418e-01 -7.820251e-01
8.115160e-01 -3.209972e-01 -8.118437e-01 -7.820113e-01
8.115263e-01 -3.209802e-01 -8.118444e-01 -7.820061e-01
8.115291e-01 -3.209755e-01 -8.118446e-01 -7.820047e-01
8.115295e-01 -3.209749e-01 -8.118446e-01 -7.820045e-01
8.115296e-01 -3.209748e-01 -8.118446e-01 -7.820044e-01
