376 6
 0 0 0 0 1 1
 2 2 2 2 6 6
 -1.438486e+02 -1.498114e+01 -1.655845e+00 -1.113595e-01 -1.221829e+01 -9.813918e-01
0.000000e+00  1.743107e+02 -5.021132e+01  1.810536e+01  4.909139e+00  1.984525e-07 -6.684277e-08
3.278564e-09  1.743107e+02 -5.021131e+01  1.810536e+01  4.909139e+00 -6.169113e-07  2.112206e-07
1.046582e-07  1.743103e+02 -5.021121e+01  1.810533e+01  4.909129e+00 -2.582954e-05  8.809479e-06
7.915214e-07  1.743079e+02 -5.021052e+01  1.810508e+01  4.909061e+00 -1.966477e-04  6.706357e-05
3.316517e-06  1.742991e+02 -5.020799e+01  1.810416e+01  4.908813e+00 -8.245766e-04  2.812060e-04
1.004733e-05  1.742757e+02 -5.020123e+01  1.810173e+01  4.908153e+00 -2.498276e-03  8.519874e-04
2.477810e-05  1.742243e+02 -5.018644e+01  1.809639e+01  4.906707e+00 -6.160474e-03  2.100906e-03
5.299135e-05  1.741260e+02 -5.015812e+01  1.808618e+01  4.903938e+00 -1.317152e-02  4.491883e-03
1.020609e-04  1.739552e+02 -5.010891e+01  1.806844e+01  4.899126e+00 -2.535599e-02  8.647147e-03
1.813877e-04  1.736795e+02 -5.002942e+01  1.803977e+01  4.891355e+00 -4.502834e-02  1.535601e-02
3.024627e-04  1.732595e+02 -4.990831e+01  1.799610e+01  4.879512e+00 -7.499374e-02  2.557510e-02
4.788527e-04  1.726494e+02 -4.973227e+01  1.793261e+01  4.862297e+00 -1.185195e-01  4.041866e-02
7.261078e-04  1.717978e+02 -4.948634e+01  1.784391e+01  4.838246e+00 -1.792735e-01  6.113753e-02
1.061591e-03  1.706492e+02 -4.915421e+01  1.772410e+01  4.805759e+00 -2.612260e-01  8.908564e-02
1.504231e-03  1.691456e+02 -4.871870e+01  1.756697e+01  4.763152e+00 -3.685141e-01  1.256736e-01
2.074209e-03  1.672292e+02 -4.816241e+01  1.736623e+01  4.708717e+00 -5.052674e-01  1.723096e-01
2.792580e-03  1.648451e+02 -4.746848e+01  1.711574e+01  4.640791e+00 -6.754020e-01  2.303281e-01
3.680838e-03  1.619447e+02 -4.662140e+01  1.680986e+01  4.557841e+00 -8.823863e-01  3.009108e-01
4.760448e-03  1.584892e+02 -4.560794e+01  1.644376e+01  4.458552e+00 -1.128994e+00  3.850009e-01
6.052333e-03  1.544523e+02 -4.441807e+01  1.601370e+01  4.341914e+00 -1.417060e+00  4.832193e-01
7.576358e-03  1.498239e+02 -4.304579e+01  1.551742e+01  4.207306e+00 -1.747250e+00  5.957862e-01
9.350803e-03  1.446122e+02 -4.148989e+01  1.495436e+01  4.054572e+00 -2.118885e+00  7.224578e-01
1.139185e-02  1.388448e+02 -3.975447e+01  1.432584e+01  3.884068e+00 -2.529812e+00  8.624832e-01
