376 5
 0 0 0 1 1
 2 2 2 6 5
 -1.002866e+02 -9.125222e+00 -7.064384e-01 -6.976378e+00 -2.745678e-01
0.000000e+00 -1.360962e+02  3.788370e+01 -1.236015e+01  3.285548e-08 -9.032064e-09
3.278564e-09 -1.360962e+02  3.788369e+01 -1.236015e+01 -4.749380e-07  1.351401e-07
1.046582e-07 -1.360959e+02  3.788363e+01 -1.236013e+01 -1.617690e-05  4.593225e-06
7.915214e-07 -1.360943e+02  3.788319e+01 -1.235998e+01 -1.225595e-04  3.479724e-05
3.316517e-06 -1.360885e+02  3.788156e+01 -1.235945e+01 -5.136244e-04  1.458280e-04
1.004733e-05 -1.360729e+02  3.787723e+01 -1.235804e+01 -1.555995e-03  4.417766e-04
2.477810e-05 -1.360389e+02  3.786774e+01 -1.235494e+01 -3.836863e-03  1.089358e-03
5.299135e-05 -1.359736e+02  3.784958e+01 -1.234902e+01 -8.203726e-03  2.329193e-03
1.020609e-04 -1.358602e+02  3.781801e+01 -1.233872e+01 -1.579375e-02  4.484144e-03
1.813877e-04 -1.356772e+02  3.776702e+01 -1.232208e+01 -2.805054e-02  7.964080e-03
3.024627e-04 -1.353982e+02  3.768930e+01 -1.229672e+01 -4.672601e-02  1.326640e-02
4.788527e-04 -1.349928e+02  3.757631e+01 -1.225985e+01 -7.386488e-02  2.097163e-02
7.261078e-04 -1.344267e+02  3.741838e+01 -1.220831e+01 -1.117699e-01  3.173358e-02
1.061591e-03 -1.336623e+02  3.720494e+01 -1.213866e+01 -1.629460e-01  4.626338e-02
1.504231e-03 -1.326606e+02  3.692482e+01 -1.204722e+01 -2.300218e-01  6.530735e-02
2.074209e-03 -1.313819e+02  3.656660e+01 -1.193028e+01 -3.156507e-01  8.961869e-02
2.792580e-03 -1.297881e+02  3.611908e+01 -1.178415e+01 -4.223907e-01  1.199234e-01
3.680838e-03 -1.278444e+02  3.557178e+01 -1.160540e+01 -5.525697e-01  1.568821e-01
4.760448e-03 -1.255218e+02  3.491550e+01 -1.139098e+01 -7.081408e-01  2.010484e-01
6.052333e-03 -1.227987e+02  3.414285e+01 -1.113845e+01 -8.905364e-01  2.528276e-01
7.576358e-03 -1.196635e+02  3.324884e+01 -1.084613e+01 -1.100532e+00  3.124374e-01
9.350803e-03 -1.161155e+02  3.223130e+01 -1.051324e+01 -1.338128e+00  3.798745e-01
1.139185e-02 -1.121666e+02  3.109128e+01 -1.014006e+01 -1.602469e+00  4.548904e-01
1.371307e-02 -1.078416e+02  2.983326e+01 -9.727990e+00 -1.891797e+00  5.369781e-01
1.632504e-02 -1.031777e+02  2.846521e+01 -9.279549e+00 -2.203462e+00  6.253740e-01
1.923484e-02 -9.822388e+01  2.699844e+01 -8.798364e+00 -2.533977e+00  7.190741e-01
2.244580e-02 -9.303845e+01  2.544728e+01 -8.289060e+00 -2.879138e+00  8.168660e-01
