376 8
 0 0 0 0 1 1 1 2
 2 2 2 2 6 6 2 10
 -3.962069e+02 -4.899179e+01 -5.906101e+00 -3.867838e-01 -4.365480e+01 -4.139819e+00 -1.146960e-01 -1.064182e+00
0.000000e+00  3.559040e+02  1.101914e+02 -4.296205e+01  1.226065e+01  9.883691e-06 -3.822683e-06 -8.012007e-07 -6.616678e-07
3.278564e-09  3.559039e+02  1.101914e+02 -4.296205e+01  1.226065e+01  6.838239e-06 -2.640009e-06 -5.532539e-07 -6.616656e-07
1.046582e-07  3.559028e+02  1.101911e+02 -4.296191e+01  1.226061e+01 -8.733302e-05  3.393057e-05  7.113737e-06 -6.616043e-07
7.915214e-07  3.558950e+02  1.101887e+02 -4.296097e+01  1.226034e+01 -7.253500e-04  2.816989e-04  5.905815e-05 -6.614262e-07
3.316517e-06  3.558662e+02  1.101798e+02 -4.295750e+01  1.225935e+01 -3.070660e-03  1.192479e-03  2.500025e-04 -6.643237e-07
1.004733e-05  3.557896e+02  1.101560e+02 -4.294824e+01  1.225671e+01 -9.321569e-03  3.619965e-03  7.589228e-04 -6.993341e-07
2.477810e-05  3.556219e+02  1.101041e+02 -4.292800e+01  1.225093e+01 -2.299733e-02  8.930827e-03  1.872341e-03 -9.143896e-07
5.299135e-05  3.553010e+02  1.100047e+02 -4.288925e+01  1.223987e+01 -4.917198e-02  1.909552e-02  4.003360e-03 -1.856524e-06
1.020609e-04  3.547435e+02  1.098320e+02 -4.282191e+01  1.222066e+01 -9.463962e-02  3.675248e-02  7.705126e-03 -5.153141e-06
1.813877e-04  3.538441e+02  1.095533e+02 -4.271323e+01  1.218964e+01 -1.679926e-01  6.523843e-02  1.367718e-02 -1.492820e-05
3.024627e-04  3.524759e+02  1.091289e+02 -4.254774e+01  1.214241e+01 -2.795909e-01  1.085766e-01  2.276299e-02 -4.041007e-05
4.788527e-04  3.504921e+02  1.085130e+02 -4.230751e+01  1.207385e+01 -4.414011e-01  1.714140e-01  3.593678e-02 -1.002826e-04
7.261078e-04  3.477303e+02  1.076542e+02 -4.197249e+01  1.197824e+01 -6.666819e-01  2.588990e-01  5.427793e-02 -2.293593e-04
1.061591e-03  3.440179e+02  1.064974e+02 -4.152111e+01  1.184941e+01 -9.694991e-01  3.764931e-01  7.893139e-02 -4.880763e-04
1.504231e-03  3.391810e+02  1.049859e+02 -4.093114e+01  1.168102e+01 -1.364062e+00  5.297122e-01  1.110535e-01 -9.750687e-04
2.074209e-03  3.330534e+02  1.030642e+02 -4.018071e+01  1.146681e+01 -1.863888e+00  7.238000e-01  1.517435e-01 -1.842686e-03
2.792580e-03  3.254894e+02  1.006811e+02 -3.924958e+01  1.120101e+01 -2.480818e+00  9.633440e-01  2.019630e-01 -3.314719e-03
3.680838e-03  3.163759e+02  9.779344e+01 -3.812053e+01  1.087868e+01 -3.223935e+00  1.251851e+00  2.624466e-01 -5.704917e-03
4.760448e-03  3.056454e+02  9.436975e+01 -3.678078e+01  1.049616e+01 -4.098466e+00  1.591313e+00  3.336113e-01 -9.434099e-03
