376 6
 0 0 0 0 1 1
 2 2 2 1 6 6
 -1.283309e+02 -1.277542e+01 -1.233137e+00 -6.446058e-02 -1.021911e+01 -6.466367e-01
0.000000e+00  1.612220e+02 -4.596433e+01  1.599766e+01 -3.570464e+00  1.029835e-07 -3.225641e-08
3.278564e-09  1.612220e+02 -4.596433e+01  1.599766e+01 -3.570463e+00 -6.000073e-07  1.930912e-07
1.046582e-07  1.612216e+02 -4.596424e+01  1.599763e+01 -3.570457e+00 -2.233785e-05  7.161279e-06
7.915214e-07  1.612195e+02 -4.596364e+01  1.599742e+01 -3.570410e+00 -1.696140e-04  5.437148e-05
3.316517e-06  1.612118e+02 -4.596143e+01  1.599665e+01 -3.570239e+00 -7.110033e-04  2.279169e-04
1.004733e-05  1.611912e+02 -4.595555e+01  1.599461e+01 -3.569782e+00 -2.154044e-03  6.904917e-04
2.477810e-05  1.611461e+02 -4.594269e+01  1.599013e+01 -3.568783e+00 -5.311576e-03  1.702656e-03
5.299135e-05  1.610597e+02 -4.591807e+01  1.598156e+01 -3.566870e+00 -1.135660e-02  3.640423e-03
1.020609e-04  1.609096e+02 -4.587527e+01  1.596666e+01 -3.563545e+00 -2.186262e-02  7.008187e-03
1.813877e-04  1.606673e+02 -4.580614e+01  1.594260e+01 -3.558175e+00 -3.882616e-02  1.244594e-02
3.024627e-04  1.602981e+02 -4.570079e+01  1.590593e+01 -3.549991e+00 -6.466800e-02  2.072969e-02
4.788527e-04  1.597619e+02 -4.554765e+01  1.585262e+01 -3.538093e+00 -1.022098e-01  3.276390e-02
7.261078e-04  1.590132e+02 -4.533368e+01  1.577813e+01 -3.521468e+00 -1.546223e-01  4.956500e-02
1.061591e-03  1.580030e+02 -4.504465e+01  1.567750e+01 -3.499007e+00 -2.253436e-01  7.223501e-02
1.504231e-03  1.566802e+02 -4.466553e+01  1.554548e+01 -3.469541e+00 -3.179646e-01  1.019249e-01
2.074209e-03  1.549932e+02 -4.418110e+01  1.537676e+01 -3.431881e+00 -4.360834e-01  1.397878e-01
2.792580e-03  1.528933e+02 -4.357651e+01  1.516613e+01 -3.384866e+00 -5.831309e-01  1.869231e-01
3.680838e-03  1.503366e+02 -4.283802e+01  1.490877e+01 -3.327419e+00 -7.621748e-01  2.443130e-01
4.760448e-03  1.472874e+02 -4.195381e+01  1.460051e+01 -3.258608e+00 -9.757101e-01  3.127556e-01
6.052333e-03  1.437210e+02 -4.091474e+01  1.423809e+01 -3.177703e+00 -1.225450e+00  3.927970e-01
7.576358e-03  1.396264e+02 -3.971507e+01  1.381943e+01 -3.084239e+00 -1.512135e+00  4.846692e-01
9.350803e-03  1.350079e+02 -3.835313e+01  1.334384e+01 -2.978059e+00 -1.835370e+00  5.882378e-01
1.139185e-02  1.298874e+02 -3.683180e+01  1.281222e+01 -2.859360e+00 -2.193520e+00  7.029662e-01
1.371307e-02  1.243035e+02 -3.515872e+01  1.222711e+01 -2.728707e+00 -2.583661e+00  8.279001e-01
1.632504e-02  1.183119e+02 -3.334635e+01  1.159272e+01 -2.587040e+00 -3.001618e+00  9.616772e-01
1.923484e-02  1.119827e+02 -3.141166e+01  1.091487e+01 -2.435652e+00 -3.442070e+00  1.102561e+00
2.244580e-02  1.053979e+02 -2.937558e+01  1.020078e+01 -2.276152e+00 -3.898747e+00  1.248501e+00
2.595722e-02  9.864784e+01 -2.726223e+01  9.458787e+00 -2.110404e+00 -4.364675e+00  1.397215e+00
2.976415e-02  9.182649e+01 -2.509792e+01  8.698064e+00 -1.940453e+00 -4.832488e+00  1.546284e+00
3.385735e-02  8.502752e+01 -2.291008e+01  7.928205e+00 -1.768442e+00 -5.294746e+00  1.693260e+00
3.822326e-02  7.833999e+01 -2.072608e+01  7.158851e+00 -1.596525e+00 -5.744268e+00  1.835776e+00
4.284407e-02  7.184478e+01 -1.857223e+01  6.399306e+00 -1.426782e+00 -6.174435e+00  1.971639e+00
4.769797e-02  6.561173e+01 -1.647275e+01  5.658209e+00 -1.261146e+00 -6.579447e+00  2.098924e+00
5.275935e-02  5.969778e+01 -1.444906e+01  4.943244e+00 -1.101338e+00 -6.954519e+00  2.216038e+00
5.799924e-02  5.414609e+01 -1.251919e+01  4.260942e+00 -9.488205e-01 -7.296015e+00  2.321767e+00
6.338567e-02  4.898597e+01 -1.069745e+01  3.616550e+00 -8.047708e-01 -7.601497e+00  2.415296e+00
6.888423e-02  4.423370e+01 -8.994346e+00  3.013974e+00 -6.700671e-01 -7.869713e+00  2.496206e+00
7.445863e-02  3.989386e+01 -7.416666e+00  2.455807e+00 -5.452928e-01 -8.100530e+00  2.564460e+00
8.007127e-02  3.596105e+01 -5.967725e+00  1.943398e+00 -4.307535e-01 -8.294807e+00  2.620357e+00
8.568391e-02  3.242184e+01 -4.647752e+00  1.476976e+00 -3.265038e-01 -8.454246e+00  2.664491e+00
9.125831e-02  2.925671e+01 -3.454340e+00  1.055807e+00 -2.323821e-01 -8.581219e+00  2.697686e+00
9.675688e-02  2.644187e+01 -2.382946e+00  6.783588e-01 -1.480475e-01 -8.678590e+00  2.720944e+00
1.021433e-01  2.395093e+01 -1.427381e+00  3.424795e-01 -7.301953e-02 -8.749548e+00  2.735382e+00
1.073832e-01  2.175626e+01 -5.802872e-01  4.556400e-02 -6.715728e-03 -8.797442e+00  2.742180e+00
1.124446e-01  1.983010e+01  1.664385e-01 -2.152898e-01  5.151370e-02 -8.825655e+00  2.742534e+00
1.172985e-01  1.814544e+01  8.212728e-01 -4.431449e-01  1.023551e-01 -8.837481e+00  2.737613e+00
1.219193e-01  1.667660e+01  1.392760e+00 -6.411097e-01  1.465055e-01 -8.836044e+00  2.728527e+00
1.262852e-01  1.539963e+01  1.889272e+00 -8.122454e-01  1.846516e-01 -8.824229e+00  2.716306e+00
1.303784e-01  1.429251e+01  2.318821e+00 -9.594946e-01  2.174537e-01 -8.804641e+00  2.701879e+00
1.341853e-01  1.333530e+01  2.688939e+00 -1.085630e+00  2.455343e-01 -8.779577e+00  2.686065e+00
1.376967e-01  1.251005e+01  3.006594e+00 -1.193220e+00  2.694700e-01 -8.751019e+00  2.669571e+00
1.409077e-01  1.180076e+01  3.278150e+00 -1.284611e+00  2.897876e-01 -8.720636e+00  2.652986e+00
1.438175e-01  1.119322e+01  3.509355e+00 -1.361920e+00  3.069621e-01 -8.689794e+00  2.636791e+00
1.464295e-01  1.067488e+01  3.705358e+00 -1.427037e+00  3.214175e-01 -8.659583e+00  2.621360e+00
1.487507e-01  1.023467e+01  3.870736e+00 -1.481633e+00  3.335288e-01 -8.630830e+00  2.606974e+00
1.507917e-01  9.862797e+00  4.009538e+00 -1.527179e+00  3.436256e-01 -8.604137e+00  2.593823e+00
1.525662e-01  9.550633e+00  4.125333e+00 -1.564959e+00  3.519954e-01 -8.579901e+00  2.582025e+00
1.540902e-01  9.290518e+00  4.221262e+00 -1.596094e+00  3.588888e-01 -8.558350e+00  2.571630e+00
1.553821e-01  9.075647e+00  4.300085e+00 -1.621556e+00  3.645232e-01 -8.539565e+00  2.562635e+00
