376 3
 0 0 1
 2 2 3
 -1.394601e+01 -6.288419e-01 -2.210049e-01
0.000000e+00 -3.484793e+01  8.075142e+00 -6.110668e-13
3.278564e-09 -3.484793e+01  8.075142e+00 -3.314895e-08
1.046582e-07 -3.484791e+01  8.075136e+00 -1.058161e-06
7.915214e-07 -3.484774e+01  8.075098e+00 -8.002757e-06
3.316517e-06 -3.484712e+01  8.074955e+00 -3.353168e-05
1.004733e-05 -3.484548e+01  8.074574e+00 -1.015813e-04
2.477810e-05 -3.484189e+01  8.073742e+00 -2.505004e-04
5.299135e-05 -3.483501e+01  8.072147e+00 -5.356765e-04
1.020609e-04 -3.482305e+01  8.069375e+00 -1.031531e-03
1.813877e-04 -3.480371e+01  8.064895e+00 -1.832780e-03
3.024627e-04 -3.477423e+01  8.058061e+00 -3.054853e-03
4.788527e-04 -3.473132e+01  8.048113e+00 -4.833396e-03
7.261078e-04 -3.467127e+01  8.034186e+00 -7.322778e-03
1.061591e-03 -3.458996e+01  8.015323e+00 -1.069356e-02
1.504231e-03 -3.448297e+01  7.990491e+00 -1.512890e-02
2.074209e-03 -3.434571e+01  7.958611e+00 -2.081998e-02
2.792580e-03 -3.417350e+01  7.918584e+00 -2.796040e-02
3.680838e-03 -3.396180e+01  7.869326e+00 -3.673987e-02
4.760448e-03 -3.370631e+01  7.809805e+00 -4.733723e-02
6.052333e-03 -3.340317e+01  7.739078e+00 -5.991315e-02
7.576358e-03 -3.304917e+01  7.656337e+00 -7.460283e-02
9.350803e-03 -3.264186e+01  7.560939e+00 -9.150903e-02
1.139185e-02 -3.217975e+01  7.452446e+00 -1.106959e-01
1.371307e-02 -3.166240e+01  7.330650e+00 -1.321838e-01
1.632504e-02 -3.109052e+01  7.195599e+00 -1.559459e-01
1.923484e-02 -3.046599e+01  7.047606e+00 -1.819061e-01
2.244580e-02 -2.979188e+01  6.887253e+00 -2.099395e-01
2.595722e-02 -2.907238e+01  6.715386e+00 -2.398741e-01
2.976415e-02 -2.831268e+01  6.533091e+00 -2.714955e-01
3.385735e-02 -2.751886e+01  6.341673e+00 -3.045522e-01
3.822326e-02 -2.669764e+01  6.142615e+00 -3.387636e-01
4.284407e-02 -2.585626e+01  5.937539e+00 -3.738279e-01
4.769797e-02 -2.500218e+01  5.728158e+00 -4.094313e-01
5.275935e-02 -2.414292e+01  5.516229e+00 -4.452572e-01
5.799924e-02 -2.328582e+01  5.303505e+00 -4.809946e-01
6.338567e-02 -2.243787e+01  5.091695e+00 -5.163466e-01
6.888423e-02 -2.160555e+01  4.882421e+00 -5.510366e-01
7.445863e-02 -2.079469e+01  4.677188e+00 -5.848144e-01
8.007127e-02 -2.001041e+01  4.477358e+00 -6.174597e-01
8.568391e-02 -1.925707e+01  4.284129e+00 -6.487853e-01
9.125831e-02 -1.853824e+01  4.098532e+00 -6.786379e-01
9.675688e-02 -1.785668e+01  3.921416e+00 -7.068980e-01
1.021433e-01 -1.721444e+01  3.753459e+00 -7.334789e-01
1.073832e-01 -1.661285e+01  3.595168e+00 -7.583249e-01
1.124446e-01 -1.605264e+01  3.446890e+00 -7.814081e-01
1.172985e-01 -1.553396e+01  3.308826e+00 -8.027260e-01
1.219193e-01 -1.505646e+01  3.181044e+00 -8.222976e-01
1.262852e-01 -1.461940e+01  3.063493e+00 -8.401605e-01
1.303784e-01 -1.422169e+01  2.956019e+00 -8.563676e-01
1.341853e-01 -1.386193e+01  2.858378e+00 -8.709840e-01
1.376967e-01 -1.353854e+01  2.770251e+00 -8.840843e-01
1.409077e-01 -1.324971e+01  2.691255e+00 -8.957500e-01
1.438175e-01 -1.299353e+01  2.620956e+00 -9.060681e-01
1.464295e-01 -1.276798e+01  2.558876e+00 -9.151283e-01
1.487507e-01 -1.257096e+01  2.504507e+00 -9.230225e-01
1.507917e-01 -1.240035e+01  2.457314e+00 -9.298431e-01
1.525662e-01 -1.225398e+01  2.416746e+00 -9.356821e-01
1.540902e-01 -1.212971e+01  2.382242e+00 -9.406304e-01
1.553821e-01 -1.202540e+01  2.353237e+00 -9.447773e-01
1.564617e-01 -1.193894e+01  2.329167e+00 -9.482095e-01
1.573500e-01 -1.186830e+01  2.309479e+00 -9.510107e-01
1.580683e-01 -1.181149e+01  2.293631e+00 -9.532613e-01
1.586383e-01 -1.176661e+01  2.281105e+00 -9.550376e-01
1.590810e-01 -1.173188e+01  2.271407e+00 -9.564114e-01
1.594164e-01 -1.170563e+01  2.264073e+00 -9.574493e-01
1.596637e-01 -1.168632e+01  2.258678e+00 -9.582124e-01
1.598401e-01 -1.167257e+01  2.254833e+00 -9.587558e-01
1.599612e-01 -1.166314e+01  2.252197e+00 -9.591284e-01
1.600405e-01 -1.165697e+01  2.250470e+00 -9.593722e-01
1.600896e-01 -1.165315e+01  2.249403e+00 -9.595230e-01
1.601178e-01 -1.165095e+01  2.248789e+00 -9.596097e-01
1.601325e-01 -1.164981e+01  2.248469e+00 -9.596550e-01
1.601392e-01 -1.164929e+01  2.248322e+00 -9.596756e-01
1.601418e-01 -1.164909e+01  2.248268e+00 -9.596834e-01
1.601424e-01 -1.164904e+01  2.248253e+00 -9.596855e-01
1.601425e-01 -1.164903e+01  2.248250e+00 -9.596858e-01
1.601426e-01 -1.164903e+01  2.248250e+00 -9.596858e-01
1.601430e-01 -1.164899e+01  2.248241e+00 -9.596871e-01
1.601458e-01 -1.164878e+01  2.248180e+00 -9.596957e-01
1.601560e-01 -1.164798e+01  2.247957e+00 -9.597272e-01
1.601834e-01 -1.164585e+01  2.247362e+00 -9.598113e-01
1.602433e-01 -1.164119e+01  2.246059e+00 -9.599952e-01
1.603581e-01 -1.163228e+01  2.243566e+00 -9.603472e-01
1.605577e-01 -1.161679e+01  2.239234e+00 -9.609585e-01
1.608803e-01 -1.159180e+01  2.232242e+00 -9.619447e-01
1.613728e-01 -1.155377e+01  2.221595e+00 -9.634449e-01
1.620903e-01 -1.149859e+01  2.206140e+00 -9.656196e-01
1.630960e-01 -1.142171e+01  2.184586e+00 -9.686463e-01
1.644606e-01 -1.131825e+01  2.155545e+00 -9.727129e-01
1.662611e-01 -1.118324e+01  2.117585e+00 -9.780084e-01
1.685795e-01 -1.101185e+01  2.069296e+00 -9.847111e-01
1.715015e-01 -1.079973e+01  2.009372e+00 -9.929753e-01
1.751145e-01 -1.054331e+01  1.936695e+00 -1.002916e+00
1.795059e-01 -1.024017e+01  1.850427e+00 -1.014593e+00
1.847607e-01 -9.889297e+00  1.750101e+00 -1.027997e+00
1.909597e-01 -9.491393e+00  1.635691e+00 -1.043039e+00
1.981774e-01 -9.048987e+00  1.507666e+00 -1.059539e+00
2.064794e-01 -8.566478e+00  1.367021e+00 -1.077228e+00
2.159211e-01 -8.050024e+00  1.215264e+00 -1.095748e+00
2.265454e-01 -7.507285e+00  1.054378e+00 -1.114668e+00
2.383811e-01 -6.947048e+00  8.867343e-01 -1.133497e+00
2.514418e-01 -6.378751e+00  7.149931e-01 -1.151715e+00
2.657247e-01 -5.811965e+00  5.419687e-01 -1.168791e+00
2.812096e-01 -5.255881e+00  3.704933e-01 -1.184219e+00
2.978589e-01 -4.718839e+00  2.032794e-01 -1.197543e+00
3.156174e-01 -4.207964e+00  4.279709e-02 -1.208381e+00
3.344127e-01 -3.728911e+00 -1.088269e-01 -1.216443e+00
3.541562e-01 -3.285747e+00 -2.498801e-01 -1.221544e+00
3.747436e-01 -2.880955e+00 -3.791041e-01 -1.223608e+00
3.960570e-01 -2.515537e+00 -4.957020e-01 -1.222661e+00
4.179666e-01 -2.189208e+00 -5.993184e-01 -1.218827e+00
4.403322e-01 -1.900632e+00 -6.899962e-01 -1.212311e+00
4.630064e-01 -1.647675e+00 -7.681188e-01 -1.203382e+00
4.858360e-01 -1.427655e+00 -8.343430e-01 -1.192355e+00
5.086657e-01 -1.237574e+00 -8.895293e-01 -1.179575e+00
