376 4
 0 0 0 1
 2 2 1 6
 -3.764758e+01 -2.007738e+00 -7.701624e-02 -1.006029e+00
0.000000e+00 -6.995724e+01  1.717953e+01 -3.021761e+00  1.079528e-10
3.278564e-09 -6.995724e+01  1.717953e+01 -3.021761e+00 -1.300697e-07
1.046582e-07 -6.995716e+01  1.717951e+01 -3.021758e+00 -4.155417e-06
7.915214e-07 -6.995663e+01  1.717938e+01 -3.021735e+00 -3.142765e-05
3.316517e-06 -6.995469e+01  1.717890e+01 -3.021651e+00 -1.316821e-04
1.004733e-05 -6.994951e+01  1.717763e+01 -3.021427e+00 -3.989141e-04
2.477810e-05 -6.993818e+01  1.717484e+01 -3.020938e+00 -9.836973e-04
5.299135e-05 -6.991648e+01  1.716952e+01 -3.020000e+00 -2.103445e-03
1.020609e-04 -6.987875e+01  1.716025e+01 -3.018370e+00 -4.050124e-03
1.813877e-04 -6.981780e+01  1.714528e+01 -3.015737e+00 -7.194942e-03
3.024627e-04 -6.972488e+01  1.712245e+01 -3.011721e+00 -1.198953e-02
4.788527e-04 -6.958974e+01  1.708923e+01 -3.005879e+00 -1.896318e-02
7.261078e-04 -6.940074e+01  1.704276e+01 -2.997704e+00 -2.871574e-02
1.061591e-03 -6.914515e+01  1.697987e+01 -2.986641e+00 -4.190590e-02
1.504231e-03 -6.880938e+01  1.689719e+01 -2.972096e+00 -5.923474e-02
2.074209e-03 -6.837947e+01  1.679121e+01 -2.953450e+00 -8.142452e-02
2.792580e-03 -6.784152e+01  1.665841e+01 -2.930085e+00 -1.091933e-01
3.680838e-03 -6.718232e+01  1.649539e+01 -2.901401e+00 -1.432259e-01
4.760448e-03 -6.638990e+01  1.629902e+01 -2.866844e+00 -1.841423e-01
6.052333e-03 -6.545419e+01  1.606655e+01 -2.825929e+00 -2.324650e-01
7.576358e-03 -6.436765e+01  1.579580e+01 -2.778267e+00 -2.885874e-01
9.350803e-03 -6.312579e+01  1.548525e+01 -2.723591e+00 -3.527442e-01
1.139185e-02 -6.172762e+01  1.513419e+01 -2.661769e+00 -4.249875e-01
1.371307e-02 -6.017602e+01  1.474281e+01 -2.592829e+00 -5.051690e-01
1.632504e-02 -5.847783e+01  1.431222e+01 -2.516962e+00 -5.929313e-01
1.923484e-02 -5.664382e+01  1.384449e+01 -2.434526e+00 -6.877090e-01
2.244580e-02 -5.468846e+01  1.334261e+01 -2.346044e+00 -7.887391e-01
2.595722e-02 -5.262946e+01  1.281043e+01 -2.252185e+00 -8.950834e-01
2.976415e-02 -5.048715e+01  1.225253e+01 -2.153753e+00 -1.005658e+00
3.385735e-02 -4.828376e+01  1.167406e+01 -2.051650e+00 -1.119270e+00
3.822326e-02 -4.604261e+01  1.108059e+01 -1.946858e+00 -1.234664e+00
4.284407e-02 -4.378724e+01  1.047793e+01 -1.840396e+00 -1.350560e+00
4.769797e-02 -4.154060e+01  9.871902e+00 -1.733291e+00 -1.465703e+00
5.275935e-02 -3.932436e+01  9.268196e+00 -1.626550e+00 -1.578903e+00
5.799924e-02 -3.715827e+01  8.672193e+00 -1.521125e+00 -1.689068e+00
6.338567e-02 -3.505971e+01  8.088834e+00 -1.417891e+00 -1.795233e+00
6.888423e-02 -3.304338e+01  7.522513e+00 -1.317631e+00 -1.896582e+00
7.445863e-02 -3.112115e+01  6.977008e+00 -1.221017e+00 -1.992460e+00
8.007127e-02 -2.930206e+01  6.455443e+00 -1.128609e+00 -2.082376e+00
8.568391e-02 -2.759243e+01  5.960275e+00 -1.040847e+00 -2.165999e+00
9.125831e-02 -2.599606e+01  5.493314e+00 -9.580602e-01 -2.243151e+00
9.675688e-02 -2.451448e+01  5.055765e+00 -8.804665e-01 -2.313794e+00
1.021433e-01 -2.314733e+01  4.648271e+00 -8.081865e-01 -2.378008e+00
1.073832e-01 -2.189259e+01  4.270987e+00 -7.412529e-01 -2.435975e+00
1.124446e-01 -2.074697e+01  3.923642e+00 -6.796223e-01 -2.487962e+00
1.172985e-01 -1.970618e+01  3.605615e+00 -6.231881e-01 -2.534294e+00
1.219193e-01 -1.876519e+01  3.315996e+00 -5.717921e-01 -2.575341e+00
1.262852e-01 -1.791851e+01  3.053654e+00 -5.252360e-01 -2.611500e+00
1.303784e-01 -1.716034e+01  2.817294e+00 -4.832912e-01 -2.643181e+00
1.341853e-01 -1.648475e+01  2.605503e+00 -4.457081e-01 -2.670791e+00
1.376967e-01 -1.588580e+01  2.416795e+00 -4.122234e-01 -2.694731e+00
1.409077e-01 -1.535764e+01  2.249643e+00 -3.825662e-01 -2.715381e+00
1.438175e-01 -1.489458e+01  2.102508e+00 -3.564632e-01 -2.733103e+00
1.464295e-01 -1.449111e+01  1.973859e+00 -3.336422e-01 -2.748228e+00
