376 3
 0 0 1
 2 2 6
 -3.023473e+01 -1.266050e+00 -4.430563e-01
0.000000e+00 -6.043619e+01  1.438021e+01  1.969980e-11
3.278564e-09 -6.043619e+01  1.438021e+01 -9.380491e-08
1.046582e-07 -6.043613e+01  1.438020e+01 -2.995046e-06
7.915214e-07 -6.043571e+01  1.438010e+01 -2.265133e-05
3.316517e-06 -6.043419e+01  1.437974e+01 -9.490914e-05
1.004733e-05 -6.043012e+01  1.437877e+01 -2.875160e-04
2.477810e-05 -6.042122e+01  1.437665e+01 -7.090018e-04
5.299135e-05 -6.040417e+01  1.437260e+01 -1.516083e-03
1.020609e-04 -6.037454e+01  1.436554e+01 -2.919247e-03
1.813877e-04 -6.032667e+01  1.435415e+01 -5.186174e-03
3.024627e-04 -6.025367e+01  1.433677e+01 -8.642676e-03
4.788527e-04 -6.014749e+01  1.431149e+01 -1.367085e-02
7.261078e-04 -5.999898e+01  1.427611e+01 -2.070418e-02
1.061591e-03 -5.979806e+01  1.422822e+01 -3.021941e-02
1.504231e-03 -5.953402e+01  1.416524e+01 -4.272512e-02
2.074209e-03 -5.919577e+01  1.408448e+01 -5.874698e-02
2.792580e-03 -5.877225e+01  1.398323e+01 -7.881010e-02
3.680838e-03 -5.825285e+01  1.385887e+01 -1.034188e-01
4.760448e-03 -5.762786e+01  1.370895e+01 -1.330347e-01
6.052333e-03 -5.688899e+01  1.353130e+01 -1.680536e-01
7.576358e-03 -5.602979e+01  1.332417e+01 -2.087833e-01
9.350803e-03 -5.504613e+01  1.308629e+01 -2.554228e-01
1.139185e-02 -5.393653e+01  1.281698e+01 -3.080446e-01
1.371307e-02 -5.270247e+01  1.251621e+01 -3.665815e-01
1.632504e-02 -5.134845e+01  1.218466e+01 -4.308191e-01
1.923484e-02 -4.988208e+01  1.182373e+01 -5.003952e-01
2.244580e-02 -4.831386e+01  1.143552e+01 -5.748054e-01
2.595722e-02 -4.665695e+01  1.102276e+01 -6.534165e-01
2.976415e-02 -4.492666e+01  1.058879e+01 -7.354857e-01
3.385735e-02 -4.313999e+01  1.013740e+01 -8.201849e-01
3.822326e-02 -4.131503e+01  9.672746e+00 -9.066296e-01
4.284407e-02 -3.947025e+01  9.199189e+00 -9.939088e-01
4.769797e-02 -3.762396e+01  8.721175e+00 -1.081116e+00
5.275935e-02 -3.579371e+01  8.243088e+00 -1.167376e+00
5.799924e-02 -3.399578e+01  7.769135e+00 -1.251876e+00
6.338567e-02 -3.224480e+01  7.303235e+00 -1.333879e+00
6.888423e-02 -3.055344e+01  6.848932e+00 -1.412747e+00
7.445863e-02 -2.893230e+01  6.409340e+00 -1.487947e+00
8.007127e-02 -2.738979e+01  5.987095e+00 -1.559061e+00
8.568391e-02 -2.593219e+01  5.584348e+00 -1.625780e+00
9.125831e-02 -2.456378e+01  5.202760e+00 -1.687905e+00
9.675688e-02 -2.328699e+01  4.843528e+00 -1.745337e+00
1.021433e-01 -2.210264e+01  4.507414e+00 -1.798067e+00
1.073832e-01 -2.101011e+01  4.194788e+00 -1.846165e+00
1.124446e-01 -2.000768e+01  3.905675e+00 -1.889763e+00
1.172985e-01 -1.909265e+01  3.639803e+00 -1.929047e+00
1.219193e-01 -1.826162e+01  3.396654e+00 -1.964242e+00
1.262852e-01 -1.751067e+01  3.175511e+00 -1.995599e+00
1.303784e-01 -1.683551e+01  2.975497e+00 -2.023386e+00
1.341853e-01 -1.623163e+01  2.795619e+00 -2.047880e+00
1.376967e-01 -1.569439e+01  2.634797e+00 -2.069356e+00
1.409077e-01 -1.521913e+01  2.491893e+00 -2.088085e+00
1.438175e-01 -1.480125e+01  2.365735e+00 -2.104327e+00
1.464295e-01 -1.443618e+01  2.255134e+00 -2.118331e+00
1.487507e-01 -1.411953e+01  2.158899e+00 -2.130329e+00
1.507917e-01 -1.384700e+01  2.075849e+00 -2.140539e+00
1.525662e-01 -1.361446e+01  2.004820e+00 -2.149160e+00
1.540902e-01 -1.341794e+01  1.944673e+00 -2.156379e+00
1.553821e-01 -1.325364e+01  1.894302e+00 -2.162365e+00
1.564617e-01 -1.311793e+01  1.852635e+00 -2.167275e+00
1.573500e-01 -1.300733e+01  1.818643e+00 -2.171252e+00
1.580683e-01 -1.291860e+01  1.791341e+00 -2.174428e+00
1.586383e-01 -1.284863e+01  1.769800e+00 -2.176922e+00
1.590810e-01 -1.279456e+01  1.753144e+00 -2.178843e+00
1.594164e-01 -1.275374e+01  1.740562e+00 -2.180290e+00
1.596637e-01 -1.272374e+01  1.731312e+00 -2.181351e+00
1.598401e-01 -1.270238e+01  1.724726e+00 -2.182106e+00
1.599612e-01 -1.268774e+01  1.720211e+00 -2.182622e+00
1.600405e-01 -1.267816e+01  1.717255e+00 -2.182960e+00
1.600896e-01 -1.267224e+01  1.715427e+00 -2.183169e+00
1.601178e-01 -1.266883e+01  1.714377e+00 -2.183289e+00
1.601325e-01 -1.266706e+01  1.713829e+00 -2.183352e+00
1.601392e-01 -1.266625e+01  1.713578e+00 -2.183380e+00
1.601418e-01 -1.266594e+01  1.713484e+00 -2.183391e+00
1.601424e-01 -1.266586e+01  1.713459e+00 -2.183394e+00
1.601425e-01 -1.266585e+01  1.713455e+00 -2.183394e+00
1.601426e-01 -1.266584e+01  1.713454e+00 -2.183394e+00
1.601430e-01 -1.266579e+01  1.713439e+00 -2.183396e+00
1.601458e-01 -1.266546e+01  1.713335e+00 -2.183408e+00
1.601560e-01 -1.266422e+01  1.712953e+00 -2.183452e+00
1.601834e-01 -1.266092e+01  1.711934e+00 -2.183568e+00
1.602433e-01 -1.265369e+01  1.709706e+00 -2.183822e+00
1.603581e-01 -1.263987e+01  1.705441e+00 -2.184309e+00
1.605577e-01 -1.261587e+01  1.698033e+00 -2.185153e+00
1.608803e-01 -1.257717e+01  1.686085e+00 -2.186512e+00
1.613728e-01 -1.251834e+01  1.667912e+00 -2.188572e+00
1.620903e-01 -1.243313e+01  1.641576e+00 -2.191543e+00
1.630960e-01 -1.231469e+01  1.604932e+00 -2.195649e+00
1.644606e-01 -1.215583e+01  1.555720e+00 -2.201111e+00
1.662611e-01 -1.194945e+01  1.491672e+00 -2.208128e+00
1.685795e-01 -1.168899e+01  1.410658e+00 -2.216852e+00
1.715015e-01 -1.136899e+01  1.310848e+00 -2.227354e+00
1.751145e-01 -1.098571e+01  1.190893e+00 -2.239603e+00
1.795059e-01 -1.053764e+01  1.050099e+00 -2.253425e+00
1.847607e-01 -1.002601e+01  8.885871e-01 -2.268489e+00
1.909597e-01 -9.455045e+00  7.074095e-01 -2.284285e+00
1.981774e-01 -8.832041e+00  5.086116e-01 -2.300128e+00
2.064794e-01 -8.167164e+00  2.952157e-01 -2.315171e+00
2.159211e-01 -7.472949e+00  7.112398e-02 -2.328441e+00
2.265454e-01 -6.763562e+00 -1.590594e-01 -2.338885e+00
2.383811e-01 -6.053888e+00 -3.902756e-01 -2.345439e+00
2.514418e-01 -5.358542e+00 -6.173045e-01 -2.347094e+00
2.657247e-01 -4.690928e+00 -8.350764e-01 -2.342969e+00
2.812096e-01 -4.062443e+00 -1.038969e+00 -2.332374e+00
2.978589e-01 -3.481921e+00 -1.225059e+00 -2.314859e+00
3.156174e-01 -2.955348e+00 -1.390313e+00 -2.290239e+00
3.344127e-01 -2.485862e+00 -1.532689e+00 -2.258611e+00
3.541562e-01 -2.073984e+00 -1.651163e+00 -2.220333e+00
3.747436e-01 -1.718027e+00 -1.745680e+00 -2.176001e+00
3.960570e-01 -1.414608e+00 -1.817038e+00 -2.126402e+00
4.179666e-01 -1.159176e+00 -1.866740e+00 -2.072461e+00
4.403322e-01 -9.465184e-01 -1.896812e+00 -2.015188e+00
