376 3
 0 0 1
 2 2 4
 -1.869082e+01 -8.205996e-01 -2.895125e-01
0.000000e+00 -4.285298e+01  1.005558e+01 -1.357137e-12
3.278564e-09 -4.285297e+01  1.005558e+01 -4.941092e-08
1.046582e-07 -4.285294e+01  1.005557e+01 -1.577251e-06
7.915214e-07 -4.285270e+01  1.005552e+01 -1.192858e-05
3.316517e-06 -4.285184e+01  1.005531e+01 -4.998087e-05
1.004733e-05 -4.284953e+01  1.005477e+01 -1.514121e-04
2.477810e-05 -4.284448e+01  1.005359e+01 -3.733811e-04
5.299135e-05 -4.283481e+01  1.005132e+01 -7.984363e-04
1.020609e-04 -4.281800e+01  1.004737e+01 -1.537480e-03
1.813877e-04 -4.279084e+01  1.004100e+01 -2.731619e-03
3.024627e-04 -4.274941e+01  1.003127e+01 -4.552750e-03
4.788527e-04 -4.268914e+01  1.001712e+01 -7.202738e-03
7.261078e-04 -4.260479e+01  9.997312e+00 -1.091107e-02
1.061591e-03 -4.249061e+01  9.970485e+00 -1.593093e-02
1.504231e-03 -4.234045e+01  9.935181e+00 -2.253358e-02
2.074209e-03 -4.214789e+01  9.889875e+00 -3.100127e-02
2.792580e-03 -4.190647e+01  9.833020e+00 -4.161855e-02
3.680838e-03 -4.160991e+01  9.763097e+00 -5.466244e-02
4.760448e-03 -4.125237e+01  9.678670e+00 -7.039160e-02
6.052333e-03 -4.082866e+01  9.578444e+00 -8.903510e-02
7.576358e-03 -4.033455e+01  9.461322e+00 -1.107812e-01
9.350803e-03 -3.976698e+01  9.326460e+00 -1.357665e-01
1.139185e-02 -3.912429e+01  9.173317e+00 -1.640673e-01
1.371307e-02 -3.840635e+01  9.001695e+00 -1.956914e-01
1.632504e-02 -3.761470e+01  8.811767e+00 -2.305737e-01
1.923484e-02 -3.675259e+01  8.604095e+00 -2.685739e-01
2.244580e-02 -3.582490e+01  8.379628e+00 -3.094781e-01
2.595722e-02 -3.483809e+01  8.139687e+00 -3.530025e-01
2.976415e-02 -3.379999e+01  7.885932e+00 -3.988016e-01
3.385735e-02 -3.271955e+01  7.620317e+00 -4.464780e-01
3.822326e-02 -3.160656e+01  7.345034e+00 -4.955950e-01
4.284407e-02 -3.047136e+01  7.062446e+00 -5.456903e-01
4.769797e-02 -2.932448e+01  6.775018e+00 -5.962902e-01
5.275935e-02 -2.817632e+01  6.485243e+00 -6.469243e-01
5.799924e-02 -2.703689e+01  6.195580e+00 -6.971384e-01
6.338567e-02 -2.591554e+01  5.908385e+00 -7.465067e-01
6.888423e-02 -2.482074e+01  5.625863e+00 -7.946411e-01
7.445863e-02 -2.375996e+01  5.350022e+00 -8.411991e-01
8.007127e-02 -2.273957e+01  5.082643e+00 -8.858887e-01
8.568391e-02 -2.176478e+01  4.825260e+00 -9.284709e-01
9.125831e-02 -2.083968e+01  4.579151e+00 -9.687602e-01
9.675688e-02 -1.996724e+01  4.345334e+00 -1.006623e+00
1.021433e-01 -1.914944e+01  4.124579e+00 -1.041975e+00
1.073832e-01 -1.838732e+01  3.917420e+00 -1.074777e+00
1.124446e-01 -1.768111e+01  3.724176e+00 -1.105029e+00
1.172985e-01 -1.703034e+01  3.544969e+00 -1.132765e+00
1.219193e-01 -1.643395e+01  3.379748e+00 -1.158047e+00
1.262852e-01 -1.589040e+01  3.228316e+00 -1.180962e+00
1.303784e-01 -1.539776e+01  3.090347e+00 -1.201613e+00
1.341853e-01 -1.495381e+01  2.965409e+00 -1.220118e+00
1.376967e-01 -1.455611e+01  2.852988e+00 -1.236602e+00
1.409077e-01 -1.420204e+01  2.752496e+00 -1.251196e+00
1.438175e-01 -1.388891e+01  2.663297e+00 -1.264035e+00
1.464295e-01 -1.361392e+01  2.584709e+00 -1.275253e+00
1.487507e-01 -1.337429e+01  2.516025e+00 -1.284984e+00
1.507917e-01 -1.316719e+01  2.456517e+00 -1.293357e+00
1.525662e-01 -1.298985e+01  2.405445e+00 -1.300500e+00
1.540902e-01 -1.283951e+01  2.362068e+00 -1.306534e+00
1.553821e-01 -1.271348e+01  2.325648e+00 -1.311576e+00
1.564617e-01 -1.260915e+01  2.295455e+00 -1.315740e+00
1.573500e-01 -1.252397e+01  2.270779e+00 -1.319132e+00
1.580683e-01 -1.245552e+01  2.250930e+00 -1.321853e+00
1.586383e-01 -1.240149e+01  2.235250e+00 -1.323998e+00
1.590810e-01 -1.235969e+01  2.223115e+00 -1.325655e+00
1.594164e-01 -1.232811e+01  2.213942e+00 -1.326906e+00
1.596637e-01 -1.230489e+01  2.207195e+00 -1.327825e+00
1.598401e-01 -1.228835e+01  2.202388e+00 -1.328479e+00
1.599612e-01 -1.227701e+01  2.199092e+00 -1.328927e+00
1.600405e-01 -1.226959e+01  2.196934e+00 -1.329221e+00
1.600896e-01 -1.226500e+01  2.195600e+00 -1.329402e+00
1.601178e-01 -1.226236e+01  2.194833e+00 -1.329507e+00
1.601325e-01 -1.226099e+01  2.194432e+00 -1.329561e+00
1.601392e-01 -1.226036e+01  2.194250e+00 -1.329586e+00
1.601418e-01 -1.226012e+01  2.194181e+00 -1.329595e+00
1.601424e-01 -1.226006e+01  2.194162e+00 -1.329598e+00
1.601425e-01 -1.226005e+01  2.194159e+00 -1.329598e+00
