376 5
 0 0 0 1 1
 2 2 2 6 3
 -7.598288e+01 -6.269749e+00 -4.700705e-01 -4.516571e+00 -1.666750e-01
0.000000e+00 -1.124409e+02  3.035671e+01 -9.214212e+00  8.222024e-09 -2.016934e-09
3.278564e-09 -1.124409e+02  3.035671e+01 -9.214211e+00 -3.409401e-07  8.591943e-08
1.046582e-07 -1.124408e+02  3.035666e+01 -9.214197e+00 -1.113772e-05  2.805083e-06
7.915214e-07 -1.124396e+02  3.035635e+01 -9.214102e+00 -8.428712e-05  2.122774e-05
3.316517e-06 -1.124353e+02  3.035520e+01 -9.213753e+00 -3.531871e-04  8.895009e-05
1.004733e-05 -1.124240e+02  3.035213e+01 -9.212823e+00 -1.069937e-03  2.694633e-04
2.477810e-05 -1.123991e+02  3.034543e+01 -9.210787e+00 -2.638332e-03  6.644631e-04
5.299135e-05 -1.123516e+02  3.033258e+01 -9.206890e+00 -5.641249e-03  1.420747e-03
1.020609e-04 -1.122689e+02  3.031026e+01 -9.200114e+00 -1.086101e-02  2.735341e-03
1.813877e-04 -1.121354e+02  3.027420e+01 -9.189168e+00 -1.929125e-02  4.858495e-03
3.024627e-04 -1.119320e+02  3.021923e+01 -9.172482e+00 -3.213884e-02  8.094155e-03
4.788527e-04 -1.116362e+02  3.013929e+01 -9.148215e+00 -5.081431e-02  1.279756e-02
7.261078e-04 -1.112230e+02  3.002752e+01 -9.114285e+00 -7.690956e-02  1.936964e-02
1.061591e-03 -1.106648e+02  2.987641e+01 -9.068406e+00 -1.121617e-01  2.824785e-02
1.504231e-03 -1.099327e+02  2.967796e+01 -9.008151e+00 -1.584024e-01  3.989352e-02
2.074209e-03 -1.089972e+02  2.942399e+01 -8.931028e+00 -2.174936e-01  5.477549e-02
2.792580e-03 -1.078296e+02  2.910639e+01 -8.834567e+00 -2.912495e-01  7.335058e-02
3.680838e-03 -1.064035e+02  2.871750e+01 -8.716429e+00 -3.813486e-01  9.604136e-02
4.760448e-03 -1.046959e+02  2.825046e+01 -8.574515e+00 -4.892390e-01  1.232122e-01
6.052333e-03 -1.026891e+02  2.769960e+01 -8.407083e+00 -6.160421e-01  1.551450e-01
7.576358e-03 -1.003721e+02  2.706082e+01 -8.212860e+00 -7.624605e-01  1.920157e-01
9.350803e-03 -9.774129e+01  2.633192e+01 -7.991144e+00 -9.286985e-01  2.338743e-01
1.139185e-02 -9.480203e+01  2.551284e+01 -7.741884e+00 -1.114400e+00  2.806290e-01
