376 5
 0 0 0 1 1
 2 2 2 6 4
 -8.770908e+01 -7.638741e+00 -5.856274e-01 -5.689399e+00 -2.188755e-01
0.000000e+00 -1.240791e+02  3.404999e+01 -1.077350e+01  1.742265e-08 -4.564619e-09
3.278564e-09 -1.240791e+02  3.404999e+01 -1.077350e+01 -4.066830e-07  1.098654e-07
1.046582e-07 -1.240789e+02  3.404993e+01 -1.077348e+01 -1.352086e-05  3.648266e-06
7.915214e-07 -1.240775e+02  3.404956e+01 -1.077336e+01 -1.023709e-04  2.762133e-05
3.316517e-06 -1.240725e+02  3.404818e+01 -1.077292e+01 -4.289863e-04  1.157471e-04
1.004733e-05 -1.240591e+02  3.404452e+01 -1.077176e+01 -1.299572e-03  3.506443e-04
2.477810e-05 -1.240299e+02  3.403649e+01 -1.076923e+01 -3.204571e-03  8.646416e-04
5.299135e-05 -1.239739e+02  3.402113e+01 -1.076437e+01 -6.851886e-03  1.848742e-03
1.020609e-04 -1.238766e+02  3.399442e+01 -1.075592e+01 -1.319151e-02  3.559268e-03
1.813877e-04 -1.237195e+02  3.395129e+01 -1.074227e+01 -2.342975e-02  6.321699e-03
3.024627e-04 -1.234801e+02  3.388553e+01 -1.072146e+01 -3.903115e-02  1.053119e-02
4.788527e-04 -1.231321e+02  3.378991e+01 -1.069120e+01 -6.170621e-02  1.664926e-02
7.261078e-04 -1.226460e+02  3.365625e+01 -1.064890e+01 -9.338337e-02  2.519622e-02
1.061591e-03 -1.219896e+02  3.347557e+01 -1.059172e+01 -1.361636e-01  3.673893e-02
1.504231e-03 -1.211289e+02  3.323838e+01 -1.051664e+01 -1.922571e-01  5.187371e-02
2.074209e-03 -1.200297e+02  3.293493e+01 -1.042058e+01 -2.639025e-01  7.120452e-02
2.792580e-03 -1.186587e+02  3.255566e+01 -1.030049e+01 -3.532699e-01  9.531670e-02
3.680838e-03 -1.169855e+02  3.209153e+01 -1.015350e+01 -4.623506e-01  1.247473e-01
4.760448e-03 -1.149841e+02  3.153455e+01 -9.977060e+00 -5.928396e-01  1.599530e-01
6.052333e-03 -1.126348e+02  3.087822e+01 -9.769071e+00 -7.460155e-01  2.012780e-01
7.576358e-03 -1.099260e+02  3.011796e+01 -9.528054e+00 -9.226283e-01  2.489231e-01
9.350803e-03 -1.068556e+02  2.925155e+01 -9.253256e+00 -1.122802e+00  3.029192e-01
1.139185e-02 -1.034317e+02  2.827941e+01 -8.944762e+00 -1.345960e+00  3.631076e-01
1.371307e-02 -9.967352e+01  2.720481e+01 -8.603554e+00 -1.590789e+00  4.291284e-01
1.632504e-02 -9.561086e+01  2.603395e+01 -8.231539e+00 -1.855237e+00  5.004205e-01
1.923484e-02 -9.128363e+01  2.477587e+01 -7.831523e+00 -2.136551e+00  5.762321e-01
2.244580e-02 -8.674025e+01  2.344218e+01 -7.407139e+00 -2.431368e+00  6.556432e-01
2.595722e-02 -8.203577e+01  2.204668e+01 -6.962723e+00 -2.735832e+00  7.375986e-01
2.976415e-02 -7.722950e+01  2.060488e+01 -6.503164e+00 -3.045749e+00  8.209490e-01
3.385735e-02 -7.238244e+01  1.913334e+01 -6.033708e+00 -3.356760e+00  9.044980e-01
3.822326e-02 -6.755470e+01  1.764907e+01 -5.559765e+00 -3.664520e+00  9.870512e-01
4.284407e-02 -6.280312e+01  1.616889e+01 -5.086703e+00 -3.964871e+00  1.067464e+00
4.769797e-02 -5.817925e+01  1.470881e+01 -4.619655e+00 -4.254003e+00  1.144685e+00
5.275935e-02 -5.372775e+01  1.328354e+01 -4.163363e+00 -4.528582e+00  1.217795e+00
