376 7
 0 0 0 0 1 1 2
 2 2 2 2 6 6 3
 -1.951419e+02 -2.175623e+01 -2.478989e+00 -1.430877e-01 -1.837434e+01 -1.563150e+00 -1.607054e-01
0.000000e+00 -2.156005e+02  6.374343e+01 -2.389498e+01  6.348666e+00  1.288000e-06 -4.606828e-07 -7.075223e-09
3.278564e-09 -2.156005e+02  6.374342e+01 -2.389498e+01  6.348665e+00  7.116495e-08 -1.917954e-08 -7.075200e-09
1.046582e-07 -2.156000e+02  6.374327e+01 -2.389492e+01  6.348651e+00 -3.755573e-05  1.363296e-05 -7.075265e-09
7.915214e-07 -2.155966e+02  6.374227e+01 -2.389454e+01  6.348550e+00 -2.924815e-04  1.061275e-04 -7.118845e-09
3.316517e-06 -2.155840e+02  6.373857e+01 -2.389315e+01  6.348182e+00 -1.229586e-03  4.461364e-04 -7.924741e-09
1.004733e-05 -2.155507e+02  6.372870e+01 -2.388946e+01  6.347199e+00 -3.727336e-03  1.352393e-03 -1.503265e-08
2.477810e-05 -2.154777e+02  6.370711e+01 -2.388136e+01  6.345049e+00 -9.192453e-03  3.335298e-03 -5.575260e-08
5.299135e-05 -2.153379e+02  6.366577e+01 -2.386587e+01  6.340932e+00 -1.965440e-02  7.131199e-03 -2.301428e-07
1.020609e-04 -2.150950e+02  6.359393e+01 -2.383894e+01  6.333776e+00 -3.783405e-02  1.372731e-02 -8.349669e-07
1.813877e-04 -2.147029e+02  6.347793e+01 -2.379545e+01  6.322222e+00 -6.718025e-02  2.437496e-02 -2.621590e-06
3.024627e-04 -2.141059e+02  6.330121e+01 -2.372919e+01  6.304618e+00 -1.118676e-01  4.058884e-02 -7.271666e-06
4.788527e-04 -2.132391e+02  6.304443e+01 -2.363292e+01  6.279038e+00 -1.767485e-01  6.412948e-02 -1.819306e-05
7.261078e-04 -2.120300e+02  6.268589e+01 -2.349847e+01  6.243314e+00 -2.672525e-01  9.696685e-02 -4.174617e-05
1.061591e-03 -2.104006e+02  6.220198e+01 -2.331698e+01  6.195091e+00 -3.892282e-01  1.412228e-01 -8.900053e-05
1.504231e-03 -2.082701e+02  6.156802e+01 -2.307916e+01  6.131901e+00 -5.487243e-01  1.990917e-01 -1.780865e-04
2.074209e-03 -2.055588e+02  6.075920e+01 -2.277566e+01  6.051254e+00 -7.517113e-01  2.727389e-01 -3.371433e-04
2.792580e-03 -2.021924e+02  5.975173e+01 -2.239749e+01  5.950762e+00 -1.003750e+00  3.641803e-01 -6.077708e-04
3.680838e-03 -1.981069e+02  5.852417e+01 -2.193651e+01  5.828257e+00 -1.309621e+00  4.751471e-01 -1.048776e-03
4.760448e-03 -1.932536e+02  5.705883e+01 -2.138594e+01  5.681936e+00 -1.672935e+00  6.069431e-01 -1.739878e-03
6.052333e-03 -1.876041e+02  5.534312e+01 -2.074090e+01  5.510493e+00 -2.095751e+00  7.603048e-01 -2.784907e-03
7.576358e-03 -1.811542e+02  5.337084e+01 -1.999885e+01  5.313250e+00 -2.578236e+00  9.352755e-01 -4.313960e-03
9.350803e-03 -1.739273e+02  5.114323e+01 -1.916002e+01  5.090260e+00 -3.118400e+00  1.131106e+00 -6.483929e-03
1.139185e-02 -1.659755e+02  4.866965e+01 -1.822769e+01  4.842384e+00 -3.711945e+00  1.346197e+00 -9.476878e-03
1.371307e-02 -1.573797e+02  4.596788e+01 -1.720826e+01  4.571317e+00 -4.352248e+00  1.578089e+00 -1.349588e-02
1.632504e-02 -1.482466e+02  4.306382e+01 -1.611123e+01  4.279577e+00 -5.030500e+00  1.823508e+00 -1.875818e-02
1.923484e-02 -1.387047e+02  3.999079e+01 -1.494892e+01  3.970429e+00 -5.736005e+00  2.078471e+00 -2.548580e-02
2.244580e-02 -1.288978e+02  3.678817e+01 -1.373600e+01  3.647771e+00 -6.456618e+00  2.338448e+00 -3.389409e-02
2.595722e-02 -1.189779e+02  3.349983e+01 -1.248892e+01  3.315973e+00 -7.179302e+00  2.598555e+00 -4.417903e-02
2.976415e-02 -1.090976e+02  3.017206e+01 -1.122518e+01  2.979686e+00 -7.890746e+00  2.853793e+00 -5.650416e-02
3.385735e-02 -9.940219e+01  2.685160e+01 -9.962530e+00  2.643638e+00 -8.578015e+00  3.099277e+00 -7.098852e-02
3.822326e-02 -9.002337e+01  2.358351e+01 -8.718250e+00  2.312432e+00 -9.229156e+00  3.330475e+00 -8.769649e-02
4.284407e-02 -8.107370e+01  2.040938e+01 -7.508415e+00  1.990355e+00 -9.833729e+00  3.543404e+00 -1.066305e-01
4.769797e-02 -7.264326e+01  1.736582e+01 -6.347314e+00  1.681221e+00 -1.038322e+01  3.734796e+00 -1.277276e-01
5.275935e-02 -6.479803e+01  1.448330e+01 -5.247001e+00  1.388255e+00 -1.087132e+01  3.902210e+00 -1.508596e-01
5.799924e-02 -5.757990e+01  1.178557e+01 -4.217007e+00  1.114009e+00 -1.129402e+01  4.044083e+00 -1.758373e-01
6.338567e-02 -5.100830e+01  9.289384e+00 -3.264219e+00  8.603335e-01 -1.164962e+01  4.159737e+00 -2.024180e-01
6.888423e-02 -4.508286e+01  7.004684e+00 -2.392911e+00  6.283814e-01 -1.193856e+01  4.249328e+00 -2.303162e-01
7.445863e-02 -3.978675e+01  4.935137e+00 -1.604902e+00  4.186506e-01 -1.216318e+01  4.313760e+00 -2.592149e-01
8.007127e-02 -3.509034e+01  3.078865e+00 -8.998178e-01  2.310519e-01 -1.232737e+01  4.354568e+00 -2.887792e-01
8.568391e-02 -3.095483e+01  1.429362e+00 -2.754138e-01  6.499527e-02 -1.243624e+01  4.373780e+00 -3.186686e-01
9.125831e-02 -2.733559e+01 -2.353798e-02  2.720583e-01 -8.051377e-02 -1.249575e+01  4.373783e+00 -3.485489e-01
9.675688e-02 -2.418502e+01 -1.292684e+00  7.474830e-01 -2.067758e-01 -1.251236e+01  4.357184e+00 -3.781026e-01
1.021433e-01 -2.145493e+01 -2.392706e+00  1.156526e+00 -3.153029e-01 -1.249271e+01  4.326687e+00 -4.070372e-01
1.073832e-01 -1.909831e+01 -3.339204e+00  1.505314e+00 -4.077324e-01 -1.244336e+01  4.284982e+00 -4.350916e-01
1.124446e-01 -1.707064e+01 -4.148073e+00  1.800154e+00 -4.857527e-01 -1.237061e+01  4.234659e+00 -4.620400e-01
1.172985e-01 -1.533069e+01 -4.834955e+00  2.047311e+00 -5.510416e-01 -1.228028e+01  4.178141e+00 -4.876947e-01
1.219193e-01 -1.384101e+01 -5.414827e+00  2.252825e+00 -6.052183e-01 -1.217767e+01  4.117632e+00 -5.119062e-01
1.262852e-01 -1.256808e+01 -5.901704e+00  2.422379e+00 -6.498077e-01 -1.206745e+01  4.055088e+00 -5.345625e-01
1.303784e-01 -1.148223e+01 -6.308456e+00  2.561214e+00 -6.862162e-01 -1.195364e+01  3.992199e+00 -5.555875e-01
1.341853e-01 -1.055751e+01 -6.646706e+00  2.674077e+00 -7.157173e-01 -1.183964e+01  3.930387e+00 -5.749374e-01
1.376967e-01 -9.771377e+00 -6.926797e+00  2.765192e+00 -7.394454e-01 -1.172822e+01  3.870811e+00 -5.925984e-01
1.409077e-01 -9.104342e+00 -7.157819e+00  2.838269e+00 -7.583959e-01 -1.162157e+01  3.814382e+00 -6.085829e-01
1.438175e-01 -8.539656e+00 -7.347668e+00  2.896518e+00 -7.734296e-01 -1.152134e+01  3.761779e+00 -6.229258e-01
1.464295e-01 -8.062942e+00 -7.503129e+00  2.942681e+00 -7.852813e-01 -1.142872e+01  3.713471e+00 -6.356814e-01
1.487507e-01 -7.661880e+00 -7.629986e+00  2.979071e+00 -7.945700e-01 -1.134447e+01  3.669744e+00 -6.469199e-01
1.507917e-01 -7.325898e+00 -7.733123e+00  3.007616e+00 -8.018111e-01 -1.126899e+01  3.630720e+00 -6.567245e-01
1.525662e-01 -7.045907e+00 -7.816641e+00  3.029905e+00 -8.074280e-01 -1.120238e+01  3.596385e+00 -6.651885e-01
1.540902e-01 -6.814067e+00 -7.883960e+00  3.047233e+00 -8.117650e-01 -1.114448e+01  3.566611e+00 -6.724130e-01
1.553821e-01 -6.623581e+00 -7.937925e+00  3.060645e+00 -8.150988e-01 -1.109492e+01  3.541176e+00 -6.785040e-01
1.564617e-01 -6.468522e+00 -7.980895e+00  3.070977e+00 -8.176494e-01 -1.105319e+01  3.519789e+00 -6.835707e-01
1.573500e-01 -6.343697e+00 -8.014826e+00  3.078891e+00 -8.195906e-01 -1.101865e+01  3.502107e+00 -6.877232e-01
1.580683e-01 -6.244527e+00 -8.041345e+00  3.084910e+00 -8.210583e-01 -1.099058e+01  3.487752e+00 -6.910709e-01
1.586383e-01 -6.166956e+00 -8.061807e+00  3.089448e+00 -8.221588e-01 -1.096822e+01  3.476329e+00 -6.937201e-01
1.590810e-01 -6.107386e+00 -8.077347e+00  3.092827e+00 -8.229746e-01 -1.095081e+01  3.467437e+00 -6.957733e-01
1.594164e-01 -6.062625e+00 -8.088924e+00  3.095305e+00 -8.235706e-01 -1.093759e+01  3.460686e+00 -6.973270e-01
1.596637e-01 -6.029848e+00 -8.097346e+00  3.097086e+00 -8.239976e-01 -1.092783e+01  3.455704e+00 -6.984707e-01
1.598401e-01 -6.006574e+00 -8.103296e+00  3.098332e+00 -8.242959e-01 -1.092086e+01  3.452147e+00 -6.992859e-01
1.599612e-01 -5.990651e+00 -8.107354e+00  3.099177e+00 -8.244976e-01 -1.091607e+01  3.449704e+00 -6.998452e-01
1.600405e-01 -5.980242e+00 -8.110000e+00  3.099725e+00 -8.246285e-01 -1.091293e+01  3.448102e+00 -7.002114e-01
1.600896e-01 -5.973812e+00 -8.111632e+00  3.100062e+00 -8.247089e-01 -1.091099e+01  3.447111e+00 -7.004379e-01
1.601178e-01 -5.970118e+00 -8.112569e+00  3.100255e+00 -8.247549e-01 -1.090987e+01  3.446541e+00 -7.005681e-01
1.601325e-01 -5.968191e+00 -8.113057e+00  3.100356e+00 -8.247789e-01 -1.090929e+01  3.446244e+00 -7.006361e-01
1.601392e-01 -5.967310e+00 -8.113280e+00  3.100402e+00 -8.247898e-01 -1.090902e+01  3.446108e+00 -7.006672e-01
1.601418e-01 -5.966980e+00 -8.113364e+00  3.100419e+00 -8.247939e-01 -1.090892e+01  3.446057e+00 -7.006788e-01
1.601424e-01 -5.966890e+00 -8.113387e+00  3.100424e+00 -8.247950e-01 -1.090889e+01  3.446043e+00 -7.006820e-01
1.601425e-01 -5.966877e+00 -8.113390e+00  3.100425e+00 -8.247952e-01 -1.090889e+01  3.446041e+00 -7.006825e-01
1.601426e-01 -5.966874e+00 -8.113391e+00  3.100425e+00 -8.247952e-01 -1.090889e+01  3.446041e+00 -7.006825e-01
1.601430e-01 -5.966820e+00 -8.113404e+00  3.100427e+00 -8.247959e-01 -1.090887e+01  3.446032e+00 -7.006844e-01
1.601458e-01 -5.966455e+00 -8.113497e+00  3.100447e+00 -8.248004e-01 -1.090876e+01  3.445976e+00 -7.006973e-01
1.601560e-01 -5.965112e+00 -8.113837e+00  3.100517e+00 -8.248171e-01 -1.090836e+01  3.445768e+00 -7.007447e-01
1.601834e-01 -5.961533e+00 -8.114743e+00  3.100703e+00 -8.248615e-01 -1.090727e+01  3.445215e+00 -7.008710e-01
1.602433e-01 -5.953707e+00 -8.116723e+00  3.101109e+00 -8.249582e-01 -1.090490e+01  3.444005e+00 -7.011474e-01
1.603581e-01 -5.938747e+00 -8.120499e+00  3.101881e+00 -8.251417e-01 -1.090035e+01  3.441685e+00 -7.016766e-01
1.605577e-01 -5.912820e+00 -8.127019e+00  3.103203e+00 -8.254555e-01 -1.089243e+01  3.437648e+00 -7.025964e-01
